x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
203.72,-20,true,g,true,0
201.329,-31.116,false,g,true,0
184.393,-31.116,false,b,true,0
184.393,-20,false,l,true,0
170.589,-20,true,g,true,0
167.727,-31.116,false,g,true,0
158.591,-31.116,false,b,true,0
158.591,-20,false,l,true,0
227.537,-20,true,g,true,0
160.67,-161.116,false,g,true,0
153.832,-161.116,false,b,true,0
153.832,-20,false,l,true,0
215.108,-20,true,g,true,0
142.524,-161.116,false,g,true,0
146.837,-161.116,false,b,true,0
146.837,-20,false,l,true,0
227.714,-20,true,g,true,0
160.92,-161.116,false,g,true,0
153.144,-161.116,false,b,true,0
153.144,-20,false,l,true,0
225.313,-20,true,g,true,0
157.504,-161.116,false,g,true,0
143.834,-161.116,false,b,true,0
143.834,-20,false,l,true,0
227.477,-20,true,g,true,0
160.585,-161.116,false,g,true,0
160.585,-31.116,false,l,true,0
160.585,-20,false,l,true,0
159.536,-20,true,g,true,0
156.472,-31.116,false,g,true,0
178.977,-31.116,false,b,true,0
178.977,-20,false,l,true,0
228.108,-20,true,g,true,0
225.976,-31.116,false,g,true,0
142.243,-31.116,false,b,true,0
142.243,-20,false,l,true,0
233.795,-20,true,g,true,0
231.715,-31.116,false,g,true,0
141.336,-31.116,false,b,true,0
141.336,-20,false,l,true,0
170.734,-20,true,g,true,0
167.874,-31.116,false,g,true,0
144.843,-31.116,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
195.762,-30,false,b,true,1
195.762,-20,false,l,true,1
170.737,-20,true,g,true,1
167.878,-31.116,false,g,true,1
174.46,-31.116,false,b,true,1
160.027,-31.116,false,b,true,1
148.241,-31.116,false,b,true,1
154.819,-31.116,false,b,true,1
154.819,-20,false,l,true,1
168.55,-20,true,g,true,1
165.653,-31.116,false,g,true,1
141.159,-31.116,false,b,true,1
231.711,-31.116,false,b,true,1
239.466,-31.116,false,b,true,1
239.466,-20,false,l,true,1
221.825,-20,true,g,true,1
152.473,-161.116,false,g,true,1
143.19,-161.116,false,b,true,1
146.061,-161.116,false,b,true,1
146.061,-20,false,l,true,1
216.087,-20,true,g,true,1
143.997,-161.116,false,g,true,1
143.997,-31.116,false,l,true,1
143.997,-20,false,l,true,1
206.486,-20,true,g,true,1
204.128,-31.116,false,g,true,1
236.339,-31.116,false,b,true,1
208.926,-31.116,false,b,true,1
207.195,-31.116,false,b,true,1
236.733,-31.116,false,b,true,1
236.733,-20,false,l,true,1
159.176,-20,true,g,true,1
156.105,-31.116,false,g,true,1
209.912,-31.116,false,b,true,1
160,-30,false,f,true,2
227.93,-30,false,b,true,2
227.93,-20,false,l,true,2
232.935,-20,true,g,true,2
230.848,-31.116,false,g,true,2
