x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
165.623,-20,true,g,true,0
162.674,-31.116,false,g,true,0
172.015,-31.116,false,b,true,0
154.859,-31.116,false,b,true,0
154.859,-20,false,l,true,0
164.186,-20,true,g,true,0
158.767,-41.834,false,g,true,0
147.993,-41.834,false,b,true,0
149.338,-41.834,false,b,true,0
149.338,-20,false,l,true,0
170.646,-20,true,g,true,0
156.238,-68.6289,false,g,true,0
148.897,-68.6289,false,b,true,0
148.897,-20,false,l,true,0
184.526,-20,true,g,true,0
166.595,-79.3468,false,g,true,0
144.192,-79.3468,false,b,true,0
144.192,-20,false,l,true,0
220.025,-20,true,g,true,0
179.263,-127.578,false,g,true,0
142.841,-127.578,false,b,true,0
142.841,-20,false,l,true,0
203.678,-20,true,g,true,0
158.772,-127.578,false,g,true,0
165.049,-127.578,false,b,true,0
165.049,-20,false,l,true,0
233.55,-20,true,g,true,0
195.626,-127.578,false,g,true,0
195.626,-126.679,false,l,true,0
141.671,-126.679,false,b,true,0
141.671,-20,false,l,true,0
219.709,-20,true,g,true,0
166.239,-143.655,false,g,true,0
161.352,-143.655,false,b,true,0
161.352,-20,false,l,true,0
226.329,-20,true,g,true,0
155.115,-164.816,false,g,true,0
155.115,-154.373,false,l,true,0
155.115,-20,false,l,true,0
236.367,-20,true,g,true,0
198.98,-127.578,false,g,true,0
198.98,-122.219,false,l,true,0
198.98,-20,false,l,true,0
225.613,-20,true,g,true,0
169.4,-149.014,false,g,true,0
155.882,-149.014,false,b,true,0
155.882,-20,false,l,true,0
227.652,-20,true,g,true,0
162.207,-159.732,false,g,true,0
140.094,-159.732,false,b,true,0
140.094,-20,false,l,true,0
222.619,-20,true,g,true,0
170.066,-143.655,false,g,true,0
170.066,-122.219,false,l,true,0
170.066,-20,false,l,true,0
222.669,-20,true,g,true,0
143.278,-170.45,false,g,true,0
143.278,-164.51,false,l,true,0
143.278,-20,false,l,true,0
226.402,-20,true,g,true,0
174.989,-143.655,false,g,true,0
174.989,-143.492,false,l,true,0
174.989,-20,false,l,true,0
224.803,-20,true,g,true,0
146.76,-170.287,false,g,true,0
146.76,-163.196,false,l,true,0
146.76,-20,false,l,true,0
215.168,-20,true,g,true,0
160.19,-143.655,false,g,true,0
140.48,-143.655,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
208.674,-30,false,b,true,1
208.674,-20,false,l,true,1
168.927,-20,true,g,true,1
166.036,-31.116,false,g,true,1
144.729,-31.116,false,b,true,1
206.085,-31.116,false,b,true,1
206.085,-20,false,l,true,1
151.386,-20,true,g,true,1
148.154,-31.116,false,g,true,1
145.925,-31.116,false,b,true,1
145.925,-20,false,l,true,1
181.635,-20,true,g,true,1
