x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-160,false,g,true,0
147.301,-160,false,b,true,0
147.301,-20,false,l,true,0
226.982,-20,true,g,true,0
224.839,-31.116,false,g,true,0
156.089,-31.116,false,b,true,0
156.089,-20,false,l,true,0
230.103,-20,true,g,true,0
227.989,-31.116,false,g,true,0
196.402,-31.116,false,b,true,0
189.357,-31.116,false,b,true,0
189.357,-20,false,l,true,0
239.905,-20,true,g,true,0
237.879,-31.116,false,g,true,0
190.877,-31.116,false,b,true,0
155.338,-31.116,false,b,true,0
155.338,-20,false,l,true,0
165.554,-20,true,g,true,0
162.604,-31.116,false,g,true,0
170.898,-31.116,false,b,true,0
170.898,-20,false,l,true,0
240.371,-20,true,g,true,0
238.348,-31.116,false,g,true,0
183.788,-31.116,false,b,true,0
156.203,-31.116,false,b,true,0
156.203,-20,false,l,true,0
225.478,-20,true,g,true,0
223.321,-31.116,false,g,true,0
141.667,-31.116,false,b,true,0
141.667,-20,false,l,true,0
171.565,-20,true,g,true,0
168.72,-31.116,false,g,true,0
140.356,-31.116,false,b,true,0
140.356,-20,false,l,true,0
231.596,-20,true,g,true,0
229.497,-31.116,false,g,true,0
207.6,-31.116,false,b,true,0
195.413,-31.116,false,b,true,0
142.163,-31.116,false,b,true,0
142.163,-20,false,l,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
214.281,-20,false,l,true,1
222.542,-20,true,g,true,1
153.514,-161.116,false,g,true,1
156.7,-161.116,false,b,true,1
156.7,-20,false,l,true,1
221.972,-20,true,g,true,1
152.686,-161.116,false,g,true,1
153.818,-161.116,false,b,true,1
153.818,-20,false,l,true,1
223.565,-20,true,g,true,1
154.993,-161.116,false,g,true,1
140.861,-161.116,false,b,true,1
140.736,-161.116,false,b,true,1
140.736,-20,false,l,true,1
181.371,-20,true,g,true,1
178.682,-31.116,false,g,true,1
185.178,-31.116,false,b,true,1
185.178,-20,false,l,true,1
179.812,-20,true,g,true,1
177.1,-31.116,false,g,true,1
188.611,-31.116,false,b,true,1
150.354,-31.116,false,b,true,1
167.949,-31.116,false,b,true,1
202.04,-31.116,false,b,true,1
202.04,-20,false,l,true,1
165.371,-20,true,g,true,1
162.417,-31.116,false,g,true,1
195.946,-31.116,false,b,true,1
195.946,-20,false,l,true,1
156.802,-20,true,g,true,1
153.684,-31.116,false,g,true,1
206.311,-31.116,false,b,true,1
220.058,-31.116,false,b,true,1
242.516,-31.116,false,b,true,1
242.516,-20,false,l,true,1
187.637,-20,true,g,true,1
185.039,-31.116,false,g,true,1
186.492,-31.116,false,b,true,1
148.639,-31.116,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
155.426,-20,true,g,true,2
152.279,-31.116,false,g,true,2
152.279,-161.116,false,g,true,2
149.594,-161.116,false,b,true,2
149.594,-20,false,l,true,2
223.707,-20,true,g,true,2
155.198,-161.116,false,g,true,2
156.322,-161.116,false,b,true,2
156.322,-20,false,l,true,2
225.567,-20,true,g,true,2
157.868,-161.116,false,g,true,2
141.41,-161.116,false,b,true,2
141.41,-20,false,l,true,2
221.509,-20,true,g,true,2
152.013,-161.116,false,g,true,2
156.693,-161.116,false,b,true,2
156.693,-20,false,l,true,2
225.607,-20,true,g,true,2
157.924,-161.116,false,g,true,2
143.438,-161.116,false,b,true,2
143.438,-20,false,l,true,2
227.669,-20,true,g,true,2
160.857,-161.116,false,g,true,2
149.335,-161.116,false,b,true,2
149.335,-20,false,l,true,2
176.64,-20,true,g,true,2
173.878,-31.116,false,g,true,2
183.136,-31.116,false,b,true,2
183.136,-20,false,l,true,2
223.38,-20,true,g,true,2
221.202,-31.116,false,g,true,2
165.055,-31.116,false,b,true,2
165.055,-20,false,l,true,2
148.018,-20,true,g,true,2
144.711,-31.116,false,g,true,2
168.647,-31.116,false,b,true,2
193.171,-31.116,false,b,true,2
204.233,-31.116,false,b,true,2
204.233,-20,false,l,true,2
148.156,-20,true,g,true,2
144.851,-31.116,false,g,true,2
146.418,-31.116,false,b,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
223.012,-20,true,g,true,3
154.195,-161.116,false,g,true,3
147.358,-161.116,false,b,true,3
147.358,-20,false,l,true,3
217.077,-20,true,g,true,3
145.479,-161.116,false,g,true,3
159.834,-161.116,false,b,true,3
159.834,-20,false,l,true,3
220.161,-20,true,g,true,3
150.041,-161.116,false,g,true,3
159.468,-161.116,false,b,true,3
159.113,-161.116,false,b,true,3
159.113,-20,false,l,true,3
225.856,-20,true,g,true,3
158.281,-161.116,false,g,true,3
141.943,-161.116,false,b,true,3
141.943,-20,false,l,true,3
214.64,-20,true,g,true,3
141.816,-161.116,false,g,true,3
147.365,-161.116,false,b,true,3
147.365,-20,false,l,true,3
190.415,-20,true,g,true,3
187.856,-31.116,false,g,true,3
200.837,-31.116,false,b,true,3
198.736,-31.116,false,b,true,3
198.736,-20,false,l,true,3
179.268,-20,true,g,true,3
176.547,-31.116,false,g,true,3
198.29,-31.116,false,b,true,3
198.29,-20,false,l,true,3
207.093,-20,true,g,true,3
204.742,-31.116,false,g,true,3
228.715,-31.116,false,b,true,3
228.715,-20,false,l,true,3
182.392,-20,true,g,true,3
179.718,-31.116,false,g,true,3
174.711,-31.116,false,b,true,3
182.116,-31.116,false,b,true,3
186.771,-31.116,false,b,true,3
