Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.213,    27.367,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.213,    27.367,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     6.743,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.213,    27.367,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    20.035,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.213,    27.367,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    62.937,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,    72.875,    -2.628,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegHierarchyChange,    10.975,Success,,
5,'0001110011000111110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,    72.875,    -2.628,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegUpDown,   222.168,Success,,
6,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    72.875,    -2.628,    30.000,     1.000,     0.000,     0.000,     0.000,   185.125,   -16.372,   -31.116,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,   -30.875,   201.628,   -31.116,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   185.125,   -16.372,   -31.116,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,   -30.875,   201.628,   -31.116,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    16.724,Success,,
7,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    72.875,    -2.628,    37.991,     1.000,     0.000,     0.000,     0.000,   185.125,   -16.372,   -39.107,   -99.088,  -130.005,   -37.991,  -212.225,   -83.142,   -20.000,   -30.875,   201.628,   -39.107,   -99.088,   189.995,   -37.991,    14.049,   143.132,   -20.000,   185.125,   -16.372,   -39.107,   -99.088,  -130.005,   -37.991,  -113.137,  -113.137,   -37.991,   -30.875,   201.628,   -39.107,   -99.088,   189.995,   -37.991,   113.137,   113.137,   -37.991,ComMove,    16.441,Success,,
8,'0010010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,    96.636,    25.424,    37.991,     1.000,     0.000,     0.000,     0.000,   161.364,   -44.424,   -39.107,  -122.848,  -158.057,   -37.991,  -212.225,   -83.142,   -20.000,   -54.636,   173.576,   -39.107,  -122.848,   161.943,   -37.991,    14.049,   143.132,   -20.000,   161.364,   -44.424,   -39.107,  -122.848,  -158.057,   -37.991,  -113.137,  -113.137,   -37.991,   -54.636,   173.576,   -39.107,  -122.848,   161.943,   -37.991,   113.137,   113.137,   -37.991,LegHierarchyChange,     4.668,Success,,
9,'0010011111001100010111001100,true,true,false,true,true,false,Center,Center,LowerFront,Center,Center,UpperFront,FrontLeft,    96.636,    25.424,    37.991,     1.000,     0.000,     0.000,     0.000,   161.364,   -44.424,   -39.107,  -122.848,  -158.057,   -37.991,  -212.225,   -83.142,   -20.000,   -54.636,   173.576,   -39.107,  -122.848,   161.943,   -37.991,    14.049,   143.132,   -20.000,   161.364,   -44.424,   -39.107,  -122.848,  -158.057,   -37.991,  -113.137,  -113.137,   -37.991,   -54.636,   173.576,   -39.107,  -122.848,   161.943,   -37.991,   113.137,   113.137,   -37.991,LegUpDown,   122.456,Success,,
10,'0010111101001100110101000100,false,false,true,true,false,true,Center,Center,LowerFront,Center,Center,UpperFront,FrontLeft,    96.636,    25.424,    37.991,     1.000,     0.000,     0.000,     0.000,   161.364,   -44.424,   -20.000,  -122.848,  -158.057,   -20.000,   -14.636,  -144.424,   -39.107,   -54.636,   173.576,   -39.107,  -122.848,   161.943,   -20.000,   221.364,    33.576,   -28.389,   113.137,  -113.137,   -39.107,    -0.000,  -160.000,   -37.991,   -14.636,  -144.424,   -39.107,   -54.636,   173.576,   -39.107,    -0.000,   160.000,   -37.991,   221.364,    33.576,   -28.389,ComUpDown,    14.457,Success,,
11,'0010111101001100110101000100,false,false,true,true,false,true,Center,Center,LowerFront,Center,Center,UpperFront,FrontLeft,    96.636,    25.424,    66.885,     1.000,     0.000,     0.000,     0.000,   161.364,   -44.424,   -20.000,  -122.848,  -158.057,   -20.000,   -14.636,  -144.424,   -68.001,   -54.636,   173.576,   -68.001,  -122.848,   161.943,   -20.000,   221.364,    33.576,   -57.283,   113.137,  -113.137,   -68.001,    -0.000,  -160.000,   -66.885,   -14.636,  -144.424,   -68.001,   -54.636,   173.576,   -68.001,    -0.000,   160.000,   -66.885,   221.364,    33.576,   -57.283,ComMove,   148.967,Success,,
12,'0111110001001100110001000100,false,false,true,true,false,true,Center,Center,Center,Center,Center,Center,CenterFront,   174.750,    24.431,    66.885,     1.000,     0.000,     0.000,     0.000,   161.364,   -44.424,   -20.000,  -122.848,  -158.057,   -20.000,   -92.750,  -143.431,   -68.001,  -132.750,   174.569,   -68.001,  -122.848,   161.943,   -20.000,   143.250,    34.569,   -57.283,   113.137,  -113.137,   -68.001,    -0.000,  -160.000,   -66.885,   -92.750,  -143.431,   -68.001,  -132.750,   174.569,   -68.001,    -0.000,   160.000,   -66.885,   143.250,    34.569,   -57.283,LegHierarchyChange,    32.067,Success,,
13,'0111110001001100110001110111,false,false,true,true,false,true,UpperFront,UpperFront,Center,Center,Center,Center,CenterFront,   174.750,    24.431,    66.885,     1.000,     0.000,     0.000,     0.000,   161.364,   -44.424,   -20.000,  -122.848,  -158.057,   -20.000,   -92.750,  -143.431,   -68.001,  -132.750,   174.569,   -68.001,  -122.848,   161.943,   -20.000,   143.250,    34.569,   -57.283,   113.137,  -113.137,   -68.001,    -0.000,  -160.000,   -66.885,   -92.750,  -143.431,   -68.001,  -132.750,   174.569,   -68.001,    -0.000,   160.000,   -66.885,   143.250,    34.569,   -57.283,LegUpDown,   766.783,Success,,
14,'0111010011000100110011111111,true,true,true,false,true,false,UpperFront,UpperFront,Center,Center,Center,Center,CenterFront,   174.750,    24.431,    66.885,     1.000,     0.000,     0.000,     0.000,   223.250,   -23.431,   -35.847,   105.250,  -141.031,   -68.001,   -92.750,  -143.431,   -68.001,  -132.750,   174.569,   -20.000,     5.250,   152.169,   -68.001,   143.250,    34.569,   -20.000,   223.250,   -23.431,   -35.847,   105.250,  -141.031,   -68.001,   -92.750,  -143.431,   -68.001,  -113.137,   113.137,   -68.001,     5.250,   152.169,   -68.001,   113.137,   113.137,   -57.283,ComUpDown,    14.822,Success,,
15,'0111010011000100110011111111,true,true,true,false,true,false,UpperFront,UpperFront,Center,Center,Center,Center,CenterFront,   174.750,    24.431,    77.070,     1.000,     0.000,     0.000,     0.000,   223.250,   -23.431,   -46.032,   105.250,  -141.031,   -78.186,   -92.750,  -143.431,   -78.186,  -132.750,   174.569,   -20.000,     5.250,   152.169,   -78.186,   143.250,    34.569,   -20.000,   223.250,   -23.431,   -46.032,   105.250,  -141.031,   -78.186,   -92.750,  -143.431,   -78.186,  -113.137,   113.137,   -78.186,     5.250,   152.169,   -78.186,   113.137,   113.137,   -67.468,ComMove,    20.050,Success,,
16,'0111010011000100110011001100,true,true,true,false,true,false,Center,Center,Center,Center,Center,Center,CenterFront,   257.889,    26.050,    77.070,     1.000,     0.000,     0.000,     0.000,   140.111,   -25.050,   -46.032,    22.111,  -142.650,   -78.186,  -175.889,  -145.050,   -78.186,  -132.750,   174.569,   -20.000,   -77.889,   150.550,   -78.186,   143.250,    34.569,   -20.000,   140.111,   -25.050,   -46.032,    22.111,  -142.650,   -78.186,  -175.889,  -145.050,   -78.186,  -113.137,   113.137,   -78.186,   -77.889,   150.550,   -78.186,   113.137,   113.137,   -67.468,LegHierarchyChange,    10.021,Success,,
17,'0111011111000101110011001100,true,true,true,false,true,false,Center,Center,Center,LowerFront,Center,UpperFront,CenterFront,   257.889,    26.050,    77.070,     1.000,     0.000,     0.000,     0.000,   140.111,   -25.050,   -46.032,    22.111,  -142.650,   -78.186,  -175.889,  -145.050,   -78.186,  -132.750,   174.569,   -20.000,   -77.889,   150.550,   -78.186,   143.250,    34.569,   -20.000,   140.111,   -25.050,   -46.032,    22.111,  -142.650,   -78.186,  -175.889,  -145.050,   -78.186,  -113.137,   113.137,   -78.186,   -77.889,   150.550,   -78.186,   113.137,   113.137,   -67.468,LegUpDown,   148.758,Success,,
18,'0111111101001101010011000100,false,true,false,true,false,true,Center,Center,Center,LowerFront,Center,UpperFront,CenterFront,   257.889,    26.050,    77.070,     1.000,     0.000,     0.000,     0.000,   140.111,   -25.050,   -20.000,    22.111,  -142.650,   -78.186,  -175.889,  -145.050,   -20.000,   -15.889,   152.950,   -78.186,   -77.889,   150.550,   -20.000,   220.111,    32.950,   -24.596,   113.137,  -113.137,   -46.032,    22.111,  -142.650,   -78.186,  -113.137,  -113.137,   -78.186,   -15.889,   152.950,   -78.186,    -0.000,   160.000,   -78.186,   220.111,    32.950,   -24.596,ComUpDown,    14.248,Success,,
19,'0111111101001101010011000100,false,true,false,true,false,true,Center,Center,Center,LowerFront,Center,UpperFront,CenterFront,   257.889,    26.050,   105.708,     1.000,     0.000,     0.000,     0.000,   140.111,   -25.050,   -20.000,    22.111,  -142.650,  -106.824,  -175.889,  -145.050,   -20.000,   -15.889,   152.950,  -106.824,   -77.889,   150.550,   -20.000,   220.111,    32.950,   -53.234,   113.137,  -113.137,   -74.670,    22.111,  -142.650,  -106.824,  -113.137,  -113.137,  -106.824,   -15.889,   152.950,  -106.824,    -0.000,   160.000,  -106.824,   220.111,    32.950,   -53.234,ComMove,   106.105,Success,,
20,'0111110001001100010011000100,false,true,false,true,false,true,Center,Center,Center,Center,Center,Center,CenterFront,   342.154,    21.600,   105.708,     1.000,     0.000,     0.000,     0.000,   140.111,   -25.050,   -20.000,   -62.154,  -138.200,  -106.824,  -175.889,  -145.050,   -20.000,  -100.154,   157.400,  -106.824,   -77.889,   150.550,   -20.000,   135.846,    37.400,   -53.234,   113.137,  -113.137,   -74.670,   -62.154,  -138.200,  -106.824,  -113.137,  -113.137,  -106.824,  -100.154,   157.400,  -106.824,    -0.000,   160.000,  -106.824,   135.846,    37.400,   -53.234,LegHierarchyChange,    28.216,Success,,
21,'0111110001001100010111000100,false,true,false,true,false,true,Center,Center,LowerFront,Center,Center,Center,CenterFront,   342.154,    21.600,   105.708,     1.000,     0.000,     0.000,     0.000,   140.111,   -25.050,   -20.000,   -62.154,  -138.200,  -106.824,  -175.889,  -145.050,   -20.000,  -100.154,   157.400,  -106.824,   -77.889,   150.550,   -20.000,   135.846,    37.400,   -53.234,   113.137,  -113.137,   -74.670,   -62.154,  -138.200,  -106.824,  -113.137,  -113.137,  -106.824,  -100.154,   157.400,  -106.824,    -0.000,   160.000,  -106.824,   135.846,    37.400,   -53.234,LegUpDown,   740.668,Success,,
22,'0111010011000100110101001100,true,false,true,false,true,false,Center,Center,LowerFront,Center,Center,Center,CenterFront,   342.154,    21.600,   105.708,     1.000,     0.000,     0.000,     0.000,   115.846,  -120.600,   -58.593,   -62.154,  -138.200,   -20.000,   -20.154,  -140.600,  -106.824,  -100.154,   157.400,   -20.000,    -2.154,   155.000,  -106.824,   135.846,    37.400,   -20.000,   115.846,  -120.600,   -58.593,    -0.000,  -160.000,  -106.824,   -20.154,  -140.600,  -106.824,  -113.137,   113.137,  -106.824,    -2.154,   155.000,  -106.824,   113.137,   113.137,   -53.234,ComUpDown,    20.669,Success,,
23,'0111010011000100110101001100,true,false,true,false,true,false,Center,Center,LowerFront,Center,Center,Center,CenterFront,   342.154,    21.600,   126.383,     1.000,     0.000,     0.000,     0.000,   115.846,  -120.600,   -79.268,   -62.154,  -138.200,   -20.000,   -20.154,  -140.600,  -127.499,  -100.154,   157.400,   -20.000,    -2.154,   155.000,  -127.499,   135.846,    37.400,   -20.000,   115.846,  -120.600,   -79.268,    -0.000,  -160.000,  -127.499,   -20.154,  -140.600,  -127.499,  -113.137,   113.137,  -127.499,    -2.154,   155.000,  -127.499,   113.137,   113.137,   -73.909,ComMove,   150.651,Success,,
24,'0110010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,FrontRight,   428.653,    43.927,   126.383,     1.000,     0.000,     0.000,     0.000,    29.347,  -142.927,   -79.268,   -62.154,  -138.200,   -20.000,  -106.653,  -162.927,  -127.499,  -100.154,   157.400,   -20.000,   -88.653,   132.673,  -127.499,   135.846,    37.400,   -20.000,    29.347,  -142.927,   -79.268,    -0.000,  -160.000,  -127.499,  -106.653,  -162.927,  -127.499,  -113.137,   113.137,  -127.499,   -88.653,   132.673,  -127.499,   113.137,   113.137,   -73.909,LegHierarchyChange,    32.142,Success,,
25,'0110010011000111110001001100,true,false,true,false,true,false,Center,Center,Center,UpperFront,Center,Center,FrontRight,   428.653,    43.927,   126.383,     1.000,     0.000,     0.000,     0.000,    29.347,  -142.927,   -79.268,   -62.154,  -138.200,   -20.000,  -106.653,  -162.927,  -127.499,  -100.154,   157.400,   -20.000,   -88.653,   132.673,  -127.499,   135.846,    37.400,   -20.000,    29.347,  -142.927,   -79.268,    -0.000,  -160.000,  -127.499,  -106.653,  -162.927,  -127.499,  -113.137,   113.137,  -127.499,   -88.653,   132.673,  -127.499,   113.137,   113.137,   -73.909,LegUpDown,   734.233,Success,,
26,'0110110011000111010011000100,false,true,false,false,true,true,Center,Center,Center,UpperFront,Center,Center,FrontRight,   428.653,    43.927,   126.383,     1.000,     0.000,     0.000,     0.000,    29.347,  -142.927,   -20.000,    -8.653,  -160.527,  -122.140,  -106.653,  -162.927,   -20.000,  -100.154,   157.400,   -20.000,   -88.653,   132.673,  -127.499,   109.347,   115.073,   -57.832,   113.137,  -113.137,   -79.268,    -8.653,  -160.527,  -122.140,  -113.137,  -113.137,  -127.499,  -113.137,   113.137,  -127.499,   -88.653,   132.673,  -127.499,   109.347,   115.073,   -57.832,ComUpDown,    22.576,Success,,
27,'0110110011000111010011000100,false,true,false,false,true,true,Center,Center,Center,UpperFront,Center,Center,FrontRight,   428.653,    43.927,   111.083,     1.000,     0.000,     0.000,     0.000,    29.347,  -142.927,   -20.000,    -8.653,  -160.527,  -106.840,  -106.653,  -162.927,   -20.000,  -100.154,   157.400,   -20.000,   -88.653,   132.673,  -112.199,   109.347,   115.073,   -42.532,   113.137,  -113.137,   -63.968,    -8.653,  -160.527,  -106.840,  -113.137,  -113.137,  -112.199,  -113.137,   113.137,  -112.199,   -88.653,   132.673,  -112.199,   109.347,   115.073,   -42.532,ComMove,   312.750,Success,,
28,'0001110011000100010011000100,false,true,false,false,true,true,Center,Center,Center,Center,Center,Center,Front,   470.585,    14.098,   111.083,     1.000,     0.000,     0.000,     0.000,    29.347,  -142.927,   -20.000,   -50.585,  -130.698,  -106.840,  -106.653,  -162.927,   -20.000,  -100.154,   157.400,   -20.000,  -130.585,   162.502,  -112.199,    67.415,   144.902,   -42.532,   113.137,  -113.137,   -63.968,   -50.585,  -130.698,  -106.840,  -113.137,  -113.137,  -112.199,  -113.137,   113.137,  -112.199,  -130.585,   162.502,  -112.199,    67.415,   144.902,   -42.532,LegHierarchyChange,    90.485,Success,,
29,'0001110011000111010011000111,false,true,false,false,true,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,   470.585,    14.098,   111.083,     1.000,     0.000,     0.000,     0.000,    29.347,  -142.927,   -20.000,   -50.585,  -130.698,  -106.840,  -106.653,  -162.927,   -20.000,  -100.154,   157.400,   -20.000,  -130.585,   162.502,  -112.199,    67.415,   144.902,   -42.532,   113.137,  -113.137,   -63.968,   -50.585,  -130.698,  -106.840,  -113.137,  -113.137,  -112.199,  -113.137,   113.137,  -112.199,  -130.585,   162.502,  -112.199,    67.415,   144.902,   -42.532,LegUpDown,   734.168,Success,,
30,'0001110001000111110001001111,true,false,true,false,false,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,   470.585,    14.098,   111.083,     1.000,     0.000,     0.000,     0.000,   147.415,   -73.098,   -21.096,   -50.585,  -130.698,   -20.000,  -108.585,  -113.098,  -112.199,  -100.154,   157.400,   -20.000,  -130.585,   162.502,   -20.000,    67.415,   144.902,   -42.532,   147.415,   -73.098,   -21.096,    -0.000,  -160.000,  -106.840,  -108.585,  -113.098,  -112.199,  -113.137,   113.137,  -112.199,    -0.000,   160.000,  -112.199,    67.415,   144.902,   -42.532,ComUpDown,    14.764,Success,,
31,'0001110001000111110001001111,true,false,true,false,false,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,   470.585,    14.098,   138.580,     1.000,     0.000,     0.000,     0.000,   147.415,   -73.098,   -48.593,   -50.585,  -130.698,   -20.000,  -108.585,  -113.098,  -139.696,  -100.154,   157.400,   -20.000,  -130.585,   162.502,   -20.000,    67.415,   144.902,   -70.029,   147.415,   -73.098,   -48.593,    -0.000,  -160.000,  -134.337,  -108.585,  -113.098,  -139.696,  -113.137,   113.137,  -139.696,    -0.000,   160.000,  -139.696,    67.415,   144.902,   -70.029,ComMove,   118.465,Success,,
32,'0010110001000100110001001100,true,false,true,false,false,true,Center,Center,Center,Center,Center,Center,FrontLeft,   501.083,    20.557,   138.580,     1.000,     0.000,     0.000,     0.000,   116.917,   -79.557,   -48.593,   -50.585,  -130.698,   -20.000,  -139.083,  -119.557,  -139.696,  -100.154,   157.400,   -20.000,  -130.585,   162.502,   -20.000,    36.917,   138.443,   -70.029,   116.917,   -79.557,   -48.593,    -0.000,  -160.000,  -134.337,  -139.083,  -119.557,  -139.696,  -113.137,   113.137,  -139.696,    -0.000,   160.000,  -139.696,    36.917,   138.443,   -70.029,LegHierarchyChange,    26.979,Success,,
33,'0010110001110100110001001100,true,false,true,false,false,true,Center,Center,Center,Center,UpperFront,Center,FrontLeft,   501.083,    20.557,   138.580,     1.000,     0.000,     0.000,     0.000,   116.917,   -79.557,   -48.593,   -50.585,  -130.698,   -20.000,  -139.083,  -119.557,  -139.696,  -100.154,   157.400,   -20.000,  -130.585,   162.502,   -20.000,    36.917,   138.443,   -70.029,   116.917,   -79.557,   -48.593,    -0.000,  -160.000,  -134.337,  -139.083,  -119.557,  -139.696,  -113.137,   113.137,  -139.696,    -0.000,   160.000,  -139.696,    36.917,   138.443,   -70.029,LegUpDown,   804.403,Success,,
34,'0010010011111100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,UpperFront,Center,FrontLeft,   501.083,    20.557,   138.580,     1.000,     0.000,     0.000,     0.000,   116.917,   -79.557,   -48.593,    -1.083,  -157.157,  -112.901,  -139.083,  -119.557,   -20.000,  -119.083,   118.443,  -139.696,   118.917,   156.043,   -80.747,    36.917,   138.443,   -20.000,   116.917,   -79.557,   -48.593,    -1.083,  -157.157,  -112.901,  -113.137,  -113.137,  -139.696,  -119.083,   118.443,  -139.696,   118.917,   156.043,   -80.747,   113.137,   113.137,   -70.029,ComUpDown,    14.698,Success,,
35,'0010010011111100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,UpperFront,Center,FrontLeft,   501.083,    20.557,   142.947,     1.000,     0.000,     0.000,     0.000,   116.917,   -79.557,   -52.961,    -1.083,  -157.157,  -117.268,  -139.083,  -119.557,   -20.000,  -119.083,   118.443,  -144.063,   118.917,   156.043,   -85.115,    36.917,   138.443,   -20.000,   116.917,   -79.557,   -52.961,    -1.083,  -157.157,  -117.268,  -113.137,  -113.137,  -144.063,  -119.083,   118.443,  -144.063,   118.917,   156.043,   -85.115,   113.137,   113.137,   -74.397,ComMove,    26.147,Success,,
36,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   534.760,    64.970,   142.947,     1.000,     0.000,     0.000,     0.000,    83.240,  -123.970,   -52.961,   -34.760,  -201.570,  -117.268,  -139.083,  -119.557,   -20.000,  -152.760,    74.030,  -144.063,    85.240,   111.630,   -85.115,    36.917,   138.443,   -20.000,    83.240,  -123.970,   -52.961,   -34.760,  -201.570,  -117.268,  -113.137,  -113.137,  -144.063,  -152.760,    74.030,  -144.063,    85.240,   111.630,   -85.115,   113.137,   113.137,   -74.397,LegHierarchyChange,    10.096,Success,,
