Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -13.290,   -10.547,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -13.290,   -10.547,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     6.390,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -13.290,   -10.547,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    16.566,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -13.290,   -10.547,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    32.209,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    85.798,    19.448,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,    12.610,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,    85.798,    19.448,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   200.987,Success,,
6,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    85.798,    19.448,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -30.000,   -23.798,  -198.448,   -31.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -30.000,   212.202,    19.552,   -36.475,   113.137,  -113.137,   -30.000,   -99.088,  -189.995,   -30.000,   -23.798,  -198.448,   -31.116,  -113.137,   113.137,   -30.000,   -99.088,   130.005,   -30.000,   212.202,    19.552,   -36.475,ComUpDown,    18.690,Success,,
7,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    85.798,    19.448,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -30.000,   -23.798,  -198.448,   -31.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -30.000,   212.202,    19.552,   -36.475,   113.137,  -113.137,   -30.000,   -99.088,  -189.995,   -30.000,   -23.798,  -198.448,   -31.116,  -113.137,   113.137,   -30.000,   -99.088,   130.005,   -30.000,   212.202,    19.552,   -36.475,ComMove,    16.243,Success,,
8,'0110110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,   111.982,   -10.061,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -125.272,  -160.486,   -30.000,   -49.982,  -168.939,   -31.116,  -212.225,    83.142,   -20.000,  -125.272,   159.514,   -30.000,   186.018,    49.061,   -36.475,   113.137,  -113.137,   -30.000,  -125.272,  -160.486,   -30.000,   -49.982,  -168.939,   -31.116,  -113.137,   113.137,   -30.000,  -125.272,   159.514,   -30.000,   186.018,    49.061,   -36.475,LegHierarchyChange,     6.030,Success,,
9,'0110110011000100110011000111,false,true,true,false,true,true,UpperFront,Center,Center,Center,Center,Center,FrontRight,   111.982,   -10.061,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -125.272,  -160.486,   -30.000,   -49.982,  -168.939,   -31.116,  -212.225,    83.142,   -20.000,  -125.272,   159.514,   -30.000,   186.018,    49.061,   -36.475,   113.137,  -113.137,   -30.000,  -125.272,  -160.486,   -30.000,   -49.982,  -168.939,   -31.116,  -113.137,   113.137,   -30.000,  -125.272,   159.514,   -30.000,   186.018,    49.061,   -36.475,LegUpDown,   128.482,Success,,
