Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -15.729,   -24.685,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -15.729,   -24.685,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    10.000,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -15.729,   -24.685,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    16.387,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -15.729,   -24.685,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    36.828,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    83.358,     5.310,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,    12.298,Success,,
5,'0001000111001100000111001100,true,true,false,true,true,false,Center,Center,LowerBack,Center,Center,LowerBack,Front,    83.358,     5.310,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   198.491,Success,,
6,'0001100101000100100101001100,true,false,true,false,false,true,Center,Center,LowerBack,Center,Center,LowerBack,Front,    83.358,     5.310,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -20.000,  -141.358,   -24.310,   -31.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    14.642,   153.690,   -31.116,    14.049,  -143.132,   -30.000,    -0.000,  -160.000,   -30.000,  -141.358,   -24.310,   -31.116,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,    14.642,   153.690,   -31.116,ComUpDown,    30.003,Success,,
7,'0001100101000100100101001100,true,false,true,false,false,true,Center,Center,LowerBack,Center,Center,LowerBack,Front,    83.358,     5.310,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,  -160.000,   -99.088,  -189.995,   -20.000,  -141.358,   -24.310,  -161.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    14.642,   153.690,  -161.116,    14.049,  -143.132,  -160.000,    -0.000,  -160.000,  -160.000,  -141.358,   -24.310,  -161.116,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,    14.642,   153.690,  -161.116,ComMove,   166.448,Success,,
8,'0001110001000100110001001100,true,false,true,false,false,true,Center,Center,Center,Center,Center,Center,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,  -160.000,   -99.088,  -189.995,   -20.000,  -134.090,   -41.803,  -161.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    21.910,   136.197,  -161.116,    21.318,  -160.625,  -160.000,    -0.000,  -160.000,  -160.000,  -134.090,   -41.803,  -161.116,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,    21.910,   136.197,  -161.116,LegHierarchyChange,    22.696,Success,,
9,'0001110000010111110001001100,true,false,true,false,false,true,Center,Center,Center,UpperFront,LowerBack,Center,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,  -160.000,   -99.088,  -189.995,   -20.000,  -134.090,   -41.803,  -161.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    21.910,   136.197,  -161.116,    21.318,  -160.625,  -160.000,    -0.000,  -160.000,  -160.000,  -134.090,   -41.803,  -161.116,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,    21.910,   136.197,  -161.116,LegUpDown,   492.237,Success,,
