x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-20,false,l,true,0
227.443,-20,true,g,true,0
225.664,-28.3893,false,g,true,0
225.664,-34.4919,false,g,true,0
173.818,-34.4919,false,b,true,0
145.195,-34.4919,false,b,true,0
145.195,-20,false,l,true,0
224.694,-20,true,g,true,0
222.381,-32.1632,false,g,true,0
222.381,-31.7,false,l,true,0
166.091,-31.7,false,b,true,0
166.091,-20,false,l,true,0
222.229,-20,true,g,true,0
219.414,-35.2592,false,g,true,0
160.285,-35.2592,false,b,true,0
160.285,-20,false,l,true,0
168.1,-20,true,g,true,0
157.373,-59.0882,false,g,true,0
140.637,-59.0882,false,b,true,0
142.809,-59.0882,false,b,true,0
142.809,-63.1592,false,g,true,0
141.595,-63.1592,false,b,true,0
145.773,-63.1592,false,b,true,0
145.773,-20,false,l,true,0
158.316,-20,true,g,true,0
143.248,-67.4088,false,g,true,0
143.248,-67.6679,false,g,true,0
141.344,-67.6679,false,b,true,0
141.344,-86.4633,false,g,true,0
137.961,-86.4633,false,b,true,0
137.961,-88.0104,false,g,true,0
137.961,-20,false,l,false,0
174.131,-20,true,g,true,0
164.929,-55.8565,false,g,true,0
164.929,-58.8364,false,g,true,0
164.791,-58.8364,false,b,true,0
164.791,-20,false,l,true,0
207.254,-20,true,g,true,0
206.267,-20.2037,false,g,true,0
206.267,-36.514,false,g,true,0
166.231,-36.514,false,b,true,0
166.231,-20,false,l,true,0
221.185,-20,true,g,true,0
220.017,-22.7005,false,g,true,0
199.953,-22.7005,false,b,true,0
163.387,-22.7005,false,b,true,0
163.387,-20,false,l,true,0
172.436,-20,true,g,true,0
152.463,-80.5571,false,g,true,0
163.411,-80.5571,false,b,true,0
163.411,-20,false,l,true,0
162.97,-20,true,g,true,0
152.513,-57.4369,false,g,true,0
152.513,-52.6683,false,l,true,0
130.406,-52.6683,false,b,true,0
130.406,-20,false,l,false,0
164.821,-20,true,g,true,0
160.708,-36.5913,false,g,true,0
160.708,-65.8728,false,g,true,0
159.4,-65.8728,false,b,true,0
159.4,-65.0742,false,l,true,0
146.594,-65.0742,false,b,true,0
146.594,-20,false,l,true,0
165.987,-20,true,g,true,0
159.536,-45.8269,false,g,true,0
159.536,-49.2572,false,g,true,0
158.197,-49.2572,false,b,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
214.281,-37.9913,false,g,true,1
202.697,-37.9913,false,b,true,1
202.697,-20,false,l,true,1
188.581,-20,true,g,true,1
183.082,-45.2099,false,g,true,1
176.829,-45.2099,false,b,true,1
176.829,-91.1121,false,g,true,1
138.096,-91.1121,false,b,true,1
138.096,-90.6488,false,l,true,1
194.83,-90.6488,false,b,true,1
194.83,-20,false,l,true,1
198.017,-20,true,g,true,1
171.164,-99.567,false,g,true,1
186.531,-99.567,false,b,true,1
186.531,-120.768,false,g,true,1
153.104,-120.768,false,b,true,1
153.104,-139.473,false,g,true,1
175.983,-139.473,false,b,true,1
175.983,-20,false,l,true,1
199.581,-20,true,g,true,1
142.758,-139.473,false,g,true,1
187.355,-139.473,false,b,true,1
187.355,-20,false,l,true,1
204.56,-20,true,g,true,1
159.991,-127.467,false,g,true,1
177.182,-127.467,false,b,true,1
177.182,-137.076,false,g,true,1
181.081,-137.076,false,b,true,1
181.081,-20,false,l,true,1
216.631,-20,true,g,true,1
171.789,-131.976,false,g,true,1
171.789,-150.771,false,g,true,1
171.576,-150.771,false,b,true,1
171.576,-20,false,l,true,1
213.96,-20,true,g,true,1
192.512,-93.3694,false,g,true,1
182.531,-93.3694,false,b,true,1
182.531,-96.3493,false,g,true,1
197.442,-96.3493,false,b,true,1
197.442,-111.306,false,g,true,1
169.968,-111.306,false,b,true,1
169.968,-127.617,false,g,true,1
189.184,-127.617,false,b,true,1
189.184,-20,false,l,true,1
175.971,-20,true,g,true,1
149.78,-92.3673,false,g,true,1
145.27,-92.3673,false,b,true,1
145.27,-20,false,l,true,1
193.109,-20,true,g,true,1
166.555,-97.7263,false,g,true,1
166.555,-150.224,false,g,true,1
172.333,-150.224,false,b,true,1
162.651,-150.224,false,b,true,1
162.651,-132.463,false,l,true,1
173.431,-132.463,false,b,true,1
173.431,-127.694,false,l,true,1
180.634,-127.694,false,b,true,1
180.634,-20,false,l,true,1
202.729,-20,true,g,true,1
190.717,-68.7452,false,g,true,1
190.717,-98.0268,false,g,true,1
196.862,-98.0268,false,b,true,1
196.862,-20,false,l,true,1
192.808,-20,true,g,true,1
163.251,-102.587,false,g,true,1
163.251,-110.135,false,g,true,1
171.633,-110.135,false,b,true,1
171.633,-113.565,false,g,true,1
207.369,-113.565,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
159.404,-20,true,g,true,2
156.337,-31.116,false,g,true,2
156.337,-39.1073,false,g,true,2
156.378,-39.1073,false,b,true,2
156.378,-45.2099,false,g,true,2
203.083,-45.2099,false,b,true,2
237.845,-45.2099,false,b,true,2
237.845,-20,false,l,true,2
167.254,-20,true,g,true,2
140.258,-91.1121,false,g,true,2
140.258,-90.6488,false,l,true,2
196.175,-90.6488,false,b,true,2
196.175,-126.362,false,g,true,2
197.027,-126.362,false,b,true,2
197.027,-20,false,l,true,2
198.898,-20,true,g,true,2
153.6,-126.362,false,g,true,2
153.6,-147.562,false,g,true,2
165.271,-147.562,false,b,true,2
165.271,-20,false,l,true,2
