x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-20,false,l,true,0
224.279,-20,true,g,true,0
222.11,-31.116,false,g,true,0
139.138,-31.116,false,b,true,0
139.138,-20,false,l,false,0
240.89,-20,true,g,true,0
238.871,-31.116,false,g,true,0
139.53,-31.116,false,b,true,0
139.53,-20,false,l,false,0
233.656,-20,true,g,true,0
231.575,-31.116,false,g,true,0
143.017,-31.116,false,b,true,0
143.017,-20,false,l,true,0
166.912,-20,true,g,true,0
163.986,-31.116,false,g,true,0
143.816,-31.116,false,b,true,0
143.816,-20,false,l,true,0
170.756,-20,true,g,true,0
167.897,-31.116,false,g,true,0
143.789,-31.116,false,b,true,0
143.789,-20,false,l,true,0
241.604,-20,true,g,true,0
239.592,-31.116,false,g,true,0
142.699,-31.116,false,b,true,0
142.699,-20,false,l,true,0
238.033,-20,true,g,true,0
235.991,-31.116,false,g,true,0
161.463,-31.116,false,b,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
203.948,-30,false,b,true,1
203.948,-20,false,l,true,1
189.192,-20,true,g,true,1
186.616,-31.116,false,g,true,1
221.837,-31.116,false,b,true,1
240.682,-31.116,false,b,true,1
240.682,-20,false,l,true,1
201.767,-20,true,g,true,1
199.353,-31.116,false,g,true,1
172.137,-31.116,false,b,true,1
172.137,-20,false,l,true,1
201.18,-20,true,g,true,1
198.76,-31.116,false,g,true,1
141.359,-31.116,false,b,true,1
141.359,-20,false,l,true,1
201.988,-20,true,g,true,1
199.577,-31.116,false,g,true,1
136.352,-31.116,false,b,true,1
136.352,-20,false,l,false,1
163.265,-20,true,g,true,1
160.272,-31.116,false,g,true,1
192.107,-31.116,false,b,true,1
192.107,-20,false,l,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
228.284,-20,true,g,true,2
226.154,-31.116,false,g,true,2
200.991,-31.116,false,b,true,2
237.636,-31.116,false,b,true,2
218.366,-31.116,false,b,true,2
218.366,-20,false,l,true,2
153.366,-20,true,g,true,2
150.176,-31.116,false,g,true,2
234.234,-31.116,false,b,true,2
234.234,-20,false,l,true,2
157.403,-20,true,g,true,2
154.297,-31.116,false,g,true,2
219.368,-31.116,false,b,true,2
219.368,-20,false,l,true,2
181.253,-20,true,g,true,2
178.563,-31.116,false,g,true,2
235.277,-31.116,false,b,true,2
235.277,-20,false,l,true,2
157.593,-20,true,g,true,2
154.49,-31.116,false,g,true,2
202.033,-31.116,false,b,true,2
202.033,-20,false,l,true,2
149.226,-20,true,g,true,2
145.946,-31.116,false,g,true,2
200.941,-31.116,false,b,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
195.942,-20,true,g,true,3
193.456,-31.116,false,g,true,3
233.389,-31.116,false,b,true,3
233.389,-20,false,l,true,3
156.494,-20,true,g,true,3
153.369,-31.116,false,g,true,3
178.379,-31.116,false,b,true,3
237.001,-31.116,false,b,true,3
237.001,-20,false,l,true,3
159.565,-20,true,g,true,3
156.501,-31.116,false,g,true,3
186.365,-31.116,false,b,true,3
186.365,-20,false,l,true,3
164.594,-20,true,g,true,3
161.627,-31.116,false,g,true,3
205.392,-31.116,false,b,true,3
205.392,-20,false,l,true,3
168.7,-20,true,g,true,3
165.805,-31.116,false,g,true,3
228.711,-31.116,false,b,true,3
228.711,-20,false,l,true,3
159.66,-20,true,g,true,3
156.598,-31.116,false,g,true,3
195.714,-31.116,false,b,true,3
195.714,-20,false,l,true,3
160,-30,false,f,true,4
163.462,-30,false,b,true,4
206.469,-30,false,b,true,4
206.469,-20,false,l,true,4
160.74,-20,true,g,true,4
157.7,-31.116,false,g,true,4
198.946,-31.116,false,b,true,4
140.412,-31.116,false,b,true,4
140.412,-20,false,l,true,4
189.141,-20,true,g,true,4
186.564,-31.116,false,g,true,4
134.16,-31.116,false,b,true,4
134.16,-20,false,l,false,4
165.25,-20,true,g,true,4
162.295,-31.116,false,g,true,4
167.842,-31.116,false,b,true,4
167.842,-20,false,l,true,4
160.837,-20,true,g,true,4
157.798,-31.116,false,g,true,4
166.992,-31.116,false,b,true,4
166.992,-20,false,l,true,4
165.209,-20,true,g,true,4
162.252,-31.116,false,g,true,4
183.736,-31.116,false,b,true,4
183.736,-20,false,l,true,4
154.416,-20,true,g,true,4
151.249,-31.116,false,g,true,4
149.85,-31.116,false,b,true,4
160,-30,false,f,true,5
160,-20,false,l,true,5
233.569,-20,true,g,true,5
231.487,-31.116,false,g,true,5
209.991,-31.116,false,b,true,5
209.991,-20,false,l,true,5
238.996,-20,true,g,true,5
236.962,-31.116,false,g,true,5
217.962,-31.116,false,b,true,5
217.962,-20,false,l,true,5
238.82,-20,true,g,true,5
236.784,-31.116,false,g,true,5
172.964,-31.116,false,b,true,5
172.964,-20,false,l,true,5
241.121,-20,true,g,true,5
239.104,-31.116,false,g,true,5
140.729,-31.116,false,b,true,5
140.729,-20,false,l,true,5
165.615,-20,true,g,true,5
162.666,-31.116,false,g,true,5
178.888,-31.116,false,b,true,5
178.888,-20,false,l,true,5
166.928,-20,true,g,true,5
164.002,-31.116,false,g,true,5
181.876,-31.116,false,b,true,5
181.876,-20,false,l,true,5
240.821,-20,true,g,true,5
238.802,-31.116,false,g,true,5
138.857,-31.116,false,b,true,5
138.857,-20,false,l,false,5
