Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -14.216,   -25.390,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -14.216,   -25.390,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    24.072,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -14.216,   -25.390,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   976.191,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -14.216,   -25.390,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,   120.314,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    84.872,     4.605,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   374.600,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,    84.872,     4.605,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   632.770,Success,,
6,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    84.872,     4.605,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -30.000,   -22.872,  -203.605,   -31.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -30.000,   233.128,    34.395,   -31.116,   113.137,  -113.137,   -30.000,   -99.088,  -189.995,   -30.000,   -22.872,  -203.605,   -31.116,  -113.137,   113.137,   -30.000,   -99.088,   130.005,   -30.000,   233.128,    34.395,   -31.116,ComUpDown,  1128.501,Success,,
7,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    84.872,     4.605,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -30.000,   -22.872,  -203.605,   -31.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -30.000,   233.128,    34.395,   -31.116,   113.137,  -113.137,   -30.000,   -99.088,  -189.995,   -30.000,   -22.872,  -203.605,   -31.116,  -113.137,   113.137,   -30.000,   -99.088,   130.005,   -30.000,   233.128,    34.395,   -31.116,ComMove,    46.230,Success,,
8,'0110110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,   111.921,   -23.732,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -126.137,  -161.658,   -30.000,   -49.921,  -175.268,   -31.116,  -212.225,    83.142,   -20.000,  -126.137,   158.342,   -30.000,   206.079,    62.732,   -31.116,   113.137,  -113.137,   -30.000,  -126.137,  -161.658,   -30.000,   -49.921,  -175.268,   -31.116,  -113.137,   113.137,   -30.000,  -126.137,   158.342,   -30.000,   206.079,    62.732,   -31.116,LegHierarchyChange,    98.581,Success,,
9,'0110110011000111110011000100,false,true,true,false,true,true,Center,Center,Center,UpperFront,Center,Center,FrontRight,   111.921,   -23.732,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -126.137,  -161.658,   -30.000,   -49.921,  -175.268,   -31.116,  -212.225,    83.142,   -20.000,  -126.137,   158.342,   -30.000,   206.079,    62.732,   -31.116,   113.137,  -113.137,   -30.000,  -126.137,  -161.658,   -30.000,   -49.921,  -175.268,   -31.116,  -113.137,   113.137,   -30.000,  -126.137,   158.342,   -30.000,   206.079,    62.732,   -31.116,LegUpDown,   346.306,Success,,
