x,z,relay,string,error,index
160,-30,false,f,true,0
160,-43,false,g,true,0
143.82,-43,false,b,true,0
143.82,-20,false,l,true,0
174.897,-20,true,g,true,0
169.205,-44.2577,false,g,true,0
152.938,-44.2577,false,b,true,0
152.938,-20,false,l,true,0
175.97,-20,true,g,true,0
173.197,-31.116,false,g,true,0
152.539,-31.116,false,b,true,0
141.284,-31.116,false,b,true,0
141.284,-20,false,l,true,0
222.958,-20,true,g,true,0
154.116,-161.116,false,g,true,0
154.116,-163.588,false,g,true,0
143.259,-163.588,false,b,true,0
143.259,-20,false,l,true,0
226.345,-20,true,g,true,0
156.641,-163.387,false,g,true,0
156.641,-161.577,false,l,true,0
148.542,-161.577,false,b,true,0
148.542,-20,false,l,true,0
225.843,-20,true,g,true,0
157.79,-161.577,false,g,true,0
157.79,-162.669,false,g,true,0
141.48,-162.669,false,b,true,0
141.48,-20,false,l,true,0
224.834,-20,true,g,true,0
154.061,-163.754,false,g,true,0
154.061,-163.602,false,l,true,0
143.506,-163.602,false,b,true,0
143.506,-20,false,l,true,0
219.516,-20,true,g,true,0
146.195,-163.75,false,g,true,0
150.741,-163.75,false,b,true,0
150.741,-20,false,l,true,0
238.279,-20,true,g,true,0
223.312,-83.116,false,g,true,0
223.312,-37.527,false,l,true,0
176.807,-37.527,false,b,true,0
176.807,-20,false,l,true,0
230.757,-20,true,g,true,0
228.649,-31.116,false,g,true,0
145.793,-31.116,false,b,true,0
145.793,-20,false,l,true,0
179.14,-20,true,g,true,0
176.417,-31.116,false,g,true,0
149.205,-31.116,false,b,true,0
149.205,-20,false,l,true,0
232.311,-20,true,g,true,0
227.589,-46.6016,false,g,true,0
157.088,-46.6016,false,b,true,0
157.088,-20,false,l,true,0
160,-30,false,f,true,1
160,-43,false,g,true,1
214.281,-43,false,b,true,1
214.281,-43.1417,false,g,true,1
202.103,-43.1417,false,b,true,1
202.103,-20,false,l,true,1
172.775,-20,true,g,true,1
167.011,-44.2577,false,g,true,1
167.011,-31.116,false,l,true,1
147.814,-31.116,false,b,true,1
215.204,-31.116,false,b,true,1
215.204,-20,false,l,true,1
158.885,-20,true,g,true,1
155.809,-31.116,false,g,true,1
155.236,-31.116,false,b,true,1
155.236,-33.5884,false,g,true,1
196.176,-33.5884,false,b,true,1
196.176,-33.3871,false,l,true,1
141.945,-33.3871,false,b,true,1
141.945,-20,false,l,true,1
168.205,-20,true,g,true,1
165.215,-31.5773,false,g,true,1
155.082,-31.5773,false,b,true,1
155.082,-20,false,l,true,1
151.004,-20,true,g,true,1
147.183,-33.7538,false,g,true,1
147.183,-33.6018,false,l,true,1
229.394,-33.6018,false,b,true,1
229.394,-20,false,l,true,1
227.101,-20,true,g,true,1
158.497,-162.645,false,g,true,1
158.497,-83.116,false,l,true,1
158.497,-20,false,l,true,1
186.21,-20,true,g,true,1
182.39,-37.527,false,g,true,1
182.39,-31.116,false,l,true,1
164.442,-31.116,false,b,true,1
164.442,-20,false,l,true,1
157.188,-20,true,g,true,1
154.077,-31.116,false,g,true,1
242.293,-31.116,false,b,true,1
242.293,-20,false,l,true,1
175.399,-20,true,g,true,1
169.095,-46.6016,false,g,true,1
175.124,-46.6016,false,b,true,1
175.124,-20,false,l,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
241.333,-20,true,g,true,2
237.267,-44.116,false,g,true,2
237.267,-44.2577,false,g,true,2
209.052,-44.2577,false,b,true,2
177.056,-44.2577,false,b,true,2
177.056,-31.116,false,l,true,2
179.079,-31.116,false,b,true,2
179.079,-20,false,l,true,2
