Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -29.727,   -13.311,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -29.727,   -13.311,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    14.178,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -29.727,   -13.311,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   388.135,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -29.727,   -13.311,    43.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -43.000,    -0.000,  -160.000,   -43.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -43.000,    -0.000,   160.000,   -43.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -43.000,    -0.000,  -160.000,   -43.000,  -113.137,  -113.137,   -43.000,  -113.137,   113.137,   -43.000,    -0.000,   160.000,   -43.000,   113.137,   113.137,   -43.000,ComMove,    46.168,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    69.361,    16.684,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -43.000,LegHierarchyChange,   192.260,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,    69.361,    16.684,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -43.000,LegUpDown,   238.127,Success,,
6,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    69.361,    16.684,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -43.000,   -27.361,  -235.684,   -44.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -43.000,   208.639,    22.316,   -44.116,   113.137,  -113.137,   -43.000,   -99.088,  -189.995,   -43.000,   -27.361,  -235.684,   -44.116,  -113.137,   113.137,   -43.000,   -99.088,   130.005,   -43.000,   208.639,    22.316,   -44.116,ComUpDown,   228.025,Success,,
7,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    69.361,    16.684,    43.142,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -43.142,   -27.361,  -235.684,   -44.258,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -43.142,   208.639,    22.316,   -44.258,   113.137,  -113.137,   -43.142,   -99.088,  -189.995,   -43.142,   -27.361,  -235.684,   -44.258,  -113.137,   113.137,   -43.142,   -99.088,   130.005,   -43.142,   208.639,    22.316,   -44.258,ComMove,    14.936,Success,,
8,'0110110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,    99.664,   -18.058,    43.142,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -129.391,  -155.253,   -43.142,   -57.664,  -200.942,   -44.258,  -212.225,    83.142,   -20.000,  -129.391,   164.747,   -43.142,   178.336,    57.058,   -44.258,   113.137,  -113.137,   -43.142,  -129.391,  -155.253,   -43.142,   -57.664,  -200.942,   -44.258,  -113.137,   113.137,   -43.142,  -129.391,   164.747,   -43.142,   178.336,    57.058,   -44.258,LegHierarchyChange,   114.052,Success,,
9,'0110110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,    99.664,   -18.058,    43.142,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -129.391,  -155.253,   -43.142,   -57.664,  -200.942,   -44.258,  -212.225,    83.142,   -20.000,  -129.391,   164.747,   -43.142,   178.336,    57.058,   -44.258,   113.137,  -113.137,   -43.142,  -129.391,  -155.253,   -43.142,   -57.664,  -200.942,   -44.258,  -113.137,   113.137,   -43.142,  -129.391,   164.747,   -43.142,   178.336,    57.058,   -44.258,LegUpDown,   148.489,Success,,
