Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.085,   -27.040,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.085,   -27.040,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    12.898,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -26.085,   -27.040,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   392.023,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -26.085,   -27.040,    43.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -43.000,    -0.000,  -160.000,   -43.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -43.000,    -0.000,   160.000,   -43.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -43.000,    -0.000,  -160.000,   -43.000,  -113.137,  -113.137,   -43.000,  -113.137,   113.137,   -43.000,    -0.000,   160.000,   -43.000,   113.137,   113.137,   -43.000,ComMove,    40.170,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    73.002,     2.955,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -43.000,LegHierarchyChange,   214.666,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,    73.002,     2.955,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -43.000,LegUpDown,   274.047,Success,,
6,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    73.002,     2.955,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -43.000,   -31.002,  -221.955,   -44.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -43.000,   164.998,    16.045,   -44.116,   113.137,  -113.137,   -43.000,   -99.088,  -189.995,   -43.000,   -31.002,  -221.955,   -44.116,  -113.137,   113.137,   -43.000,   -99.088,   130.005,   -43.000,   164.998,    16.045,   -44.116,ComUpDown,   330.558,Success,,
7,'0001111111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    73.002,     2.955,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -43.000,   -31.002,  -221.955,   -44.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -43.000,   164.998,    16.045,   -44.116,   113.137,  -113.137,   -43.000,   -99.088,  -189.995,   -43.000,   -31.002,  -221.955,   -44.116,  -113.137,   113.137,   -43.000,   -99.088,   130.005,   -43.000,   164.998,    16.045,   -44.116,ComMove,    16.871,Success,,
8,'0110110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,    97.311,   -27.079,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -123.396,  -159.961,   -43.000,   -55.311,  -191.921,   -44.116,  -212.225,    83.142,   -20.000,  -123.396,   160.039,   -43.000,   140.689,    46.079,   -44.116,   113.137,  -113.137,   -43.000,  -123.396,  -159.961,   -43.000,   -55.311,  -191.921,   -44.116,  -113.137,   113.137,   -43.000,  -123.396,   160.039,   -43.000,   140.689,    46.079,   -44.116,LegHierarchyChange,   118.915,Success,,
9,'0110110011000100110011000111,false,true,true,false,true,true,UpperFront,Center,Center,Center,Center,Center,FrontRight,    97.311,   -27.079,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -123.396,  -159.961,   -43.000,   -55.311,  -191.921,   -44.116,  -212.225,    83.142,   -20.000,  -123.396,   160.039,   -43.000,   140.689,    46.079,   -44.116,   113.137,  -113.137,   -43.000,  -123.396,  -159.961,   -43.000,   -55.311,  -191.921,   -44.116,  -113.137,   113.137,   -43.000,  -123.396,   160.039,   -43.000,   140.689,    46.079,   -44.116,LegUpDown,   170.708,Success,,
