Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.115,   -18.004,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -24.115,   -18.004,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    12.779,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -24.115,   -18.004,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   398.529,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -24.115,   -18.004,    56.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -56.000,    -0.000,  -160.000,   -56.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -56.000,    -0.000,   160.000,   -56.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -56.000,    -0.000,  -160.000,   -56.000,  -113.137,  -113.137,   -56.000,  -113.137,   113.137,   -56.000,    -0.000,   160.000,   -56.000,   113.137,   113.137,   -56.000,ComMove,    44.316,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    74.973,    11.991,    56.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -56.000,   -99.088,  -189.995,   -56.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -56.000,   -99.088,   130.005,   -56.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -56.000,   -99.088,  -189.995,   -56.000,  -113.137,  -113.137,   -56.000,  -212.225,    83.142,   -56.000,   -99.088,   130.005,   -56.000,   113.137,   113.137,   -56.000,LegHierarchyChange,   202.164,Success,,
5,'0001000111001100000111001100,true,true,false,true,true,false,Center,Center,LowerBack,Center,Center,LowerBack,Front,    74.973,    11.991,    56.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -56.000,   -99.088,  -189.995,   -56.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -56.000,   -99.088,   130.005,   -56.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -56.000,   -99.088,  -189.995,   -56.000,  -113.137,  -113.137,   -56.000,  -212.225,    83.142,   -56.000,   -99.088,   130.005,   -56.000,   113.137,   113.137,   -56.000,LegUpDown,   288.354,Success,,
6,'0001100101000100100101001100,true,false,true,false,false,true,Center,Center,LowerBack,Center,Center,LowerBack,Front,    74.973,    11.991,    56.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -56.000,   -99.088,  -189.995,   -20.000,  -152.973,   -30.991,   -57.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    23.027,   147.009,   -57.116,    14.049,  -143.132,   -56.000,    -0.000,  -160.000,   -56.000,  -152.973,   -30.991,   -57.116,  -113.137,   113.137,   -56.000,    -0.000,   160.000,   -56.000,    23.027,   147.009,   -57.116,ComUpDown,   804.164,Success,,
7,'0001100101000100100101001100,true,false,true,false,false,true,Center,Center,LowerBack,Center,Center,LowerBack,Front,    74.973,    11.991,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,  -160.000,   -99.088,  -189.995,   -20.000,  -152.973,   -30.991,  -161.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    23.027,   147.009,  -161.116,    14.049,  -143.132,  -160.000,    -0.000,  -160.000,  -160.000,  -152.973,   -30.991,  -161.116,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,    23.027,   147.009,  -161.116,ComMove,   144.391,Success,,
8,'0001100101000100100101001100,true,false,true,false,false,true,Center,Center,LowerBack,Center,Center,LowerBack,Front,    74.973,    11.991,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,  -160.000,   -99.088,  -189.995,   -20.000,  -152.973,   -30.991,  -161.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    23.027,   147.009,  -161.116,    14.049,  -143.132,  -160.000,    -0.000,  -160.000,  -160.000,  -152.973,   -30.991,  -161.116,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,    23.027,   147.009,  -161.116,LegHierarchyChange,   440.882,Success,,
9,'0001100100010001100100011100,true,false,true,false,false,true,Center,LowerBack,LowerBack,LowerBack,LowerBack,LowerBack,Front,    74.973,    11.991,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,  -160.000,   -99.088,  -189.995,   -20.000,  -152.973,   -30.991,  -161.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -20.000,    23.027,   147.009,  -161.116,    14.049,  -143.132,  -160.000,    -0.000,  -160.000,  -160.000,  -152.973,   -30.991,  -161.116,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,    23.027,   147.009,  -161.116,LegUpDown,   710.642,Success,,
10,'0001100110011001000110010100,false,true,false,true,true,true,Center,LowerBack,LowerBack,LowerBack,LowerBack,LowerBack,Front,    74.973,    11.991,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -94.973,  -128.591,  -161.116,  -152.973,   -30.991,   -20.000,  -152.973,    27.009,  -161.116,   -94.973,   124.609,  -161.116,    23.027,   147.009,  -161.116,   113.137,  -113.137,  -160.000,   -94.973,  -128.591,  -161.116,  -113.137,  -113.137,  -161.116,  -152.973,    27.009,  -161.116,   -94.973,   124.609,  -161.116,    23.027,   147.009,  -161.116,ComUpDown,   464.258,Success,,
11,'0001100110011001000110010100,false,true,false,true,true,true,Center,LowerBack,LowerBack,LowerBack,LowerBack,LowerBack,Front,    74.973,    11.991,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -94.973,  -128.591,  -161.116,  -152.973,   -30.991,   -20.000,  -152.973,    27.009,  -161.116,   -94.973,   124.609,  -161.116,    23.027,   147.009,  -161.116,   113.137,  -113.137,  -160.000,   -94.973,  -128.591,  -161.116,  -113.137,  -113.137,  -161.116,  -152.973,    27.009,  -161.116,   -94.973,   124.609,  -161.116,    23.027,   147.009,  -161.116,ComMove,    28.248,Success,,
12,'0001110011001100010011000100,false,true,false,true,true,true,Center,Center,Center,Center,Center,Center,Front,    79.355,     9.937,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.355,  -126.537,  -161.116,  -152.973,   -30.991,   -20.000,  -157.355,    29.063,  -161.116,   -99.355,   126.663,  -161.116,    18.645,   149.063,  -161.116,   113.137,  -113.137,  -160.000,   -99.355,  -126.537,  -161.116,  -113.137,  -113.137,  -161.116,  -157.355,    29.063,  -161.116,   -99.355,   126.663,  -161.116,    18.645,   149.063,  -161.116,LegHierarchyChange,   166.361,Success,,
13,'0001110011001100000111000111,false,true,false,true,true,true,UpperFront,Center,LowerBack,Center,Center,Center,Front,    79.355,     9.937,   160.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.355,  -126.537,  -161.116,  -152.973,   -30.991,   -20.000,  -157.355,    29.063,  -161.116,   -99.355,   126.663,  -161.116,    18.645,   149.063,  -161.116,   113.137,  -113.137,  -160.000,   -99.355,  -126.537,  -161.116,  -113.137,  -113.137,  -161.116,  -157.355,    29.063,  -161.116,   -99.355,   126.663,  -161.116,    18.645,   149.063,  -161.116,LegUpDown,   262.341,Success,,
14,'0001110001000100100101001111,true,false,true,false,false,true,UpperFront,Center,LowerBack,Center,Center,Center,Front,    79.355,     9.937,   160.000,     1.000,     0.000,     0.000,     0.000,   218.645,   -28.937,   -31.116,   -99.355,  -126.537,   -20.000,  -137.355,   -28.937,  -161.116,  -157.355,    29.063,   -20.000,   -99.355,   126.663,   -20.000,    18.645,   149.063,  -161.116,   218.645,   -28.937,   -31.116,    -0.000,  -160.000,  -161.116,  -137.355,   -28.937,  -161.116,  -113.137,   113.137,  -161.116,    -0.000,   160.000,  -161.116,    18.645,   149.063,  -161.116,ComUpDown,   228.101,Success,,
15,'0001110001000100100101001111,true,false,true,false,false,true,UpperFront,Center,LowerBack,Center,Center,Center,Front,    79.355,     9.937,   160.000,     1.000,     0.000,     0.000,     0.000,   218.645,   -28.937,   -31.116,   -99.355,  -126.537,   -20.000,  -137.355,   -28.937,  -161.116,  -157.355,    29.063,   -20.000,   -99.355,   126.663,   -20.000,    18.645,   149.063,  -161.116,   218.645,   -28.937,   -31.116,    -0.000,  -160.000,  -161.116,  -137.355,   -28.937,  -161.116,  -113.137,   113.137,  -161.116,    -0.000,   160.000,  -161.116,    18.645,   149.063,  -161.116,ComMove,    18.069,Success,,
