x,z,relay,string,error,index
160,-30,false,f,true,0
160,-69,false,g,true,0
143.82,-69,false,b,true,0
143.82,-20,false,l,true,0
242.173,-20,true,g,true,0
236.365,-52.7209,false,g,true,0
236.365,-52.3616,false,l,true,0
215.279,-52.3616,false,b,true,0
215.279,-20,false,l,true,0
232.471,-20,true,g,true,0
228.711,-41.6436,false,g,true,0
228.711,-47.4644,false,g,true,0
228.711,-20,false,l,true,0
160.906,-20,true,g,true,0
150.019,-58.1824,false,g,true,0
150.019,-70.116,false,g,true,0
144.732,-70.116,false,b,true,0
144.732,-20,false,l,true,0
228.974,-20,true,g,true,0
223.308,-50.6213,false,g,true,0
223.308,-30.6372,false,l,true,0
208.988,-30.6372,false,b,true,0
208.988,-30.3437,false,l,true,0
207.504,-30.3437,false,b,true,0
207.504,-20,false,l,true,0
238.915,-20,true,g,true,0
237.624,-24.7975,false,g,true,0
237.624,-20,false,l,true,0
170.858,-20,true,g,true,0
142.266,-94.6203,false,g,true,0
142.266,-87.1773,false,l,true,0
141.271,-87.1773,false,b,true,0
141.271,-20,false,l,true,0
163.128,-20,true,g,true,0
154.576,-52.1247,false,g,true,0
154.576,-77.3545,false,g,true,0
165.034,-77.3545,false,b,true,0
165.034,-20,false,l,true,0
188.161,-20,true,g,true,0
162.856,-94.2473,false,g,true,0
162.856,-67.2804,false,l,true,0
146.715,-67.2804,false,b,true,0
146.715,-20,false,l,true,0
235.264,-20,true,g,true,0
233.598,-27.9475,false,g,true,0
233.598,-65.1931,false,g,true,0
225.742,-65.1931,false,b,true,0
225.742,-20,false,l,true,0
185.089,-20,true,g,true,0
157.86,-96.6328,false,g,true,0
157.86,-105.766,false,g,true,0
157.86,-20,false,l,true,0
163.591,-20,true,g,true,0
161.877,-23.6174,false,g,true,0
161.877,-20,false,l,true,0
186.624,-20,true,g,true,0
183.536,-33.8054,false,g,true,0
183.536,-70.8712,false,g,true,0
163.171,-70.8712,false,b,true,0
163.171,-20,false,l,true,0
218.798,-20,true,g,true,0
217.721,-21.6776,false,g,true,0
217.721,-43.7657,false,g,true,0
190.457,-43.7657,false,b,true,0
190.457,-41.4699,false,l,true,0
174.317,-41.4699,false,b,true,0
174.317,-20,false,l,true,0
168.122,-20,true,g,true,0
146.181,-83.0431,false,g,true,0
146.181,-58.0712,false,l,true,0
146.181,-20,false,l,true,0
167.773,-20,true,g,true,0
155.606,-62.725,false,g,true,0
147.275,-62.725,false,b,true,0
145.359,-62.725,false,b,true,0
145.359,-40.61,false,l,true,0
145.359,-73.8389,false,g,true,0
144.457,-73.8389,false,b,true,0
144.457,-20,false,l,true,0
191.718,-20,true,g,true,0
187.604,-39.5007,false,g,true,0
151.552,-39.5007,false,b,true,0
151.552,-20,false,l,true,0
201.579,-20,true,g,true,0
200.019,-25.0298,false,g,true,0
