Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -11.150,   -14.550,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -11.150,   -14.550,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    16.806,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -11.150,   -14.550,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   414.824,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -11.150,   -14.550,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -69.000,    -0.000,  -160.000,   -69.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -69.000,    -0.000,   160.000,   -69.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -69.000,    -0.000,  -160.000,   -69.000,  -113.137,  -113.137,   -69.000,  -113.137,   113.137,   -69.000,    -0.000,   160.000,   -69.000,   113.137,   113.137,   -69.000,ComMove,    44.021,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    87.937,    15.445,    69.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -69.000,   -99.088,  -189.995,   -69.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -69.000,   -99.088,   130.005,   -69.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -69.000,   -99.088,  -189.995,   -69.000,  -113.137,  -113.137,   -69.000,  -212.225,    83.142,   -69.000,   -99.088,   130.005,   -69.000,   113.137,   113.137,   -69.000,LegHierarchyChange,   194.827,Success,,
5,'0001010111001100001111001100,true,true,false,true,true,false,Center,Center,UpperBack,Center,Center,LowerFront,Front,    87.937,    15.445,    69.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -69.000,   -99.088,  -189.995,   -69.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -69.000,   -99.088,   130.005,   -69.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -69.000,   -99.088,  -189.995,   -69.000,  -113.137,  -113.137,   -69.000,  -212.225,    83.142,   -69.000,   -99.088,   130.005,   -69.000,   113.137,   113.137,   -69.000,LegUpDown,   244.105,Success,,
6,'0001110111000100101111000100,false,true,true,false,true,true,Center,Center,UpperBack,Center,Center,LowerFront,Front,    87.937,    15.445,    69.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -69.000,  -225.937,   -34.445,   -70.116,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -69.000,   150.063,    23.555,   -70.116,   113.137,  -113.137,   -69.000,   -99.088,  -189.995,   -69.000,  -225.937,   -34.445,   -70.116,  -113.137,   113.137,   -69.000,   -99.088,   130.005,   -69.000,   150.063,    23.555,   -70.116,ComUpDown,   336.022,Success,,
7,'0001110111000100101111000100,false,true,true,false,true,true,Center,Center,UpperBack,Center,Center,LowerFront,Front,    87.937,    15.445,    51.605,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -51.605,  -225.937,   -34.445,   -52.721,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -51.605,   150.063,    23.555,   -52.721,   113.137,  -113.137,   -51.605,   -99.088,  -189.995,   -51.605,  -225.937,   -34.445,   -52.721,  -113.137,   113.137,   -51.605,   -99.088,   130.005,   -51.605,   150.063,    23.555,   -52.721,ComMove,    14.957,Success,,
8,'0001110111000100101111000100,false,true,true,false,true,true,Center,Center,UpperBack,Center,Center,LowerFront,Front,    87.937,    15.445,    51.605,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -51.605,  -225.937,   -34.445,   -52.721,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -51.605,   150.063,    23.555,   -52.721,   113.137,  -113.137,   -51.605,   -99.088,  -189.995,   -51.605,  -225.937,   -34.445,   -52.721,  -113.137,   113.137,   -51.605,   -99.088,   130.005,   -51.605,   150.063,    23.555,   -52.721,LegHierarchyChange,   154.198,Success,,
9,'0001110111000101101111000011,false,true,true,false,true,true,UpperBack,Center,UpperBack,LowerFront,Center,LowerFront,Front,    87.937,    15.445,    51.605,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -51.605,  -225.937,   -34.445,   -52.721,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -51.605,   150.063,    23.555,   -52.721,   113.137,  -113.137,   -51.605,   -99.088,  -189.995,   -51.605,  -225.937,   -34.445,   -52.721,  -113.137,   113.137,   -51.605,   -99.088,   130.005,   -51.605,   150.063,    23.555,   -52.721,LegUpDown,   164.582,Success,,
