x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
239.01,-20,true,g,true,0
236.976,-31.116,false,g,true,0
236.976,-44.5922,false,g,true,0
215.606,-44.5922,false,b,true,0
215.606,-20,false,l,true,0
240.876,-20,true,g,true,0
236.712,-44.5922,false,g,true,0
236.712,-44.8913,false,g,true,0
144.116,-44.8913,false,b,true,0
144.116,-20,false,l,true,0
168.29,-20,true,g,true,0
165.388,-31.116,false,g,true,0
142.921,-31.116,false,b,true,0
142.921,-20,false,l,true,0
240.526,-20,true,g,true,0
238.505,-31.116,false,g,true,0
238.505,-42.7753,false,g,true,0
141.138,-42.7753,false,b,true,0
141.138,-20,false,l,true,0
200.737,-20,true,g,true,0
196.127,-42.7753,false,g,true,0
196.127,-71.801,false,g,true,0
140.959,-71.801,false,b,true,0
140.959,-20,false,l,true,0
169.293,-20,true,g,true,0
165.019,-37.8016,false,g,true,0
154.054,-37.8016,false,b,true,0
154.054,-20,false,l,true,0
204.608,-20,true,g,true,0
201.086,-37.8016,false,g,true,0
142.991,-37.8016,false,b,true,0
142.991,-20,false,l,true,0
171.206,-20,true,g,true,0
165.154,-45.119,false,g,true,0
148.606,-45.119,false,b,true,0
148.606,-20,false,l,true,0
173.963,-20,true,g,true,0
168.011,-45.119,false,g,true,0
168.011,-31.116,false,l,true,0
159.302,-31.116,false,b,true,0
159.302,-20,false,l,true,0
192.706,-20,true,g,true,0
167.254,-95.7168,false,g,true,0
167.254,-43.6904,false,l,true,0
147.855,-43.6904,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
163.462,-43.4762,false,g,true,1
204.499,-43.4762,false,b,true,1
204.499,-20,false,l,true,1
170.392,-20,true,g,true,1
164.454,-44.5922,false,g,true,1
164.454,-44.8913,false,g,true,1
178.139,-44.8913,false,b,true,1
178.139,-31.116,false,l,true,1
198.771,-31.116,false,b,true,1
198.771,-20,false,l,true,1
155.992,-20,true,g,true,1
152.858,-31.116,false,g,true,1
152.858,-42.7753,false,g,true,1
212.251,-42.7753,false,b,true,1
212.251,-20,false,l,true,1
161.563,-20,true,g,true,1
155.798,-42.7753,false,g,true,1
155.798,-71.801,false,g,true,1
209.705,-71.801,false,b,true,1
209.705,-20,false,l,true,1
158.931,-20,true,g,true,1
154.37,-37.8016,false,g,true,1
188.175,-37.8016,false,b,true,1
168.057,-37.8016,false,b,true,1
168.057,-20,false,l,true,1
190.491,-20,true,g,true,1
186.702,-37.8016,false,g,true,1
186.702,-45.119,false,g,true,1
153.712,-45.119,false,b,true,1
153.712,-20,false,l,true,1
207.266,-20,true,g,true,1
202.295,-45.119,false,g,true,1
141.49,-45.119,false,b,true,1
141.49,-20,false,l,true,1
