Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -15.978,     2.363,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -15.978,     2.363,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    24.218,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -15.978,     2.363,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   382.322,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -15.978,     2.363,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    42.669,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,    83.109,   -27.632,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegHierarchyChange,   186.151,Success,,
5,'0001110011000111110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,    83.109,   -27.632,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegUpDown,   244.461,Success,,
6,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    83.109,   -27.632,    30.000,     1.000,     0.000,     0.000,     0.000,   234.891,   -31.368,   -31.116,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,   -21.109,   206.632,   -31.116,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   234.891,   -31.368,   -31.116,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,   -21.109,   206.632,   -31.116,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   230.364,Success,,
7,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    83.109,   -27.632,    43.476,     1.000,     0.000,     0.000,     0.000,   234.891,   -31.368,   -44.592,   -99.088,  -130.005,   -43.476,  -212.225,   -83.142,   -20.000,   -21.109,   206.632,   -44.592,   -99.088,   189.995,   -43.476,    14.049,   143.132,   -20.000,   234.891,   -31.368,   -44.592,   -99.088,  -130.005,   -43.476,  -113.137,  -113.137,   -43.476,   -21.109,   206.632,   -44.592,   -99.088,   189.995,   -43.476,   113.137,   113.137,   -43.476,ComMove,    16.227,Success,,
8,'0010010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,   111.324,     2.407,    43.476,     1.000,     0.000,     0.000,     0.000,   206.676,   -61.407,   -44.592,  -127.302,  -160.044,   -43.476,  -212.225,   -83.142,   -20.000,   -49.324,   176.593,   -44.592,  -127.302,   159.956,   -43.476,    14.049,   143.132,   -20.000,   206.676,   -61.407,   -44.592,  -127.302,  -160.044,   -43.476,  -113.137,  -113.137,   -43.476,   -49.324,   176.593,   -44.592,  -127.302,   159.956,   -43.476,   113.137,   113.137,   -43.476,LegHierarchyChange,   116.188,Success,,
9,'0010011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,FrontLeft,   111.324,     2.407,    43.476,     1.000,     0.000,     0.000,     0.000,   206.676,   -61.407,   -44.592,  -127.302,  -160.044,   -43.476,  -212.225,   -83.142,   -20.000,   -49.324,   176.593,   -44.592,  -127.302,   159.956,   -43.476,    14.049,   143.132,   -20.000,   206.676,   -61.407,   -44.592,  -127.302,  -160.044,   -43.476,  -113.137,  -113.137,   -43.476,   -49.324,   176.593,   -44.592,  -127.302,   159.956,   -43.476,   113.137,   113.137,   -43.476,LegUpDown,   150.050,Success,,
