x,z,relay,string,error,index
160,-30,false,f,true,0
160,-43,false,g,true,0
143.82,-43,false,b,true,0
143.82,-20,false,l,true,0
181.415,-20,true,g,true,0
177.149,-39.1073,false,g,true,0
177.149,-38.7332,false,l,true,0
177.149,-20,false,l,true,0
161.088,-20,true,g,true,0
158.054,-31.116,false,g,true,0
155.471,-31.116,false,b,true,0
155.471,-20,false,l,true,0
226.604,-20,true,g,true,0
159.346,-161.116,false,g,true,0
159.346,-162.266,false,g,true,0
147.368,-162.266,false,b,true,0
147.368,-20,false,l,true,0
227.652,-20,true,g,true,0
160.832,-161.116,false,g,true,0
160.832,-161.873,false,g,true,0
132.764,-161.873,false,b,true,0
132.764,-20,false,l,false,0
224.678,-20,true,g,true,0
155.813,-161.873,false,g,true,0
155.813,-163.169,false,g,true,0
137.297,-163.169,false,b,true,0
137.297,-20,false,l,false,0
217.327,-20,true,g,true,0
143.55,-163.169,false,g,true,0
143.55,-165.991,false,g,true,0
139.058,-165.991,false,b,true,0
139.058,-20,false,l,false,0
219.709,-20,true,g,true,0
143.94,-165.991,false,g,true,0
143.94,-164.711,false,l,true,0
136.213,-164.711,false,b,true,0
136.213,-162.878,false,l,true,0
130.07,-162.878,false,b,true,0
130.07,-20,false,l,false,0
215.737,-20,true,g,true,0
141.468,-162.878,false,g,true,0
141.468,-173.062,false,g,true,0
139.808,-173.062,false,b,true,0
139.808,-166.762,false,l,true,0
139.808,-164.416,false,l,true,0
133.511,-164.416,false,b,true,0
152.048,-164.416,false,b,true,0
152.048,-164.086,false,l,true,0
152.048,-163.237,false,l,true,0
145.493,-163.237,false,b,true,0
145.493,-20,false,l,true,0
242.521,-20,true,g,true,0
238.475,-44.116,false,g,true,0
238.475,-42.8131,false,l,true,0
179.813,-42.8131,false,b,true,0
179.813,-20,false,l,true,0
242.754,-20,true,g,true,0
238.949,-42.8131,false,g,true,0
158.738,-42.8131,false,b,true,0
158.738,-20,false,l,true,0
233.552,-20,true,g,true,0
231.47,-31.116,false,g,true,0
146.965,-31.116,false,b,true,0
146.965,-20,false,l,true,0
160,-30,false,f,true,1
160,-43,false,g,true,1
214.281,-43,false,b,true,1
214.281,-37.9913,false,l,true,1
192.823,-37.9913,false,b,true,1
192.823,-20,false,l,true,1
160.013,-20,true,g,true,1
155.254,-38.7332,false,g,true,1
155.254,-31.116,false,l,true,1
133.287,-31.116,false,b,true,1
133.287,-20,false,l,false,1
159.205,-20,true,g,true,1
156.134,-31.116,false,g,true,1
156.134,-106.441,false,g,true,1
186.689,-106.441,false,b,true,1
186.689,-64.4982,false,l,true,1
153.853,-64.4982,false,b,true,1
153.853,-31.116,false,l,true,1
159.352,-31.116,false,b,true,1
159.352,-20,false,l,true,1
178.294,-20,true,g,true,1
175.35,-32.2658,false,g,true,1
175.35,-31.116,false,l,true,1
161.204,-31.116,false,b,true,1
147.533,-31.116,false,b,true,1
147.533,-20,false,l,true,1
163.173,-20,true,g,true,1
160.03,-31.8728,false,g,true,1
161.005,-31.8728,false,b,true,1
161.005,-20,false,l,true,1
158.713,-20,true,g,true,1
155.208,-33.1694,false,g,true,1
155.208,-35.9915,false,g,true,1
236.658,-35.9915,false,b,true,1
232.88,-35.9915,false,b,true,1
232.88,-20,false,l,true,1
222.999,-20,true,g,true,1
220.562,-32.8785,false,g,true,1
220.562,-43.0617,false,g,true,1
234.1,-43.0617,false,b,true,1
234.1,-20,false,l,true,1
223.512,-20,true,g,true,1
151.409,-164.416,false,g,true,1
151.409,-164.086,false,l,true,1
151.409,-163.237,false,l,true,1
