Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -20.832,   -24.223,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -20.832,   -24.223,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    22.148,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -20.832,   -24.223,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   374.022,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -20.832,   -24.223,    43.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -43.000,    -0.000,  -160.000,   -43.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -43.000,    -0.000,   160.000,   -43.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -43.000,    -0.000,  -160.000,   -43.000,  -113.137,  -113.137,   -43.000,  -113.137,   113.137,   -43.000,    -0.000,   160.000,   -43.000,   113.137,   113.137,   -43.000,ComMove,    48.012,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    78.256,     5.772,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -43.000,LegHierarchyChange,   224.434,Success,,
5,'0001010011001100000111001100,true,true,false,true,true,false,Center,Center,LowerBack,Center,Center,Center,Front,    78.256,     5.772,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -212.225,    83.142,   -43.000,   -99.088,   130.005,   -43.000,   113.137,   113.137,   -43.000,LegUpDown,   272.459,Success,,
6,'0001110011000100000111000100,false,true,false,false,true,true,Center,Center,LowerBack,Center,Center,Center,Front,    78.256,     5.772,    43.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -43.000,   119.744,   113.228,   -44.116,   113.137,  -113.137,   -43.000,   -99.088,  -189.995,   -43.000,  -113.137,  -113.137,   -43.000,  -113.137,   113.137,   -43.000,   -99.088,   130.005,   -43.000,   119.744,   113.228,   -44.116,ComUpDown,   540.237,Success,,
7,'0001110011000100000111000100,false,true,false,false,true,true,Center,Center,LowerBack,Center,Center,Center,Front,    78.256,     5.772,    37.991,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,   -99.088,  -189.995,   -37.991,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,   -99.088,   130.005,   -37.991,   119.744,   113.228,   -39.107,   113.137,  -113.137,   -37.991,   -99.088,  -189.995,   -37.991,  -113.137,  -113.137,   -37.991,  -113.137,   113.137,   -37.991,   -99.088,   130.005,   -37.991,   119.744,   113.228,   -39.107,ComMove,   224.524,Success,,
8,'0001110011000100010011000100,false,true,false,false,true,true,Center,Center,Center,Center,Center,Center,Front,   102.365,   -35.888,    37.991,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -123.196,  -148.335,   -37.991,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,  -123.196,   171.665,   -37.991,    95.635,   154.888,   -39.107,   113.137,  -113.137,   -37.991,  -123.196,  -148.335,   -37.991,  -113.137,  -113.137,   -37.991,  -113.137,   113.137,   -37.991,  -123.196,   171.665,   -37.991,    95.635,   154.888,   -39.107,LegHierarchyChange,   994.712,Success,,
9,'0001110011000101001111000111,false,true,false,false,true,true,UpperFront,Center,UpperBack,LowerFront,Center,Center,Front,   102.365,   -35.888,    37.991,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -20.000,  -123.196,  -148.335,   -37.991,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -20.000,  -123.196,   171.665,   -37.991,    95.635,   154.888,   -39.107,   113.137,  -113.137,   -37.991,  -123.196,  -148.335,   -37.991,  -113.137,  -113.137,   -37.991,  -113.137,   113.137,   -37.991,  -123.196,   171.665,   -37.991,    95.635,   154.888,   -39.107,LegUpDown,  1234.238,Success,,
