Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -27.472,    22.305,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -27.472,    22.305,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    18.477,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -27.472,    22.305,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   348.822,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -27.472,    22.305,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -69.000,  -113.137,  -113.137,   -69.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -69.000,   113.137,   113.137,   -69.000,   113.137,  -113.137,   -69.000,    -0.000,  -160.000,   -69.000,  -113.137,  -113.137,   -69.000,  -113.137,   113.137,   -69.000,    -0.000,   160.000,   -69.000,   113.137,   113.137,   -69.000,ComMove,    46.967,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,    71.615,    -7.690,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,   113.137,  -113.137,   -69.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -69.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,LegHierarchyChange,   220.984,Success,,
5,'0001110011000111110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,    71.615,    -7.690,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,   113.137,  -113.137,   -69.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -69.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,LegUpDown,   264.966,Success,,
6,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    71.615,    -7.690,    69.000,     1.000,     0.000,     0.000,     0.000,   226.385,   -31.310,   -75.475,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -20.000,   -29.615,   206.690,   -70.116,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -20.000,   226.385,   -31.310,   -75.475,   -99.088,  -130.005,   -69.000,  -113.137,  -113.137,   -69.000,   -29.615,   206.690,   -70.116,   -99.088,   189.995,   -69.000,   113.137,   113.137,   -69.000,ComUpDown,   234.957,Success,,
7,'0001010011001111010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,    71.615,    -7.690,    30.000,     1.000,     0.000,     0.000,     0.000,   226.385,   -31.310,   -36.475,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,   -29.615,   206.690,   -31.116,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   226.385,   -31.310,   -36.475,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,   -29.615,   206.690,   -31.116,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComMove,    16.769,Success,,
8,'0010010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,    98.185,    20.599,    30.000,     1.000,     0.000,     0.000,     0.000,   199.815,   -59.599,   -36.475,  -125.657,  -158.294,   -30.000,  -212.225,   -83.142,   -20.000,   -56.185,   178.401,   -31.116,  -125.657,   161.706,   -30.000,    14.049,   143.132,   -20.000,   199.815,   -59.599,   -36.475,  -125.657,  -158.294,   -30.000,  -113.137,  -113.137,   -30.000,   -56.185,   178.401,   -31.116,  -125.657,   161.706,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   118.710,Success,,
9,'0010011111001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,UpperFront,FrontLeft,    98.185,    20.599,    30.000,     1.000,     0.000,     0.000,     0.000,   199.815,   -59.599,   -36.475,  -125.657,  -158.294,   -30.000,  -212.225,   -83.142,   -20.000,   -56.185,   178.401,   -31.116,  -125.657,   161.706,   -30.000,    14.049,   143.132,   -20.000,   199.815,   -59.599,   -36.475,  -125.657,  -158.294,   -30.000,  -113.137,  -113.137,   -30.000,   -56.185,   178.401,   -31.116,  -125.657,   161.706,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   154.825,Success,,
