Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.721,    22.623,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.721,    22.623,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    20.756,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.721,    22.623,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   404.879,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -26.721,    22.623,    56.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -56.000,  -113.137,  -113.137,   -56.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -56.000,   113.137,   113.137,   -56.000,   113.137,  -113.137,   -56.000,    -0.000,  -160.000,   -56.000,  -113.137,  -113.137,   -56.000,  -113.137,   113.137,   -56.000,    -0.000,   160.000,   -56.000,   113.137,   113.137,   -56.000,ComMove,    40.671,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,    72.367,    -7.371,    56.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -56.000,  -212.225,   -83.142,   -56.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -56.000,    14.049,   143.132,   -56.000,   113.137,  -113.137,   -56.000,   -99.088,  -130.005,   -56.000,  -212.225,   -83.142,   -56.000,  -113.137,   113.137,   -56.000,   -99.088,   189.995,   -56.000,    14.049,   143.132,   -56.000,LegHierarchyChange,   220.329,Success,,
5,'0001110011000001110011000100,false,true,true,false,true,true,Center,Center,Center,LowerBack,Center,Center,Front,    72.367,    -7.371,    56.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -56.000,  -212.225,   -83.142,   -56.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -56.000,    14.049,   143.132,   -56.000,   113.137,  -113.137,   -56.000,   -99.088,  -130.005,   -56.000,  -212.225,   -83.142,   -56.000,  -113.137,   113.137,   -56.000,   -99.088,   189.995,   -56.000,    14.049,   143.132,   -56.000,LegUpDown,   280.776,Success,,
6,'0001110001001001010001001100,true,false,false,true,false,true,Center,Center,Center,LowerBack,Center,Center,Front,    72.367,    -7.371,    56.000,     1.000,     0.000,     0.000,     0.000,   105.633,  -111.629,   -57.116,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -150.367,    26.371,   -57.116,   -99.088,   189.995,   -20.000,    14.049,   143.132,   -56.000,   105.633,  -111.629,   -57.116,    -0.000,  -160.000,   -56.000,  -113.137,  -113.137,   -56.000,  -150.367,    26.371,   -57.116,    -0.000,   160.000,   -56.000,    14.049,   143.132,   -56.000,ComUpDown,   602.889,Success,,
7,'0001110001001001010001001100,true,false,false,true,false,true,Center,Center,Center,LowerBack,Center,Center,Front,    72.367,    -7.371,   160.000,     1.000,     0.000,     0.000,     0.000,   105.633,  -111.629,  -161.116,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -150.367,    26.371,  -161.116,   -99.088,   189.995,   -20.000,    14.049,   143.132,  -160.000,   105.633,  -111.629,  -161.116,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -150.367,    26.371,  -161.116,    -0.000,   160.000,  -160.000,    14.049,   143.132,  -160.000,ComMove,   132.486,Success,,
8,'0001110001001100010001001100,true,false,false,true,false,true,Center,Center,Center,Center,Center,Center,Front,    69.436,   -25.861,   160.000,     1.000,     0.000,     0.000,     0.000,   108.564,   -93.139,  -161.116,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -147.436,    44.861,  -161.116,   -99.088,   189.995,   -20.000,    16.981,   161.622,  -160.000,   108.564,   -93.139,  -161.116,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -147.436,    44.861,  -161.116,    -0.000,   160.000,  -160.000,    16.981,   161.622,  -160.000,LegHierarchyChange,   470.315,Success,,
9,'0001110001011100010101011100,true,false,false,true,false,true,Center,LowerFront,LowerFront,Center,LowerFront,Center,Front,    69.436,   -25.861,   160.000,     1.000,     0.000,     0.000,     0.000,   108.564,   -93.139,  -161.116,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -147.436,    44.861,  -161.116,   -99.088,   189.995,   -20.000,    16.981,   161.622,  -160.000,   108.564,   -93.139,  -161.116,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -147.436,    44.861,  -161.116,    -0.000,   160.000,  -160.000,    16.981,   161.622,  -160.000,LegUpDown,   672.456,Success,,
10,'0001010011010100110111011100,true,true,true,false,true,false,Center,LowerFront,LowerFront,Center,LowerFront,Center,Front,    69.436,   -25.861,   160.000,     1.000,     0.000,     0.000,     0.000,   108.564,   -93.139,  -161.116,    90.564,  -110.739,  -161.116,   -27.436,  -153.139,  -161.116,  -147.436,    44.861,   -20.000,    70.564,   122.461,  -161.116,    16.981,   161.622,   -20.000,   108.564,   -93.139,  -161.116,    90.564,  -110.739,  -161.116,   -27.436,  -153.139,  -161.116,  -113.137,   113.137,  -161.116,    70.564,   122.461,  -161.116,   113.137,   113.137,  -160.000,ComUpDown,   518.812,Success,,
11,'0001010011010100110111011100,true,true,true,false,true,false,Center,LowerFront,LowerFront,Center,LowerFront,Center,Front,    69.436,   -25.861,   160.000,     1.000,     0.000,     0.000,     0.000,   108.564,   -93.139,  -161.116,    90.564,  -110.739,  -161.116,   -27.436,  -153.139,  -161.116,  -147.436,    44.861,   -20.000,    70.564,   122.461,  -161.116,    16.981,   161.622,   -20.000,   108.564,   -93.139,  -161.116,    90.564,  -110.739,  -161.116,   -27.436,  -153.139,  -161.116,  -113.137,   113.137,  -161.116,    70.564,   122.461,  -161.116,   113.137,   113.137,  -160.000,ComMove,    22.002,Success,,
12,'1000010011000100110011001100,true,true,true,false,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,  -161.116,   -36.783,  -156.623,  -161.116,  -147.436,    44.861,   -20.000,    61.217,   118.977,  -161.116,    16.981,   161.622,   -20.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,  -161.116,   -36.783,  -156.623,  -161.116,  -113.137,   113.137,  -161.116,    61.217,   118.977,  -161.116,   113.137,   113.137,  -160.000,LegHierarchyChange,    90.209,Success,,
13,'1000011111000101110011001100,true,true,true,false,true,false,Center,Center,Center,LowerFront,Center,UpperFront,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,  -161.116,   -36.783,  -156.623,  -161.116,  -147.436,    44.861,   -20.000,    61.217,   118.977,  -161.116,    16.981,   161.622,   -20.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,  -161.116,   -36.783,  -156.623,  -161.116,  -113.137,   113.137,  -161.116,    61.217,   118.977,  -161.116,   113.137,   113.137,  -160.000,LegUpDown,   198.813,Success,,
14,'1000111101001101110001001100,true,false,true,true,false,true,Center,Center,Center,LowerFront,Center,UpperFront,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,   -20.000,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    61.217,   118.977,   -20.000,   219.217,    21.377,   -31.116,    99.217,   -96.623,  -161.116,    -0.000,  -160.000,  -161.116,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    -0.000,   160.000,  -161.116,   219.217,    21.377,   -31.116,ComUpDown,   294.530,Success,,
15,'1000111101001101110001001100,true,false,true,true,false,true,Center,Center,Center,LowerFront,Center,UpperFront,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,   -20.000,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    61.217,   118.977,   -20.000,   219.217,    21.377,   -31.116,    99.217,   -96.623,  -161.116,    -0.000,  -160.000,  -161.116,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    -0.000,   160.000,  -161.116,   219.217,    21.377,   -31.116,ComMove,     8.049,Success,,
16,'1000111101001101110001001100,true,false,true,true,false,true,Center,Center,Center,LowerFront,Center,UpperFront,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,   -20.000,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    61.217,   118.977,   -20.000,   219.217,    21.377,   -31.116,    99.217,   -96.623,  -161.116,    -0.000,  -160.000,  -161.116,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    -0.000,   160.000,  -161.116,   219.217,    21.377,   -31.116,LegHierarchyChange,    60.871,Success,,
17,'1000111101111101110001001100,true,false,true,true,false,true,Center,Center,Center,LowerFront,UpperFront,UpperFront,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,  -161.116,    81.217,  -114.223,   -20.000,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    61.217,   118.977,   -20.000,   219.217,    21.377,   -31.116,    99.217,   -96.623,  -161.116,    -0.000,  -160.000,  -161.116,   -36.783,  -156.623,  -161.116,   -16.783,   141.377,  -161.116,    -0.000,   160.000,  -161.116,   219.217,    21.377,   -31.116,LegUpDown,   116.945,Success,,
18,'1000111101111101010011000100,false,true,false,true,false,true,Center,Center,Center,LowerFront,UpperFront,UpperFront,CenterBack,    78.783,   -22.377,   160.000,     1.000,     0.000,     0.000,     0.000,    99.217,   -96.623,   -20.000,     1.217,  -154.223,  -161.116,   -36.783,  -156.623,   -20.000,   -16.783,   141.377,  -161.116,    61.217,   118.977,   -20.000,   219.217,    21.377,   -31.116,   113.137,  -113.137,  -161.116,     1.217,  -154.223,  -161.116,  -113.137,  -113.137,  -161.116,   -16.783,   141.377,  -161.116,    -0.000,   160.000,  -161.116,   219.217,    21.377,   -31.116,ComUpDown,   304.555,Success,,
