Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -28.375,    20.308,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -28.375,    20.308,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    20.071,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -28.375,    20.308,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   386.259,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -28.375,    20.308,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -69.000,  -113.137,  -113.137,   -69.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -69.000,   113.137,   113.137,   -69.000,   113.137,  -113.137,   -69.000,    -0.000,  -160.000,   -69.000,  -113.137,  -113.137,   -69.000,  -113.137,   113.137,   -69.000,    -0.000,   160.000,   -69.000,   113.137,   113.137,   -69.000,ComMove,    48.080,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,    70.712,    -9.687,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,   113.137,  -113.137,   -69.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -69.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,LegHierarchyChange,   240.453,Success,,
5,'0001110011000011110011000101,false,true,true,false,true,true,LowerFront,Center,Center,UpperBack,Center,Center,Front,    70.712,    -9.687,    69.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,   113.137,  -113.137,   -69.000,   -99.088,  -130.005,   -69.000,  -212.225,   -83.142,   -69.000,  -113.137,   113.137,   -69.000,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -69.000,LegUpDown,   264.886,Success,,
6,'0001010011001011110001001101,true,false,true,true,true,false,LowerFront,Center,Center,UpperBack,Center,Center,Front,    70.712,    -9.687,    69.000,     1.000,     0.000,     0.000,     0.000,   147.288,   -29.313,   -70.116,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -69.000,  -228.712,    28.687,   -70.116,   -99.088,   189.995,   -69.000,    14.049,   143.132,   -20.000,   147.288,   -29.313,   -70.116,    -0.000,  -160.000,   -69.000,  -212.225,   -83.142,   -69.000,  -228.712,    28.687,   -70.116,   -99.088,   189.995,   -69.000,   113.137,   113.137,   -69.000,ComUpDown,   336.410,Success,,
7,'0001010011001011110001001101,true,false,true,true,true,false,LowerFront,Center,Center,UpperBack,Center,Center,Front,    70.712,    -9.687,    34.983,     1.000,     0.000,     0.000,     0.000,   147.288,   -29.313,   -36.099,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -34.983,  -228.712,    28.687,   -36.099,   -99.088,   189.995,   -34.983,    14.049,   143.132,   -20.000,   147.288,   -29.313,   -36.099,    -0.000,  -160.000,   -34.983,  -212.225,   -83.142,   -34.983,  -228.712,    28.687,   -36.099,   -99.088,   189.995,   -34.983,   113.137,   113.137,   -34.983,ComMove,    20.327,Success,,
8,'0001010011001100110001001100,true,false,true,true,true,false,Center,Center,Center,Center,Center,Center,Front,    80.528,   -11.143,    34.983,     1.000,     0.000,     0.000,     0.000,   137.472,   -27.857,   -36.099,   -99.088,  -130.005,   -20.000,  -222.040,   -81.686,   -34.983,  -238.528,    30.143,   -36.099,  -108.903,   191.451,   -34.983,    14.049,   143.132,   -20.000,   137.472,   -27.857,   -36.099,    -0.000,  -160.000,   -34.983,  -222.040,   -81.686,   -34.983,  -238.528,    30.143,   -36.099,  -108.903,   191.451,   -34.983,   113.137,   113.137,   -34.983,LegHierarchyChange,   162.283,Success,,
9,'0001011111001100110000011100,true,false,true,true,true,false,Center,LowerBack,Center,Center,Center,UpperFront,Front,    80.528,   -11.143,    34.983,     1.000,     0.000,     0.000,     0.000,   137.472,   -27.857,   -36.099,   -99.088,  -130.005,   -20.000,  -222.040,   -81.686,   -34.983,  -238.528,    30.143,   -36.099,  -108.903,   191.451,   -34.983,    14.049,   143.132,   -20.000,   137.472,   -27.857,   -36.099,    -0.000,  -160.000,   -34.983,  -222.040,   -81.686,   -34.983,  -238.528,    30.143,   -36.099,  -108.903,   191.451,   -34.983,   113.137,   113.137,   -34.983,LegUpDown,   208.677,Success,,
