x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
176.821,-20,true,g,true,0
167.342,-57.116,false,g,true,0
174.098,-57.116,false,b,true,0
131.905,-57.116,false,b,true,0
141.649,-57.116,false,b,true,0
141.649,-20,false,l,true,0
238.732,-20,true,g,true,0
236.696,-31.116,false,g,true,0
210.233,-31.116,false,b,true,0
210.233,-20,false,l,true,0
236.226,-20,true,g,true,0
221.121,-83.116,false,g,true,0
205.749,-83.116,false,b,true,0
205.749,-20,false,l,true,0
184.859,-20,true,g,true,0
157.907,-96.116,false,g,true,0
145.274,-96.116,false,b,true,0
145.274,-20,false,l,true,0
226.095,-20,true,g,true,0
221.749,-44.116,false,g,true,0
221.749,-31.116,false,l,true,0
137.341,-31.116,false,b,true,0
137.341,-20,false,l,false,0
206.027,-20,true,g,true,0
203.664,-31.116,false,g,true,0
178.544,-31.116,false,b,true,0
150.53,-31.116,false,b,true,0
150.53,-20,false,l,true,0
164.29,-20,true,g,true,0
161.316,-31.116,false,g,true,0
136.888,-31.116,false,b,true,0
136.888,-20,false,l,false,0
225.778,-20,true,g,true,0
223.623,-31.116,false,g,true,0
219.919,-31.116,false,b,true,0
219.919,-20,false,l,true,0
224.589,-20,true,g,true,0
220.393,-43.2082,false,g,true,0
142.455,-43.2082,false,b,true,0
160,-30,false,f,true,1
160,-56,false,g,true,1
163.462,-56,false,b,true,1
202.108,-56,false,b,true,1
202.108,-20,false,l,true,1
174.407,-20,true,g,true,1
164.789,-57.116,false,g,true,1
180.446,-57.116,false,b,true,1
180.446,-31.116,false,l,true,1
205.819,-31.116,false,b,true,1
205.819,-20,false,l,true,1
156.252,-20,true,g,true,1
153.123,-31.116,false,g,true,1
153.123,-83.116,false,g,true,1
154.926,-83.116,false,b,true,1
154.926,-20,false,l,true,1
181.261,-20,true,g,true,1
161.081,-83.116,false,g,true,1
161.081,-96.116,false,g,true,1
130.75,-96.116,false,b,true,1
130.75,-20,false,l,false,1
187.98,-20,true,g,true,1
161.55,-96.116,false,g,true,1
161.55,-44.116,false,l,true,1
146.591,-44.116,false,b,true,1
146.591,-20,false,l,true,1
171.657,-20,true,g,true,1
168.814,-31.116,false,g,true,1
149.613,-31.116,false,b,true,1
202.481,-31.116,false,b,true,1
202.481,-20,false,l,true,1
171.458,-20,true,g,true,1
168.611,-31.116,false,g,true,1
160.376,-31.116,false,b,true,1
144.209,-31.116,false,b,true,1
144.209,-20,false,l,true,1
168.463,-20,true,g,true,1
165.564,-31.116,false,g,true,1
165.76,-31.116,false,b,true,1
165.76,-20,false,l,true,1
164.833,-20,true,g,true,1
159.069,-43.2082,false,g,true,1
165.051,-43.2082,false,b,true,1
160,-30,false,f,true,2
160,-56,false,g,true,2
