x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
218.736,-20,true,g,true,0
175.083,-131.116,false,g,true,0
180.094,-131.116,false,b,true,0
233.014,-131.116,true,g,true,0
192.624,-131.116,false,b,true,0
192.624,-20,false,l,true,0
221.378,-20,true,g,true,0
178.372,-131.116,false,g,true,0
221.778,-131.116,true,g,true,0
178.869,-131.116,false,b,true,0
192.332,-131.116,false,b,true,0
192.332,-20,false,l,true,0
218.277,-20,true,g,true,0
216.048,-31.116,false,g,true,0
212.414,-31.116,false,b,true,0
214.681,-31.116,true,l,true,0
234.283,-31.116,false,b,true,0
234.283,-20,false,l,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
221.876,-20,true,g,true,1
178.991,-131.116,false,g,true,1
214.52,-131.116,true,g,true,1
169.786,-131.116,false,b,true,1
211.042,-131.116,true,g,true,1
165.37,-131.116,false,b,true,1
222.959,-131.116,true,g,true,1
180.331,-131.116,false,b,true,1
180.331,-20,false,l,true,1
227.368,-20,true,g,true,1
185.754,-131.116,false,g,true,1
176.921,-131.116,false,b,true,1
187.32,-131.116,false,b,true,1
187.32,-20,false,l,true,1
230.129,-20,true,g,true,1
228.016,-31.116,false,g,true,1
222.358,-31.116,true,g,true,1
220.17,-31.116,false,b,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
177.677,-20,true,g,true,2
174.931,-31.116,false,g,true,2
163.628,-31.116,false,b,true,2
163.628,-20,false,l,true,2
216.235,-20,true,g,true,2
171.948,-131.116,false,g,true,2
210.411,-131.116,true,g,true,2
164.564,-131.116,false,b,true,2
164.564,-20,false,l,true,2
226.311,-20,true,g,true,2
184.46,-131.116,false,g,true,2
167.333,-131.116,false,b,true,2
159.943,-131.116,false,b,true,2
159.943,-20,false,l,true,2
205.931,-20,true,g,true,2
158.796,-131.116,false,g,true,2
205.931,-131.116,true,l,true,2
156.258,-131.116,false,b,true,2
156.258,-20,false,l,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
182.864,-20,true,g,true,3
180.197,-31.116,false,g,true,3
180.708,-31.116,false,b,true,3
193.824,-31.116,true,g,true,3
191.31,-31.116,false,b,true,3
191.31,-20,false,l,true,3
215.406,-20,true,g,true,3
213.146,-31.116,false,g,true,3
211.689,-31.116,true,g,true,3
209.39,-31.116,false,b,true,3
219.834,-31.116,false,b,true,3
219.834,-20,false,l,true,3
194.902,-20,true,g,true,3
144.205,-131.116,false,g,true,3
164.23,-131.116,false,b,true,3
164.23,-20,false,l,true,3
222.452,-20,true,g,true,3
179.704,-131.116,false,g,true,3
219.947,-131.116,true,g,true,3
176.594,-131.116,false,b,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
164.254,-20,true,g,true,4
161.28,-31.116,false,g,true,4
155.817,-31.116,true,g,true,4
152.679,-31.116,false,b,true,4
153.484,-31.116,true,g,true,4
150.297,-31.116,false,b,true,4
150.297,-20,false,l,true,4
215.551,-20,true,g,true,4
213.293,-31.116,false,g,true,4
222.689,-31.116,false,b,true,4
222.689,-20,false,l,true,4
186.586,-20,true,g,true,4
183.974,-31.116,false,g,true,4
169.415,-31.116,false,b,true,4
172.249,-31.116,true,l,true,4
174.113,-31.116,false,b,true,4
174.113,-20,false,l,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
223.595,-20,true,g,true,5
181.117,-131.116,false,g,true,5
174.24,-131.116,false,b,true,5
174.24,-20,false,l,true,5
186.539,-20,true,g,true,5
183.926,-31.116,false,g,true,5
156.657,-31.116,true,g,true,5
153.536,-31.116,false,b,true,5
153.004,-31.116,true,g,true,5
149.806,-31.116,false,b,true,5
149.806,-20,false,l,true,5
182.459,-20,true,g,true,5
179.787,-31.116,false,g,true,5
160.808,-31.116,false,b,true,5
160.808,-20,false,l,true,5
181.355,-20,true,g,true,5
178.666,-31.116,false,g,true,5
181.355,-31.116,true,l,true,5
147.512,-31.116,false,b,true,5
144.508,-31.116,true,g,true,5
141.118,-31.116,false,b,true,5
