x,z,relay,string,error,index
160,-30,false,f,true,0
160,-41.0659,false,g,true,0
165.186,-41.0659,true,l,true,0
187.249,-41.0659,false,b,true,0
191.699,-41.0658,true,l,true,0
194.964,-41.0658,false,b,true,0
194.964,-31.6899,false,l,true,0
194.964,-20,false,l,true,0
191.263,-20,true,g,true,0
189.868,-23.0543,false,g,true,0
189.868,-20.9814,false,l,true,0
213.523,-20.9814,true,g,true,0
212.49,-20.9814,false,b,true,0
212.49,-20,false,l,true,0
192.606,-20,true,g,true,0
183.343,-59.0123,false,g,true,0
183.343,-48.0365,false,l,true,0
189.711,-48.0365,true,g,true,0
183.529,-48.0366,false,b,true,0
183.529,-59.357,false,g,true,0
217.984,-59.357,true,g,true,0
209.747,-59.357,false,b,true,0
209.747,-20,false,l,true,0
214.981,-20,true,g,true,0
181.139,-115.782,false,g,true,0
213.616,-115.782,true,g,true,0
179.517,-115.782,false,b,true,0
179.517,-101.292,false,l,true,0
216.952,-101.292,true,g,true,0
191.854,-101.292,false,b,true,0
191.854,-20,false,l,true,0
160,-30,false,f,true,1
160,-41.0659,false,g,true,1
165.186,-41.0659,true,l,true,1
169.956,-41.0659,false,b,true,1
174.847,-41.0658,true,l,true,1
174.096,-41.0658,false,b,true,1
174.096,-20,false,l,true,1
206.129,-20,true,g,true,1
200.525,-47.7401,false,g,true,1
197.816,-47.7401,false,b,true,1
197.816,-20,false,l,true,1
203.718,-20,true,g,true,1
201.78,-28.0345,false,g,true,1
201.78,-41.3796,false,g,true,1
206.071,-41.3796,true,g,true,1
201.874,-41.3796,false,b,true,1
201.874,-30.4038,false,l,true,1
217.746,-30.4038,true,g,true,1
215.613,-30.4038,false,b,true,1
215.613,-20,false,l,true,1
207.626,-20,true,g,true,1
201.815,-48.7774,false,g,true,1
203.173,-48.7774,true,g,true,1
197.231,-48.7774,false,b,true,1
216.571,-48.7774,true,g,true,1
211.007,-48.7774,false,b,true,1
211.007,-20,false,l,true,1
185.924,-20,true,g,true,1
167.769,-80.1329,false,g,true,1
177.045,-80.1329,true,g,true,1
157.872,-80.1329,false,b,true,1
160,-30,false,f,true,2
160,-41.0659,false,g,true,2
165.186,-41.0659,true,l,true,2
160.064,-41.0659,false,b,true,2
160.064,-20,false,l,true,2
209.091,-20,true,g,true,2
177.809,-110.014,false,g,true,2
177.809,-100.638,false,l,true,2
177.809,-20,false,l,true,2
181.542,-20,true,g,true,2
164.89,-75.9524,false,g,true,2
164.89,-73.8795,false,l,true,2
145.539,-73.8795,false,b,true,2
145.539,-87.2246,false,g,true,2
169.317,-87.2246,true,g,true,2
145.121,-87.2246,false,b,true,2
145.121,-20,false,l,true,2
183.213,-20,true,g,true,2
179.344,-37.4569,false,g,true,2
179.344,-48.7774,false,g,true,2
161.909,-48.7774,true,g,true,2
154.386,-48.7774,false,b,true,2
154.386,-20,false,l,true,2
168.382,-20,true,g,true,2
161.162,-48.7774,false,g,true,2
161.162,-34.2879,false,l,true,2
146.343,-34.2879,true,g,true,2
142.27,-34.2879,false,b,true,2
142.27,-20,false,l,true,2
160,-30,false,f,true,3
160,-41.0659,false,g,true,3
165.186,-41.0659,true,l,true,3
187.249,-41.0659,false,b,true,3
191.699,-41.0658,true,l,true,3
194.964,-41.0658,false,b,true,3
194.964,-20,false,l,true,3
233.141,-20,true,g,true,3
189.433,-135.904,false,g,true,3
189.868,-135.904,false,b,true,3
189.868,-20,false,l,true,3
202.792,-20,true,g,true,3
163.678,-119.725,false,g,true,3
163.678,-133.07,false,g,true,3
213.038,-133.07,true,g,true,3
166.366,-133.07,false,b,true,3
166.366,-122.094,false,l,true,3
227.231,-122.094,true,g,true,3
191.643,-122.094,false,b,true,3
191.643,-20,false,l,true,3
188.487,-20,true,g,true,3
166.91,-87.5693,false,g,true,3
190.612,-87.5693,true,g,true,3
169.306,-87.5693,false,b,true,3
216.4,-87.5693,true,g,true,3
197.89,-87.5693,false,b,true,3
197.89,-20,false,l,true,3
176.032,-20,true,g,true,3
173.324,-30.7613,false,g,true,3
172.601,-30.7613,true,g,true,3
169.838,-30.7613,false,b,true,3
160,-30,false,f,true,4
160,-41.0659,false,g,true,4
165.186,-41.0659,true,l,true,4
169.956,-41.0659,false,b,true,4
174.847,-41.0658,true,l,true,4
174.096,-41.0658,false,b,true,4
174.096,-20,false,l,true,4
229.302,-20,true,g,true,4
200.525,-111.218,false,g,true,4
229.302,-111.218,true,l,true,4
197.816,-111.218,false,b,true,4
197.816,-109.145,false,l,true,4
237.564,-109.145,true,g,true,4
211.007,-109.145,false,b,true,4
211.007,-20,false,l,true,4
217.926,-20,true,g,true,4
169.804,-136.596,false,g,true,4
169.804,-125.62,false,l,true,4
201.476,-125.62,true,g,true,4
157.518,-125.62,false,b,true,4
157.518,-136.941,false,g,true,4
214.575,-136.941,true,g,true,4
165.195,-136.941,false,b,true,4
165.195,-20,false,l,true,4
225.551,-20,true,g,true,4
195.632,-112.255,false,g,true,4
214.868,-112.255,true,g,true,4
183.213,-112.255,false,b,true,4
183.213,-97.7656,false,l,true,4
209.104,-97.7656,true,g,true,4
184.841,-97.7656,false,b,true,4
220.186,-97.7656,true,g,true,4
197.291,-97.7656,false,b,true,4
160,-30,false,f,true,5
160,-41.0659,false,g,true,5
165.186,-41.0659,true,l,true,5
160.064,-41.0659,false,b,true,5
160.064,-20,false,l,true,5
240.411,-20,true,g,true,5
224.759,-85.3283,false,g,true,5
224.759,-75.9524,false,l,true,5
193.048,-75.9524,false,b,true,5
193.048,-73.8795,false,l,true,5
184.39,-73.8795,false,b,true,5
184.39,-87.2246,false,g,true,5
208.574,-87.2246,true,g,true,5
189.46,-87.2246,false,b,true,5
189.46,-20,false,l,true,5
228.488,-20,true,g,true,5
180.21,-140.467,false,g,true,5
219.253,-140.467,true,g,true,5
168.348,-140.467,false,b,true,5
168.348,-20,false,l,true,5
221.606,-20,true,g,true,5
176.946,-133.414,false,g,true,5
176.946,-118.925,false,l,true,5
196.427,-118.925,true,g,true,5
156.334,-118.925,false,b,true,5
156.334,-20,false,l,true,5
