x,z,relay,string,error,index
160,-141,false,f,true,0
160,-20,false,l,true,0
170.678,-20,true,g,true,0
168.301,-28.3807,false,g,true,0
168.301,-36.9244,false,g,true,0
172.304,-36.9244,true,l,true,0
165.804,-36.9244,false,b,true,0
165.804,-34.856,false,l,true,0
171.143,-34.856,false,b,true,0
201.752,-34.856,false,b,true,0
201.752,-20,false,l,true,0
188.87,-20,true,g,true,0
183.343,-45.3547,false,g,true,0
183.343,-38.3881,false,l,true,0
187.501,-38.3881,true,g,true,0
183.529,-38.3881,false,b,true,0
209.747,-38.3881,false,b,true,0
209.747,-20,false,l,true,0
220.411,-20,true,g,true,0
209.045,-69.8642,false,g,true,0
203.992,-69.8642,false,b,true,0
221.489,-69.8642,false,b,true,0
221.489,-20,false,l,true,0
160,-141,false,f,true,1
169.956,-141,false,b,true,1
169.956,-149.544,false,g,true,1
174.096,-149.544,false,b,true,1
174.096,-20,false,l,true,1
174.776,-20,true,g,true,1
170.113,-40.1054,false,g,true,1
174.776,-40.1054,true,l,true,1
156.898,-40.1054,false,b,true,1
162.193,-40.1054,true,g,true,1
157.157,-40.1054,false,b,true,1
157.157,-33.1388,false,l,true,1
171.498,-33.1388,false,b,true,1
171.498,-20,false,l,true,1
204.517,-20,true,g,true,1
201.815,-33.1388,false,g,true,1
201.815,-34.8688,false,g,true,1
197.231,-34.8688,false,b,true,1
206.937,-34.8688,false,b,true,1
206.937,-20,false,l,true,1
234.959,-20,true,g,true,1
227.336,-59.3656,false,g,true,1
227.336,-65.2573,false,g,true,1
229.726,-65.2573,true,g,true,1
220.262,-65.2573,false,b,true,1
160,-141,false,f,true,2
160.064,-141,false,b,true,2
160.064,-20,false,l,true,2
192.466,-20,true,g,true,2
177.809,-73.6697,false,g,true,2
177.809,-71.6013,false,l,true,2
191.684,-71.6013,true,l,true,2
168.763,-71.6013,false,b,true,2
168.763,-20,false,l,true,2
169.121,-20,true,g,true,2
161.911,-48.8542,false,g,true,2
146.868,-48.8542,false,b,true,2
146.868,-20,false,l,true,2
201.347,-20,true,g,true,2
198.885,-31.389,false,g,true,2
201.347,-31.389,true,l,true,2
172.467,-31.389,false,b,true,2
172.467,-33.119,false,g,true,2
175.866,-33.119,true,g,true,2
172.719,-33.119,false,b,true,2
172.719,-20,false,l,true,2
193.679,-20,true,g,true,2
191.663,-27.8697,false,g,true,2
188.07,-27.8697,false,b,true,2
188.07,-20,false,l,true,2
160,-141,false,f,true,3
160,-20,false,l,true,3
186.724,-20,true,g,true,3
168.301,-80.8739,false,g,true,3
168.301,-89.4176,false,g,true,3
190.58,-89.4176,true,l,true,3
165.804,-89.4176,false,b,true,3
165.804,-20,false,l,true,3
173.66,-20,true,g,true,3
152.076,-83.8497,false,g,true,3
156.16,-83.8497,false,b,true,3
156.16,-20,false,l,true,3
215.485,-20,true,g,true,3
201.315,-76.8506,false,g,true,3
201.315,-69.884,false,l,true,3
198.798,-69.884,false,b,true,3
210.724,-69.884,true,l,true,3
222.16,-69.884,false,b,true,3
222.16,-20,false,l,true,3
195.692,-20,true,g,true,3
188.556,-52.3665,false,g,true,3
205.986,-52.3665,false,b,true,3
205.986,-20,false,l,true,3
166.235,-20,true,g,true,3
162.903,-33.119,false,g,true,3
162.903,-39.0107,false,g,true,3
163.728,-39.0107,true,g,true,3
159.013,-39.0107,false,b,true,3
160,-141,false,f,true,4
169.956,-141,false,b,true,4
169.956,-149.544,false,g,true,4
174.096,-149.544,false,b,true,4
174.096,-20,false,l,true,4
188.888,-20,true,g,true,4
170.113,-82.0999,false,g,true,4
188.888,-82.0999,true,l,true,4
156.898,-82.0999,false,b,true,4
157.157,-82.0999,false,b,true,4
157.157,-75.1334,false,l,true,4
171.498,-75.1334,false,b,true,4
171.498,-20,false,l,true,4
161.954,-20,true,g,true,4
145.25,-71.6338,false,g,true,4
145.25,-73.3638,false,g,true,4
159.89,-73.3638,true,g,true,4
142.065,-73.3638,false,b,true,4
154.342,-73.3638,false,b,true,4
154.342,-20,false,l,true,4
172.879,-20,true,g,true,4
164.19,-54.1163,false,g,true,4
164.19,-60.008,false,g,true,4
168.892,-60.008,true,g,true,4
157.872,-60.008,false,b,true,4
160,-141,false,f,true,5
160.064,-141,false,b,true,5
160.064,-20,false,l,true,5
233,-20,true,g,true,5
224.759,-61.4213,false,g,true,5
224.759,-59.3529,false,l,true,5
193.048,-59.3529,false,b,true,5
184.843,-59.3529,false,b,true,5
198.539,-59.3529,true,g,true,5
189.46,-59.3529,false,b,true,5
189.46,-20,false,l,true,5
229.612,-20,true,g,true,5
215.727,-78.6329,false,g,true,5
229.612,-78.6329,true,l,true,5
184.567,-78.6329,false,b,true,5
184.567,-80.3629,false,g,true,5
194.949,-80.3629,true,g,true,5
177.615,-80.3629,false,b,true,5
177.615,-20,false,l,true,5
212.116,-20,true,g,true,5
197.011,-78.6131,false,g,true,5
212.116,-78.6131,true,l,true,5
165.987,-78.6131,false,b,true,5
165.987,-84.5048,false,g,true,5
180.072,-84.5048,true,g,true,5
159.013,-84.5048,false,b,true,5
