x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
195.607,-20,true,g,true,0
193.117,-31.116,false,g,true,0
213.266,-31.116,false,b,true,0
234.954,-31.116,false,b,true,0
234.954,-20,false,l,true,0
198.287,-20,true,g,true,0
195.83,-31.116,false,g,true,0
210.377,-31.116,false,b,true,0
212.666,-31.116,true,l,true,0
237.527,-31.116,false,b,true,0
237.527,-20,false,l,true,0
189.604,-20,true,g,true,0
187.033,-31.116,false,g,true,0
189.604,-31.116,true,l,true,0
203.151,-31.116,false,b,true,0
218.182,-31.116,true,g,true,0
215.951,-31.116,false,b,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
183.894,-20,true,g,true,1
181.242,-31.116,false,g,true,1
174.711,-31.116,false,b,true,1
187.398,-31.116,false,b,true,1
187.398,-20,false,l,true,1
172.576,-20,true,g,true,1
169.747,-31.116,false,g,true,1
162.396,-31.116,true,g,true,1
159.388,-31.116,false,b,true,1
162.396,-31.116,true,l,true,1
168.965,-31.116,false,b,true,1
168.965,-20,false,l,true,1
164.938,-20,true,g,true,1
161.976,-31.116,false,g,true,1
164.938,-31.116,true,l,true,1
147.716,-31.116,false,b,true,1
150.958,-31.116,true,l,true,1
153.749,-31.116,false,b,true,1
153.749,-20,false,l,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
195.035,-20,true,g,true,2
192.536,-31.116,false,g,true,2
187.068,-31.116,false,b,true,2
187.068,-20,false,l,true,2
226.549,-20,true,g,true,2
224.402,-31.116,false,g,true,2
204.593,-31.116,false,b,true,2
191.883,-31.116,true,g,true,2
189.343,-31.116,false,b,true,2
189.343,-20,false,l,true,2
175.783,-20,true,g,true,2
173.007,-31.116,false,g,true,2
175.783,-31.116,true,l,true,2
159.488,-31.116,false,b,true,2
159.488,-20,false,l,true,2
157.203,-20,true,g,true,2
154.093,-31.116,false,g,true,2
157.203,-31.116,true,l,true,2
151.954,-31.116,false,b,true,2
151.954,-20,false,l,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
185.986,-20,true,g,true,3
183.364,-31.116,false,g,true,3
191.126,-31.116,false,b,true,3
222.6,-31.116,false,b,true,3
222.6,-20,false,l,true,3
202.182,-20,true,g,true,3
199.774,-31.116,false,g,true,3
199.583,-31.116,true,g,true,3
197.142,-31.116,false,b,true,3
199.583,-31.116,true,l,true,3
220.48,-31.116,false,b,true,3
220.48,-20,false,l,true,3
181.934,-20,true,g,true,3
179.253,-31.116,false,g,true,3
181.934,-31.116,true,l,true,3
203.108,-31.116,false,b,true,3
203.108,-20,false,l,true,3
236.991,-20,true,g,true,3
234.94,-31.116,false,g,true,3
232.045,-31.116,true,g,true,3
229.949,-31.116,false,b,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
224.194,-20,true,g,true,4
222.024,-31.116,false,g,true,4
222.4,-31.116,false,b,true,4
222.4,-20,false,l,true,4
172.611,-20,true,g,true,4
169.783,-31.116,false,g,true,4
159.304,-31.116,false,b,true,4
160.367,-31.116,true,g,true,4
157.32,-31.116,false,b,true,4
157.32,-20,false,l,true,4
206.645,-20,true,g,true,4
204.289,-31.116,false,g,true,4
206.645,-31.116,true,l,true,4
191.007,-31.116,false,b,true,4
193.525,-31.116,true,l,true,4
190.805,-31.116,false,b,true,4
190.805,-20,false,l,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
216.489,-20,true,g,true,5
214.242,-31.116,false,g,true,5
182.322,-31.116,false,b,true,5
174.394,-31.116,false,b,true,5
174.394,-20,false,l,true,5
224.795,-20,true,g,true,5
222.631,-31.116,false,g,true,5
192.991,-31.116,true,g,true,5
190.466,-31.116,false,b,true,5
192.991,-31.116,true,l,true,5
181.729,-31.116,false,b,true,5
181.729,-20,false,l,true,5
187.661,-20,true,g,true,5
185.064,-31.116,false,g,true,5
187.661,-31.116,true,l,true,5
153.308,-31.116,false,b,true,5
150.548,-31.116,true,g,true,5
147.297,-31.116,false,b,true,5
