x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
211.308,-20,true,g,true,0
147.699,-151.116,false,g,true,0
157.575,-151.116,false,b,true,0
157.575,-20,false,l,true,0
228.11,-20,true,g,true,0
170.875,-151.116,false,g,true,0
170.875,-20,false,l,true,0
170.875,-151.116,false,g,true,0
172.112,-151.116,false,b,true,0
172.112,-20,false,l,true,0
214.533,-20,true,g,true,0
212.264,-31.116,false,g,true,0
214.533,-31.116,true,l,true,0
208.958,-31.116,false,b,true,0
211.262,-31.116,true,l,true,0
231.241,-31.116,false,b,true,0
233.325,-31.116,true,l,true,0
241.777,-31.116,false,b,true,0
241.777,-20,false,l,true,0
202.792,-20,true,g,true,0
200.391,-31.116,false,g,true,0
199.884,-31.116,true,g,true,0
197.447,-31.116,false,b,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
224.165,-20,true,g,true,1
165.572,-151.116,false,g,true,1
153.549,-151.116,false,b,true,1
161.689,-151.116,false,b,true,1
225.768,-151.116,true,g,true,1
167.736,-151.116,false,b,true,1
167.736,-20,false,l,true,1
226.846,-20,true,g,true,1
169.183,-151.116,false,g,true,1
169.183,-20,false,l,true,1
222.44,-20,true,g,true,1
163.229,-151.116,false,g,true,1
154.678,-151.116,false,b,true,1
154.678,-20,false,l,true,1
218.293,-20,true,g,true,1
157.531,-151.116,false,g,true,1
218.293,-151.116,true,l,true,1
169.18,-151.116,false,b,true,1
169.18,-20,false,l,true,1
174.048,-20,true,g,true,1
171.244,-31.116,false,g,true,1
174.048,-31.116,true,l,true,1
158.466,-31.116,false,b,true,1
161.297,-31.116,true,g,true,1
158.268,-31.116,false,b,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
178.615,-20,true,g,true,2
175.884,-31.116,false,g,true,2
150.099,-31.116,false,b,true,2
150.099,-20,false,l,true,2
223.854,-20,true,g,true,2
165.15,-151.116,false,g,true,2
165.15,-20,false,l,true,2
219.183,-20,true,g,true,2
158.762,-151.116,false,g,true,2
158.2,-151.116,false,b,true,2
158.2,-20,false,l,true,2
219.654,-20,true,g,true,2
159.411,-151.116,false,g,true,2
219.654,-151.116,true,l,true,2
158.613,-151.116,false,b,true,2
158.613,-20,false,l,true,2
226.776,-20,true,g,true,2
169.089,-151.116,false,g,true,2
226.776,-151.116,true,l,true,2
160.102,-151.116,false,b,true,2
147.293,-151.116,false,b,true,2
147.293,-20,false,l,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
211.463,-20,true,g,true,3
209.161,-31.116,false,g,true,3
205.843,-31.116,false,b,true,3
228.241,-31.116,false,b,true,3
240.834,-31.116,true,g,true,3
238.816,-31.116,false,b,true,3
238.816,-20,false,l,true,3
228.233,-20,true,g,true,3
226.102,-31.116,false,g,true,3
221.666,-31.116,false,b,true,3
242.496,-31.116,false,b,true,3
242.496,-20,false,l,true,3
222.297,-20,true,g,true,3
163.033,-151.116,false,g,true,3
222.297,-151.116,true,l,true,3
167.22,-151.116,false,b,true,3
167.22,-20,false,l,true,3
227.325,-20,true,g,true,3
169.825,-151.116,false,g,true,3
167.014,-151.116,false,b,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
217.072,-20,true,g,true,4
214.83,-31.116,false,g,true,4
205.515,-31.116,false,b,true,4
214.537,-31.116,false,b,true,4
222.687,-31.116,true,g,true,4
220.502,-31.116,false,b,true,4
220.502,-20,false,l,true,4
154.993,-20,true,g,true,4
151.837,-31.116,false,g,true,4
162.328,-31.116,false,b,true,4
162.328,-20,false,l,true,4
240.629,-20,true,g,true,4
238.609,-31.116,false,g,true,4
240.629,-31.116,true,l,true,4
224.941,-31.116,false,b,true,4
227.083,-31.116,true,l,true,4
224.219,-31.116,false,b,true,4
233.48,-31.116,false,b,true,4
233.48,-20,false,l,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
227.066,-20,true,g,true,5
224.924,-31.116,false,g,true,5
194.066,-31.116,false,b,true,5
187.035,-31.116,false,b,true,5
192.943,-31.116,true,g,true,5
190.418,-31.116,false,b,true,5
190.418,-20,false,l,true,5
160.831,-20,true,g,true,5
157.793,-31.116,false,g,true,5
160.229,-31.116,false,b,true,5
160.229,-20,false,l,true,5
205.374,-20,true,g,true,5
203.003,-31.116,false,g,true,5
205.374,-31.116,true,l,true,5
170.55,-31.116,false,b,true,5
173.365,-31.116,true,l,true,5
162.547,-31.116,false,b,true,5
165.498,-31.116,true,l,true,5
165.968,-31.116,false,b,true,5
165.968,-20,false,l,true,5
171.47,-20,true,g,true,5
168.623,-31.116,false,g,true,5
163.855,-31.116,true,g,true,5
160.873,-31.116,false,b,true,5
