Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   141.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -141.000,    -0.000,  -160.000,  -141.000,  -113.137,  -113.137,  -141.000,  -113.137,   113.137,  -141.000,    -0.000,   160.000,  -141.000,   113.137,   113.137,  -141.000,   113.137,  -113.137,  -141.000,    -0.000,  -160.000,  -141.000,  -113.137,  -113.137,  -141.000,  -113.137,   113.137,  -141.000,    -0.000,   160.000,  -141.000,   113.137,   113.137,  -141.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   141.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -141.000,    -0.000,  -160.000,  -141.000,  -113.137,  -113.137,  -141.000,  -113.137,   113.137,  -141.000,    -0.000,   160.000,  -141.000,   113.137,   113.137,  -141.000,   113.137,  -113.137,  -141.000,    -0.000,  -160.000,  -141.000,  -113.137,  -113.137,  -141.000,  -113.137,   113.137,  -141.000,    -0.000,   160.000,  -141.000,   113.137,   113.137,  -141.000,LegUpDown,     4.137,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   141.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,  -141.000,  -113.137,  -113.137,  -141.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,  -141.000,   113.137,   113.137,  -141.000,   113.137,  -113.137,  -141.000,    -0.000,  -160.000,  -141.000,  -113.137,  -113.137,  -141.000,  -113.137,   113.137,  -141.000,    -0.000,   160.000,  -141.000,   113.137,   113.137,  -141.000,ComUpDown,    62.480,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   154.463,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,  -154.463,  -113.137,  -113.137,  -154.463,  -113.137,   113.137,   -20.000,    -0.000,   160.000,  -154.463,   113.137,   113.137,  -154.463,   113.137,  -113.137,  -154.463,    -0.000,  -160.000,  -154.463,  -113.137,  -113.137,  -154.463,  -113.137,   113.137,  -154.463,    -0.000,   160.000,  -154.463,   113.137,   113.137,  -154.463,BodyYawRot,   212.656,Success,,
4,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   154.463,     0.985,     0.000,     0.000,     0.174,   113.137,  -113.137,   -20.000,   -90.088,  -144.115,  -154.463,  -158.515,   -22.214,  -154.463,  -113.137,   113.137,   -20.000,    90.088,   144.115,  -154.463,   158.515,    22.214,  -154.463,   113.137,  -113.137,  -154.463,   -90.088,  -144.115,  -154.463,  -158.515,   -22.214,  -154.463,  -113.137,   113.137,  -154.463,    90.088,   144.115,  -154.463,   158.515,    22.214,  -154.463,LegHierarchyChange,    72.658,Success,,
5,'1000110011000011110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,     0.000,     0.000,   154.463,     0.985,     0.000,     0.000,     0.174,   113.137,  -113.137,   -20.000,   -90.088,  -144.115,  -154.463,  -158.515,   -22.214,  -154.463,  -113.137,   113.137,   -20.000,    90.088,   144.115,  -154.463,   158.515,    22.214,  -154.463,   113.137,  -113.137,  -154.463,   -90.088,  -144.115,  -154.463,  -158.515,   -22.214,  -154.463,  -113.137,   113.137,  -154.463,    90.088,   144.115,  -154.463,   158.515,    22.214,  -154.463,LegUpDown,    78.745,Success,,
6,'1000010011001011010001001111,true,false,false,true,true,false,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,     0.000,     0.000,   154.463,     0.985,     0.000,     0.000,     0.174,   182.087,  -156.097,   -36.595,   -90.088,  -144.115,   -20.000,  -158.515,   -22.214,   -20.000,  -166.748,    22.812,   -94.337,    90.088,   144.115,  -154.463,   158.515,    22.214,   -20.000,   182.087,  -156.097,   -36.595,    -0.000,  -160.000,  -154.463,  -113.137,  -113.137,  -154.463,  -166.748,    22.812,   -94.337,    90.088,   144.115,  -154.463,   113.137,   113.137,  -154.463,ComUpDown,    22.009,Success,,
7,'1000010011001011010001001111,true,false,false,true,true,false,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,     0.000,     0.000,   148.494,     0.985,     0.000,     0.000,     0.174,   182.087,  -156.097,   -30.625,   -90.088,  -144.115,   -20.000,  -158.515,   -22.214,   -20.000,  -166.748,    22.812,   -88.368,    90.088,   144.115,  -148.494,   158.515,    22.214,   -20.000,   182.087,  -156.097,   -30.625,    -0.000,  -160.000,  -148.494,  -113.137,  -113.137,  -148.494,  -166.748,    22.812,   -88.368,    90.088,   144.115,  -148.494,   113.137,   113.137,  -148.494,BodyYawRot,   146.100,Success,,
8,'1000010011001011010001001111,true,false,false,true,true,false,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,     0.000,     0.000,   148.494,     0.978,     0.000,     0.000,     0.208,   166.203,  -176.780,   -30.625,   -90.088,  -144.115,   -20.000,  -158.515,   -22.214,   -20.000,  -160.198,    42.750,   -88.368,   107.134,   137.228,  -148.494,   158.515,    22.214,   -20.000,   166.203,  -176.780,   -30.625,    -0.000,  -160.000,  -148.494,  -113.137,  -113.137,  -148.494,  -160.198,    42.750,   -88.368,   107.134,   137.228,  -148.494,   113.137,   113.137,  -148.494,LegHierarchyChange,    90.494,Success,,
9,'1000001111001011011101111111,true,false,false,true,true,false,UpperFront,UpperFront,UpperFront,UpperBack,Center,UpperBack,CenterBack,     0.000,     0.000,   148.494,     0.978,     0.000,     0.000,     0.208,   166.203,  -176.780,   -30.625,   -90.088,  -144.115,   -20.000,  -158.515,   -22.214,   -20.000,  -160.198,    42.750,   -88.368,   107.134,   137.228,  -148.494,   158.515,    22.214,   -20.000,   166.203,  -176.780,   -30.625,    -0.000,  -160.000,  -148.494,  -113.137,  -113.137,  -148.494,  -160.198,    42.750,   -88.368,   107.134,   137.228,  -148.494,   113.137,   113.137,  -148.494,LegUpDown,   518.144,Success,,
