x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
173.863,-20,true,g,true,0
171.056,-31.116,false,g,true,0
173.863,-31.116,true,l,true,0
168.533,-31.116,false,b,true,0
173.615,-31.116,false,b,true,0
203.929,-31.116,false,b,true,0
203.929,-20,false,l,true,0
202.043,-20,true,g,true,0
199.633,-31.116,false,g,true,0
195.846,-31.116,false,b,true,0
220.478,-31.116,true,g,true,0
218.271,-31.116,false,b,true,0
238.738,-31.116,true,g,true,0
236.702,-31.116,false,b,true,0
236.702,-20,false,l,true,0
229.998,-20,true,g,true,0
173.388,-151.116,false,g,true,0
169.075,-151.116,false,b,true,0
170.96,-151.116,false,b,true,0
230.446,-151.116,true,g,true,0
173.981,-151.116,false,b,true,0
173.981,-20,false,l,true,0
221.251,-20,true,g,true,0
161.604,-151.116,false,g,true,0
220.413,-151.116,true,g,true,0
160.455,-151.116,false,b,true,0
160,-30,false,f,true,1
160,-150,false,g,true,1
169.956,-150,false,b,true,1
226.683,-150,true,l,true,1
174.096,-150,false,b,true,1
174.096,-20,false,l,true,1
194.863,-20,true,g,true,1
192.362,-31.116,false,g,true,1
177.963,-31.116,false,b,true,1
180.238,-31.116,true,g,true,1
177.532,-31.116,false,b,true,1
180.238,-31.116,true,l,true,1
183.998,-31.116,false,b,true,1
183.998,-20,false,l,true,1
186.737,-20,true,g,true,1
184.127,-31.116,false,g,true,1
177.194,-31.116,true,g,true,1
174.44,-31.116,false,b,true,1
171.566,-31.116,true,g,true,1
168.721,-31.116,false,b,true,1
178.265,-31.116,false,b,true,1
185.014,-31.116,true,g,true,1
182.378,-31.116,false,b,true,1
182.378,-20,false,l,true,1
229.032,-20,true,g,true,1
172.103,-151.116,false,g,true,1
219.383,-151.116,true,g,true,1
159.037,-151.116,false,b,true,1
159.037,-20,false,l,true,1
160,-30,false,f,true,2
160,-150,false,g,true,2
160.064,-150,false,b,true,2
160.064,-20,false,l,true,2
230.398,-20,true,g,true,2
173.917,-151.116,false,g,true,2
153.76,-151.116,false,b,true,2
153.76,-20,false,l,true,2
193.663,-20,true,g,true,2
191.146,-31.116,false,g,true,2
189.788,-31.116,true,g,true,2
187.22,-31.116,false,b,true,2
189.788,-31.116,true,l,true,2
157.928,-31.116,false,b,true,2
158.476,-31.116,true,g,true,2
155.392,-31.116,false,b,true,2
155.392,-20,false,l,true,2
178.658,-20,true,g,true,2
175.928,-31.116,false,g,true,2
156.67,-31.116,true,g,true,2
153.549,-31.116,false,b,true,2
156.462,-31.116,false,b,true,2
156.462,-20,false,l,true,2
217.973,-20,true,g,true,2
215.741,-31.116,false,g,true,2
210.891,-31.116,true,g,true,2
208.583,-31.116,false,b,true,2
188.704,-31.116,true,g,true,2
186.121,-31.116,false,b,true,2
187.44,-31.116,true,g,true,2
184.839,-31.116,false,b,true,2
160,-30,false,f,true,3
160,-20,false,l,true,3
224.148,-20,true,g,true,3
165.548,-151.116,false,g,true,3
224.148,-151.116,true,l,true,3
163.078,-151.116,false,b,true,3
163.078,-20,false,l,true,3
220.601,-20,true,g,true,3
160.714,-151.116,false,g,true,3
159.295,-151.116,false,b,true,3
159.295,-20,false,l,true,3
222.996,-20,true,g,true,3
163.985,-151.116,false,g,true,3
221.542,-151.116,true,g,true,3
162.002,-151.116,false,b,true,3
228.919,-151.116,true,g,true,3
171.952,-151.116,false,b,true,3
171.952,-20,false,l,true,3
220.977,-20,true,g,true,3
218.775,-31.116,false,g,true,3
214.517,-31.116,false,b,true,3
218.371,-31.116,true,g,true,3
216.143,-31.116,false,b,true,3
221.014,-31.116,true,g,true,3
218.812,-31.116,false,b,true,3
244.08,-31.116,true,g,true,3
242.089,-31.116,false,b,true,3
242.089,-20,false,l,true,3
160,-30,false,f,true,4
160,-150,false,g,true,4
169.956,-150,false,b,true,4
226.683,-150,true,l,true,4
174.096,-150,false,b,true,4
174.096,-20,false,l,true,4
225.734,-20,true,g,true,4
167.69,-151.116,false,g,true,4
154.809,-151.116,false,b,true,4
154.603,-151.116,false,b,true,4
163.751,-151.116,false,b,true,4
163.751,-20,false,l,true,4
222.43,-20,true,g,true,4
163.215,-151.116,false,g,true,4
216.041,-151.116,true,g,true,4
154.394,-151.116,false,b,true,4
213.932,-151.116,true,g,true,4
151.429,-151.116,false,b,true,4
151.429,-20,false,l,true,4
225.932,-20,true,g,true,4
167.956,-151.116,false,g,true,4
165.272,-151.116,false,b,true,4
165.272,-20,false,l,true,4
223.7,-20,true,g,true,4
164.941,-151.116,false,g,true,4
225.199,-151.116,true,g,true,4
166.968,-151.116,false,b,true,4
160,-30,false,f,true,5
160,-150,false,g,true,5
160.064,-150,false,b,true,5
160.064,-20,false,l,true,5
202.927,-20,true,g,true,5
200.527,-31.116,false,g,true,5
172.375,-31.116,false,b,true,5
170.354,-31.116,false,b,true,5
174.564,-31.116,true,g,true,5
171.769,-31.116,false,b,true,5
171.769,-20,false,l,true,5
217.031,-20,true,g,true,5
155.777,-151.116,false,g,true,5
216.389,-151.116,true,g,true,5
154.88,-151.116,false,b,true,5
154.88,-20,false,l,true,5
227.832,-20,true,g,true,5
170.503,-151.116,false,g,true,5
211.958,-151.116,true,g,true,5
148.628,-151.116,false,b,true,5
152.333,-151.116,false,b,true,5
152.333,-20,false,l,true,5
225.233,-20,true,g,true,5
167.014,-151.116,false,g,true,5
220.116,-151.116,true,g,true,5
160.047,-151.116,false,b,true,5
206.053,-151.116,true,g,true,5
140.077,-151.116,false,b,true,5
140.077,-20,false,l,true,5
