Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -22.606,    19.019,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -22.606,    19.019,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     2.943,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -22.606,    19.019,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    40.063,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -22.606,    19.019,   150.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,  -150.000,  -113.137,  -113.137,  -150.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,  -150.000,   113.137,   113.137,  -150.000,   113.137,  -113.137,  -150.000,    -0.000,  -160.000,  -150.000,  -113.137,  -113.137,  -150.000,  -113.137,   113.137,  -150.000,    -0.000,   160.000,  -150.000,   113.137,   113.137,  -150.000,BodyYawRot,   168.706,Success,,
4,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -22.606,    19.019,   150.000,     0.985,     0.000,     0.000,     0.174,   113.137,  -113.137,   -20.000,   -90.088,  -144.115,  -150.000,  -158.515,   -22.214,  -150.000,  -113.137,   113.137,   -20.000,    90.088,   144.115,  -150.000,   158.515,    22.214,  -150.000,   113.137,  -113.137,  -150.000,   -90.088,  -144.115,  -150.000,  -158.515,   -22.214,  -150.000,  -113.137,   113.137,  -150.000,    90.088,   144.115,  -150.000,   158.515,    22.214,  -150.000,LegHierarchyChange,    72.081,Success,,
5,'1000110011000011110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,   -22.606,    19.019,   150.000,     0.985,     0.000,     0.000,     0.174,   113.137,  -113.137,   -20.000,   -90.088,  -144.115,  -150.000,  -158.515,   -22.214,  -150.000,  -113.137,   113.137,   -20.000,    90.088,   144.115,  -150.000,   158.515,    22.214,  -150.000,   113.137,  -113.137,  -150.000,   -90.088,  -144.115,  -150.000,  -158.515,   -22.214,  -150.000,  -113.137,   113.137,  -150.000,    90.088,   144.115,  -150.000,   158.515,    22.214,  -150.000,LegUpDown,    92.956,Success,,
6,'1000010011001011010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,   -22.606,    19.019,   150.000,     0.985,     0.000,     0.000,     0.174,   169.532,   -22.782,   -31.116,   -90.088,  -144.115,  -150.000,  -158.515,   -22.214,   -20.000,  -163.964,    22.843,  -151.116,    90.088,   144.115,  -150.000,   158.515,    22.214,   -20.000,   169.532,   -22.782,   -31.116,   -90.088,  -144.115,  -150.000,  -113.137,  -113.137,  -150.000,  -163.964,    22.843,  -151.116,    90.088,   144.115,  -150.000,   113.137,   113.137,  -150.000,ComUpDown,    10.000,Success,,
7,'1000010011001011010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,   -22.606,    19.019,   150.000,     0.985,     0.000,     0.000,     0.174,   169.532,   -22.782,   -31.116,   -90.088,  -144.115,  -150.000,  -158.515,   -22.214,   -20.000,  -163.964,    22.843,  -151.116,    90.088,   144.115,  -150.000,   158.515,    22.214,   -20.000,   169.532,   -22.782,   -31.116,   -90.088,  -144.115,  -150.000,  -113.137,  -113.137,  -150.000,  -163.964,    22.843,  -151.116,    90.088,   144.115,  -150.000,   113.137,   113.137,  -150.000,BodyYawRot,    28.058,Success,,
8,'1000010011001011010011001111,true,true,false,true,true,false,UpperFront,Center,Center,UpperBack,Center,Center,CenterBack,   -22.606,    19.019,   150.000,     0.978,     0.000,     0.000,     0.208,   162.978,   -42.914,   -31.116,  -107.134,  -137.228,  -150.000,  -158.515,   -22.214,   -20.000,  -157.419,    42.586,  -151.116,   107.134,   137.228,  -150.000,   158.515,    22.214,   -20.000,   162.978,   -42.914,   -31.116,  -107.134,  -137.228,  -150.000,  -113.137,  -113.137,  -150.000,  -157.419,    42.586,  -151.116,   107.134,   137.228,  -150.000,   113.137,   113.137,  -150.000,LegHierarchyChange,    10.827,Success,,
9,'1000001111001011011111001111,true,true,false,true,true,false,UpperFront,Center,UpperFront,UpperBack,Center,UpperBack,CenterBack,   -22.606,    19.019,   150.000,     0.978,     0.000,     0.000,     0.208,   162.978,   -42.914,   -31.116,  -107.134,  -137.228,  -150.000,  -158.515,   -22.214,   -20.000,  -157.419,    42.586,  -151.116,   107.134,   137.228,  -150.000,   158.515,    22.214,   -20.000,   162.978,   -42.914,   -31.116,  -107.134,  -137.228,  -150.000,  -113.137,  -113.137,  -150.000,  -157.419,    42.586,  -151.116,   107.134,   137.228,  -150.000,   113.137,   113.137,  -150.000,LegUpDown,    52.191,Success,,
