x,z,relay,string,error,index
160,-160,false,f,true,0
160,-20,false,l,true,0
217.914,-20,true,g,true,0
215.681,-31.116,false,g,true,0
216.053,-31.116,true,g,true,0
213.801,-31.116,false,b,true,0
222.665,-31.116,true,g,true,0
220.48,-31.116,false,b,true,0
220.48,-20,false,l,true,0
199.362,-20,true,g,true,0
196.919,-31.116,false,g,true,0
196.479,-31.116,true,g,true,0
193.999,-31.116,false,b,true,0
193.999,-20,false,l,true,0
160.488,-20,true,g,true,0
157.443,-31.116,false,g,true,0
186.858,-31.116,true,g,true,0
184.249,-31.116,false,b,true,0
194.424,-31.116,true,g,true,0
191.917,-31.116,false,b,true,0
191.917,-20,false,l,true,0
214.366,-20,true,g,true,0
141.402,-161.116,false,g,true,0
214.968,-161.116,true,g,true,0
142.313,-161.116,false,b,true,0
142.313,-20,false,l,true,0
215.339,-20,true,g,true,0
142.872,-161.116,false,g,true,0
215.707,-161.116,true,g,true,0
143.426,-161.116,false,b,true,0
143.426,-20,false,l,true,0
217.429,-20,true,g,true,0
146.004,-161.116,false,g,true,0
214.7,-161.116,true,g,true,0
141.907,-161.116,false,b,true,0
160,-160,false,f,true,1
228.095,-160,true,g,true,1
162.565,-160,false,b,true,1
162.565,-20,false,l,true,1
179.247,-20,true,g,true,1
176.525,-31.116,false,g,true,1
165.048,-31.116,true,g,true,1
162.088,-31.116,false,b,true,1
168.727,-31.116,true,g,true,1
165.833,-31.116,false,b,true,1
165.833,-20,false,l,true,1
243.58,-20,true,g,true,1
241.585,-31.116,false,g,true,1
228.214,-31.116,true,g,true,1
226.083,-31.116,false,b,true,1
227.142,-31.116,true,g,true,1
225,-31.116,false,b,true,1
231.241,-31.116,true,g,true,1
229.138,-31.116,false,b,true,1
229.138,-20,false,l,true,1
214.918,-20,true,g,true,1
212.654,-31.116,false,g,true,1
202.596,-31.116,true,g,true,1
200.192,-31.116,false,b,true,1
203.303,-31.116,true,g,true,1
200.908,-31.116,false,b,true,1
207.087,-31.116,true,g,true,1
204.736,-31.116,false,b,true,1
214.403,-31.116,true,g,true,1
212.133,-31.116,false,b,true,1
160,-160,false,f,true,2
223.601,-160,true,g,true,2
156.197,-160,false,b,true,2
224.045,-160,true,g,true,2
156.832,-160,false,b,true,2
156.832,-20,false,l,true,2
211.625,-20,true,g,true,2
209.325,-31.116,false,g,true,2
183.19,-31.116,true,g,true,2
180.528,-31.116,false,b,true,2
173.702,-31.116,true,g,true,2
170.893,-31.116,false,b,true,2
170.893,-20,false,l,true,2
173.834,-20,true,g,true,2
171.027,-31.116,false,g,true,2
166.159,-31.116,true,g,true,2
163.22,-31.116,false,b,true,2
163.22,-20,false,l,true,2
167.002,-20,true,g,true,2
164.078,-31.116,false,g,true,2
167.839,-31.116,true,g,true,2
164.929,-31.116,false,b,true,2
164.929,-20,false,l,true,2
174.895,-20,true,g,true,2
172.105,-31.116,false,g,true,2
144.423,-31.116,true,g,true,2
141.032,-31.116,false,b,true,2
141.032,-20,false,l,true,2
239.387,-20,true,g,true,2
237.356,-31.116,false,g,true,2
224.506,-31.116,true,g,true,2
222.339,-31.116,false,b,true,2
160,-160,false,f,true,3
160,-20,false,l,true,3
215.459,-20,true,g,true,3
143.053,-161.116,false,g,true,3
213.859,-161.116,true,g,true,3
140.631,-161.116,false,b,true,3
218.581,-161.116,true,g,true,3
147.714,-161.116,false,b,true,3
147.714,-20,false,l,true,3
223.041,-20,true,g,true,3
154.236,-161.116,false,g,true,3
221.35,-161.116,true,g,true,3
151.781,-161.116,false,b,true,3
151.781,-20,false,l,true,3
222.553,-20,true,g,true,3
153.531,-161.116,false,g,true,3
221.45,-161.116,true,g,true,3
151.927,-161.116,false,b,true,3
151.927,-20,false,l,true,3
215.503,-20,true,g,true,3
143.119,-161.116,false,g,true,3
215.42,-161.116,true,g,true,3
142.994,-161.116,false,b,true,3
142.994,-20,false,l,true,3
173.478,-20,true,g,true,3
170.664,-31.116,false,g,true,3
174.706,-31.116,true,g,true,3
171.912,-31.116,false,b,true,3
199.913,-31.116,true,g,true,3
197.477,-31.116,false,b,true,3
211.168,-31.116,true,g,true,3
208.863,-31.116,false,b,true,3
208.863,-20,false,l,true,3
160,-160,false,f,true,4
228.095,-160,true,g,true,4
162.565,-160,false,b,true,4
162.565,-20,false,l,true,4
226.414,-20,true,g,true,4
159.075,-161.116,false,g,true,4
216.428,-161.116,true,g,true,4
144.508,-161.116,false,b,true,4
219.366,-161.116,true,g,true,4
148.872,-161.116,false,b,true,4
148.872,-20,false,l,true,4
213.485,-20,true,g,true,4
140.062,-161.116,false,g,true,4
140.062,-20,false,l,true,4
225.859,-20,true,g,true,4
158.284,-161.116,false,g,true,4
223.089,-161.116,true,g,true,4
154.305,-161.116,false,b,true,4
154.305,-20,false,l,true,4
227.63,-20,true,g,true,4
160.801,-161.116,false,g,true,4
224.496,-161.116,true,g,true,4
156.334,-161.116,false,b,true,4
156.334,-20,false,l,true,4
227.411,-20,true,g,true,4
160.491,-161.116,false,g,true,4
219.2,-161.116,true,g,true,4
148.627,-161.116,false,b,true,4
148.627,-20,false,l,true,4
167.773,-20,true,g,true,4
164.862,-31.116,false,g,true,4
160.45,-31.116,true,g,true,4
157.404,-31.116,false,b,true,4
160,-160,false,f,true,5
223.601,-160,true,g,true,5
156.197,-160,false,b,true,5
224.045,-160,true,g,true,5
156.832,-160,false,b,true,5
156.832,-20,false,l,true,5
163.3,-20,true,g,true,5
160.308,-31.116,false,g,true,5
143.561,-31.116,true,g,true,5
140.148,-31.116,false,b,true,5
146.141,-31.116,true,g,true,5
