x,z,relay,string,error,index
160,-141,false,f,true,0
160,-20,false,l,true,0
173.425,-20,true,g,true,0
168.301,-41.844,false,g,true,0
168.301,-36.9244,false,l,true,0
172.304,-36.9244,true,l,true,0
165.804,-36.9244,false,b,true,0
171.143,-36.9244,false,b,true,0
171.143,-29.6116,false,l,true,0
201.752,-29.6116,false,b,true,0
201.752,-20,false,l,true,0
188.798,-20,true,g,true,0
183.343,-45.0558,false,g,true,0
183.343,-38.2672,false,l,true,0
187.476,-38.2672,true,g,true,0
183.529,-38.2672,false,b,true,0
209.747,-38.2672,false,b,true,0
209.747,-20,false,l,true,0
219.831,-20,true,g,true,0
209.045,-68.0134,false,g,true,0
209.045,-77.7852,false,g,true,0
219.7,-77.7852,true,g,true,0
205.469,-77.7852,false,b,true,0
205.469,-69.6589,false,l,true,0
232.184,-69.6589,true,g,true,0
221.489,-69.6589,false,b,true,0
221.489,-20,false,l,true,0
160,-141,false,f,true,1
160,-154.463,false,g,true,1
169.956,-154.463,false,b,true,1
169.956,-149.544,false,l,true,1
174.096,-149.544,false,b,true,1
174.096,-20,false,l,true,1
194.163,-20,true,g,true,1
189.908,-40.424,false,g,true,1
189.908,-33.1112,false,l,true,1
175.783,-33.1112,false,b,true,1
175.783,-38.0567,false,g,true,1
179.48,-38.0567,true,g,true,1
175.399,-38.0567,false,b,true,1
175.399,-31.2681,false,l,true,1
190.409,-31.2681,true,g,true,1
187.825,-31.2681,false,b,true,1
187.825,-20,false,l,true,1
168.814,-20,true,g,true,1
164.419,-38.2672,false,g,true,1
156.158,-38.2672,true,g,true,1
151.397,-38.2672,false,b,true,1
151.397,-48.039,false,g,true,1
165.701,-48.039,true,g,true,1
158.585,-48.039,false,b,true,1
158.585,-20,false,l,true,1
188.649,-20,true,g,true,1
178.545,-60.91,false,g,true,1
167.701,-60.91,false,b,true,1
160,-141,false,f,true,2
160,-154.463,false,g,true,2
160.064,-154.463,false,b,true,2
160.064,-20,false,l,true,2
189.458,-20,true,g,true,2
176.672,-68.4203,false,g,true,2
189.458,-68.4203,true,l,true,2
152.076,-68.4203,false,b,true,2
152.076,-20,false,l,true,2
167.681,-20,true,g,true,2
161.911,-43.6098,false,g,true,2
161.911,-48.5553,false,g,true,2
154.686,-48.5553,true,g,true,2
146.868,-48.5553,false,b,true,2
146.868,-20,false,l,true,2
157.097,-20,true,g,true,2
152.365,-38.2672,false,g,true,2
151.243,-38.2672,false,b,true,2
151.243,-20,false,l,true,2
170.79,-20,true,g,true,2
168.22,-29.5183,false,g,true,2
168.22,-39.2901,false,g,true,2
150.749,-39.2901,true,g,true,2
145.539,-39.2902,false,b,true,2
145.539,-31.1639,false,l,true,2
148.838,-31.1639,true,l,true,2
148.673,-31.1639,false,b,true,2
148.673,-20,false,l,true,2
160,-141,false,f,true,3
160,-20,false,l,true,3
192.937,-20,true,g,true,3
168.301,-94.3372,false,g,true,3
168.301,-89.4176,false,l,true,3
190.58,-89.4176,true,l,true,3
165.804,-89.4176,false,b,true,3
165.804,-20,false,l,true,3
210.566,-20,true,g,true,3
191.448,-87.6679,false,g,true,3
191.448,-80.3551,false,l,true,3
188.204,-80.3551,false,b,true,3
188.204,-20,false,l,true,3
177.359,-20,true,g,true,3
157.368,-81.801,false,g,true,3
157.368,-75.0124,false,l,true,3
186.786,-75.0124,false,b,true,3
186.786,-20,false,l,true,3
174.901,-20,true,g,true,3
166.91,-52.2654,false,g,true,3
177.19,-52.2654,true,g,true,3
169.306,-52.2654,false,b,true,3
169.306,-62.0372,false,g,true,3
197.89,-62.0372,false,b,true,3
197.89,-20,false,l,true,3
166.194,-20,true,g,true,3
162.903,-32.9137,false,g,true,3
159.013,-32.9137,false,b,true,3
160,-141,false,f,true,4
160,-154.463,false,g,true,4
169.956,-154.463,false,b,true,4
169.956,-149.544,false,l,true,4
174.096,-149.544,false,b,true,4
174.096,-20,false,l,true,4
227.327,-20,true,g,true,4
209.743,-87.6679,false,g,true,4
209.743,-80.3551,false,l,true,4
194.89,-80.3551,false,b,true,4
194.89,-85.3005,false,g,true,4
193.987,-85.3005,false,b,true,4
193.987,-78.512,false,l,true,4
219.337,-78.512,true,g,true,4
204.804,-78.512,false,b,true,4
204.804,-20,false,l,true,4
178.607,-20,true,g,true,4
164.419,-69.7631,false,g,true,4
166.697,-69.7631,true,g,true,4
151.397,-69.7631,false,b,true,4
151.397,-79.5349,false,g,true,4
177.412,-79.5349,true,g,true,4
158.585,-79.5349,false,b,true,4
158.585,-20,false,l,true,4
172.814,-20,true,g,true,4
164.19,-53.9109,false,g,true,4
157.872,-53.9109,false,b,true,4
160,-141,false,f,true,5
160,-154.463,false,g,true,5
160.064,-154.463,false,b,true,5
160.064,-20,false,l,true,5
233,-20,true,g,true,5
224.759,-61.4213,false,g,true,5
193.048,-61.4213,false,b,true,5
193.048,-54.1085,false,l,true,5
184.843,-54.1085,false,b,true,5
184.843,-59.0539,false,g,true,5
198.45,-59.0539,true,g,true,5
189.46,-59.0539,false,b,true,5
189.46,-20,false,l,true,5
191.267,-20,true,g,true,5
175.943,-75.0125,false,g,true,5
191.267,-75.0124,true,l,true,5
146.444,-75.0124,false,b,true,5
144.583,-75.0124,false,b,true,5
144.583,-20,false,l,true,5
237.523,-20,true,g,true,5
221.199,-86.534,false,g,true,5
221.199,-78.4078,false,l,true,5
193.927,-78.4078,false,b,true,5
193.927,-20,false,l,true,5
