x,z,relay,string,error,index
160,-30,false,f,true,0
149.269,-30,false,b,true,0
149.269,-20,false,l,true,0
233.376,-20,true,g,true,0
231.292,-31.116,false,g,true,0
187.13,-31.116,false,b,true,0
187.13,-20,false,l,true,0
165.78,-20,true,g,true,0
162.834,-31.116,false,g,true,0
164.671,-31.116,false,b,true,0
164.671,-20,false,l,true,0
164.282,-20,true,g,true,0
161.308,-31.116,false,g,true,0
161.808,-31.116,false,b,true,0
161.808,-20,false,l,true,0
208.499,-20,true,g,true,0
206.164,-31.116,false,g,true,0
148.48,-31.116,false,b,true,0
148.48,-20,false,l,true,0
162.991,-20,true,g,true,0
159.993,-31.116,false,g,true,0
157.321,-31.116,false,b,true,0
157.321,-20,false,l,true,0
167.327,-20,true,g,true,0
164.408,-31.116,false,g,true,0
175.768,-31.116,false,b,true,0
175.768,-20,false,l,true,0
237.225,-20,true,g,true,0
235.175,-31.116,false,g,true,0
140.008,-31.116,false,b,true,0
140.008,-20,false,l,true,0
169.025,-20,true,g,true,0
166.136,-31.116,false,g,true,0
178.873,-31.116,false,b,true,0
178.873,-20,false,l,true,0
152.836,-20,true,g,true,0
149.635,-31.116,false,g,true,0
131.57,-31.116,false,b,true,0
131.57,-20,false,l,false,0
238.953,-20,true,g,true,0
236.919,-31.116,false,g,true,0
155.257,-31.116,false,b,true,0
155.257,-20,false,l,true,0
160,-30,false,f,true,1
160,-20,false,l,true,1
218.085,-20,true,g,true,1
215.854,-31.116,false,g,true,1
231.711,-31.116,false,b,true,1
231.711,-20,false,l,true,1
168.766,-20,true,g,true,1
165.873,-31.116,false,g,true,1
147.826,-31.116,false,b,true,1
147.826,-20,false,l,true,1
165.737,-20,true,g,true,1
162.79,-31.116,false,g,true,1
145.692,-31.116,false,b,true,1
145.692,-20,false,l,true,1
161.037,-20,true,g,true,1
158.002,-31.116,false,g,true,1
154.202,-31.116,false,b,true,1
154.202,-20,false,l,true,1
170.154,-20,true,g,true,1
167.284,-31.116,false,g,true,1
134.287,-31.116,false,b,true,1
134.287,-20,false,l,false,1
159.529,-20,true,g,true,1
156.465,-31.116,false,g,true,1
168.021,-31.116,false,b,true,1
168.021,-20,false,l,true,1
171.742,-20,true,g,true,1
168.899,-31.116,false,g,true,1
133.525,-31.116,false,b,true,1
133.525,-20,false,l,false,1
168.016,-20,true,g,true,1
165.109,-31.116,false,g,true,1
172.947,-31.116,false,b,true,1
172.947,-20,false,l,true,1
160.82,-20,true,g,true,1
157.781,-31.116,false,g,true,1
140.596,-31.116,false,b,true,1
140.596,-20,false,l,true,1
162.437,-20,true,g,true,1
159.429,-31.116,false,g,true,1
145.597,-31.116,false,b,true,1
142.89,-31.116,false,b,true,1
142.89,-20,false,l,true,1
160,-30,false,f,true,2
233.047,-30,false,b,true,2
233.047,-20,false,l,true,2
165.943,-20,true,g,true,2
163,-31.116,false,g,true,2
182.5,-31.116,false,b,true,2
182.5,-20,false,l,true,2
160.468,-20,true,g,true,2
157.422,-31.116,false,g,true,2
208.745,-31.116,false,b,true,2
208.745,-20,false,l,true,2
162.048,-20,true,g,true,2
159.033,-31.116,false,g,true,2
195.135,-31.116,false,b,true,2
195.135,-20,false,l,true,2
154.937,-20,true,g,true,2
151.78,-31.116,false,g,true,2
212.979,-31.116,false,b,true,2
