Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    21.222,    -1.855,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    21.222,    -1.855,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    20.037,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    21.222,    -1.855,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   624.157,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    21.222,    -1.855,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    72.432,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,   120.310,    28.140,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   274.804,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,   120.310,    28.140,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -20.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   538.678,Success,,
6,'0001111101001100011101001100,true,false,false,true,false,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,   120.310,    28.140,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -20.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -20.000,   157.690,    30.860,   -31.116,    14.049,  -143.132,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,    -0.000,   160.000,   -30.000,   157.690,    30.860,   -31.116,ComUpDown,   680.647,Success,,
7,'0001111101001100011101001100,true,false,false,true,false,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,   120.310,    28.140,    30.000,     1.000,     0.000,     0.000,     0.000,    14.049,  -143.132,   -30.000,   -99.088,  -189.995,   -20.000,  -113.137,  -113.137,   -20.000,  -212.225,    83.142,   -30.000,   -99.088,   130.005,   -20.000,   157.690,    30.860,   -31.116,    14.049,  -143.132,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -212.225,    83.142,   -30.000,    -0.000,   160.000,   -30.000,   157.690,    30.860,   -31.116,ComMove,   194.575,Success,,
8,'0110110001001100010001001100,true,false,false,true,false,true,Center,Center,Center,Center,Center,Center,FrontRight,   120.519,    33.689,    30.000,     1.000,     0.000,     0.000,     0.000,    13.840,  -148.682,   -30.000,   -99.088,  -189.995,   -20.000,  -113.137,  -113.137,   -20.000,  -212.434,    77.592,   -30.000,   -99.088,   130.005,   -20.000,   157.481,    25.311,   -31.116,    13.840,  -148.682,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -212.434,    77.592,   -30.000,    -0.000,   160.000,   -30.000,   157.481,    25.311,   -31.116,LegHierarchyChange,   466.736,Success,,
9,'0110110001001100010001111100,true,false,false,true,false,true,Center,UpperFront,Center,Center,Center,Center,FrontRight,   120.519,    33.689,    30.000,     1.000,     0.000,     0.000,     0.000,    13.840,  -148.682,   -30.000,   -99.088,  -189.995,   -20.000,  -113.137,  -113.137,   -20.000,  -212.434,    77.592,   -30.000,   -99.088,   130.005,   -20.000,   157.481,    25.311,   -31.116,    13.840,  -148.682,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -212.434,    77.592,   -30.000,    -0.000,   160.000,   -30.000,   157.481,    25.311,   -31.116,LegUpDown,  1224.925,Success,,
