Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    23.631,    27.969,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    23.631,    27.969,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    20.685,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    23.631,    27.969,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   628.514,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    23.631,    27.969,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    56.343,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,   122.718,    -2.026,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegHierarchyChange,   200.537,Success,,
5,'0001110011000111110011000101,false,true,true,false,true,true,LowerFront,Center,Center,UpperFront,Center,Center,Front,   122.718,    -2.026,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegUpDown,   290.423,Success,,
6,'0001010011000111010011001101,true,true,false,false,true,false,LowerFront,Center,Center,UpperFront,Center,Center,Front,   122.718,    -2.026,    30.000,     1.000,     0.000,     0.000,     0.000,   155.282,   -16.974,  -161.116,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   155.282,   -16.974,  -161.116,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   404.583,Success,,
7,'0001010011000111010011001101,true,true,false,false,true,false,LowerFront,Center,Center,UpperFront,Center,Center,Front,   122.718,    -2.026,    30.000,     1.000,     0.000,     0.000,     0.000,   155.282,   -16.974,  -161.116,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -20.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -20.000,   155.282,   -16.974,  -161.116,   -99.088,  -130.005,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComMove,   146.730,Success,,
8,'0010010011000100010011001100,true,true,false,false,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,   139.444,    35.341,    30.000,     1.000,     0.000,     0.000,     0.000,   138.556,   -54.341,  -161.116,  -115.814,  -167.371,   -30.000,  -212.225,   -83.142,   -20.000,  -113.137,   113.137,   -20.000,  -115.814,   152.629,   -30.000,    14.049,   143.132,   -20.000,   138.556,   -54.341,  -161.116,  -115.814,  -167.371,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,  -115.814,   152.629,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   452.049,Success,,
9,'0010011111000101011111001100,true,true,false,false,true,false,Center,Center,UpperFront,LowerFront,Center,UpperFront,FrontLeft,   139.444,    35.341,    30.000,     1.000,     0.000,     0.000,     0.000,   138.556,   -54.341,  -161.116,  -115.814,  -167.371,   -30.000,  -212.225,   -83.142,   -20.000,  -113.137,   113.137,   -20.000,  -115.814,   152.629,   -30.000,    14.049,   143.132,   -20.000,   138.556,   -54.341,  -161.116,  -115.814,  -167.371,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,  -115.814,   152.629,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,  1320.648,Success,,
10,'0010111101001101111101000100,false,false,true,true,false,true,Center,Center,UpperFront,LowerFront,Center,UpperFront,FrontLeft,   139.444,    35.341,    30.000,     1.000,     0.000,     0.000,     0.000,   138.556,   -54.341,   -20.000,  -115.814,  -167.371,   -20.000,   -37.444,  -234.341,   -31.116,   -17.444,   143.659,   -31.116,  -115.814,   152.629,   -20.000,   158.556,    23.659,  -161.116,   113.137,  -113.137,  -161.116,    -0.000,  -160.000,   -30.000,   -37.444,  -234.341,   -31.116,   -17.444,   143.659,   -31.116,    -0.000,   160.000,   -30.000,   158.556,    23.659,  -161.116,ComUpDown,   362.316,Success,,
11,'0010111101001101111101000100,false,false,true,true,false,true,Center,Center,UpperFront,LowerFront,Center,UpperFront,FrontLeft,   139.444,    35.341,    30.000,     1.000,     0.000,     0.000,     0.000,   138.556,   -54.341,   -20.000,  -115.814,  -167.371,   -20.000,   -37.444,  -234.341,   -31.116,   -17.444,   143.659,   -31.116,  -115.814,   152.629,   -20.000,   158.556,    23.659,  -161.116,   113.137,  -113.137,  -161.116,    -0.000,  -160.000,   -30.000,   -37.444,  -234.341,   -31.116,   -17.444,   143.659,   -31.116,    -0.000,   160.000,   -30.000,   158.556,    23.659,  -161.116,ComMove,    92.228,Success,,
12,'0111110001001100110001000100,false,false,true,true,false,true,Center,Center,Center,Center,Center,Center,CenterFront,   183.551,   -44.953,    30.000,     1.000,     0.000,     0.000,     0.000,   138.556,   -54.341,   -20.000,  -115.814,  -167.371,   -20.000,   -81.551,  -154.047,   -31.116,   -61.551,   223.953,   -31.116,  -115.814,   152.629,   -20.000,   114.449,   103.953,  -161.116,   113.137,  -113.137,  -161.116,    -0.000,  -160.000,   -30.000,   -81.551,  -154.047,   -31.116,   -61.551,   223.953,   -31.116,    -0.000,   160.000,   -30.000,   114.449,   103.953,  -161.116,LegHierarchyChange,   258.537,Success,,
