Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -10.140,    28.854,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,   -10.140,    28.854,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    10.777,Success,,
2,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -10.140,    28.854,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   608.807,Success,,
3,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,   -10.140,    28.854,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -20.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    56.384,Success,,
4,'0001010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,Front,    46.481,    43.852,    30.000,     1.000,     0.000,     0.000,     0.000,    56.515,  -128.135,   -30.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -20.000,  -169.759,    98.140,   -30.000,   -56.622,   145.003,   -30.000,   113.137,   113.137,   -20.000,    56.515,  -128.135,   -30.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -30.000,  -169.759,    98.140,   -30.000,   -56.622,   145.003,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   260.347,Success,,
5,'0001011111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperFront,Front,    46.481,    43.852,    30.000,     1.000,     0.000,     0.000,     0.000,    56.515,  -128.135,   -30.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -20.000,  -169.759,    98.140,   -30.000,   -56.622,   145.003,   -30.000,   113.137,   113.137,   -20.000,    56.515,  -128.135,   -30.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -30.000,  -169.759,    98.140,   -30.000,   -56.622,   145.003,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,   424.378,Success,,
6,'0001111111000100011111000100,false,true,false,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    46.481,    43.852,    30.000,     1.000,     0.000,     0.000,     0.000,    56.515,  -128.135,   -20.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -20.000,  -169.759,    98.140,   -20.000,   -56.622,   145.003,   -30.000,   171.519,    15.148,   -31.116,   113.137,  -113.137,   -30.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -56.622,   145.003,   -30.000,   171.519,    15.148,   -31.116,ComUpDown,   718.272,Success,,
7,'0001111111000100011111000100,false,true,false,false,true,true,Center,Center,UpperFront,Center,Center,UpperFront,Front,    46.481,    43.852,    30.000,     1.000,     0.000,     0.000,     0.000,    56.515,  -128.135,   -20.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -20.000,  -169.759,    98.140,   -20.000,   -56.622,   145.003,   -30.000,   171.519,    15.148,   -31.116,   113.137,  -113.137,   -30.000,   -56.622,  -174.997,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -56.622,   145.003,   -30.000,   171.519,    15.148,   -31.116,ComMove,   208.339,Success,,
8,'0110110011000100010011000100,false,true,false,false,true,true,Center,Center,Center,Center,Center,Center,FrontRight,    76.747,    39.227,    30.000,     1.000,     0.000,     0.000,     0.000,    56.515,  -128.135,   -20.000,   -86.888,  -170.373,   -30.000,  -113.137,  -113.137,   -20.000,  -169.759,    98.140,   -20.000,   -86.888,   149.627,   -30.000,   141.253,    19.773,   -31.116,   113.137,  -113.137,   -30.000,   -86.888,  -170.373,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -86.888,   149.627,   -30.000,   141.253,    19.773,   -31.116,LegHierarchyChange,   672.666,Success,,
9,'0110110011000111011111000111,false,true,false,false,true,true,UpperFront,Center,UpperFront,UpperFront,Center,Center,FrontRight,    76.747,    39.227,    30.000,     1.000,     0.000,     0.000,     0.000,    56.515,  -128.135,   -20.000,   -86.888,  -170.373,   -30.000,  -113.137,  -113.137,   -20.000,  -169.759,    98.140,   -20.000,   -86.888,   149.627,   -30.000,   141.253,    19.773,   -31.116,   113.137,  -113.137,   -30.000,   -86.888,  -170.373,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,   -86.888,   149.627,   -30.000,   141.253,    19.773,   -31.116,LegUpDown,  1700.922,Success,,
