Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    26.134,    23.358,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    26.134,    23.358,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,LegUpDown,     8.986,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    26.134,    23.358,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,ComUpDown,   514.180,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    26.134,    23.358,    51.667,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -51.667,  -113.137,  -113.137,   -51.667,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -51.667,   113.137,   113.137,   -51.667,   113.137,  -113.137,   -51.667,    -0.000,  -160.000,   -51.667,  -113.137,  -113.137,   -51.667,  -113.137,   113.137,   -51.667,    -0.000,   160.000,   -51.667,   113.137,   113.137,   -51.667,ComMove,    54.256,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,   125.222,    -6.636,    51.667,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -51.667,  -212.225,   -83.142,   -51.667,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -51.667,    14.049,   143.132,   -51.667,   113.137,  -113.137,   -51.667,   -99.088,  -130.005,   -51.667,  -212.225,   -83.142,   -51.667,  -113.137,   113.137,   -51.667,   -99.088,   189.995,   -51.667,    14.049,   143.132,   -51.667,LegHierarchyChange,   248.262,Success,,
5,'0001110011000001110011000100,false,true,true,false,true,true,Center,Center,Center,LowerBack,Center,Center,Front,   125.222,    -6.636,    51.667,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -51.667,  -212.225,   -83.142,   -51.667,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -51.667,    14.049,   143.132,   -51.667,   113.137,  -113.137,   -51.667,   -99.088,  -130.005,   -51.667,  -212.225,   -83.142,   -51.667,  -113.137,   113.137,   -51.667,   -99.088,   189.995,   -51.667,    14.049,   143.132,   -51.667,LegUpDown,   438.981,Success,,
6,'0001110001001001010001001100,true,false,false,true,false,true,Center,Center,Center,LowerBack,Center,Center,Front,   125.222,    -6.636,    51.667,     1.000,     0.000,     0.000,     0.000,   112.778,  -112.364,   -52.783,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -143.222,    25.636,   -52.783,   -99.088,   189.995,   -20.000,    14.049,   143.132,   -51.667,   112.778,  -112.364,   -52.783,    -0.000,  -160.000,   -51.667,  -113.137,  -113.137,   -51.667,  -143.222,    25.636,   -52.783,    -0.000,   160.000,   -51.667,    14.049,   143.132,   -51.667,ComUpDown,  1170.493,Success,,
7,'0001110001001001010001001100,true,false,false,true,false,true,Center,Center,Center,LowerBack,Center,Center,Front,   125.222,    -6.636,    51.667,     1.000,     0.000,     0.000,     0.000,   112.778,  -112.364,   -52.783,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -143.222,    25.636,   -52.783,   -99.088,   189.995,   -20.000,    14.049,   143.132,   -51.667,   112.778,  -112.364,   -52.783,    -0.000,  -160.000,   -51.667,  -113.137,  -113.137,   -51.667,  -143.222,    25.636,   -52.783,    -0.000,   160.000,   -51.667,    14.049,   143.132,   -51.667,ComMove,   254.468,Success,,
8,'0001110001001100010001001100,true,false,false,true,false,true,Center,Center,Center,Center,Center,Center,Front,   123.126,   -23.024,    51.667,     1.000,     0.000,     0.000,     0.000,   114.874,   -95.976,   -52.783,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -141.126,    42.024,   -52.783,   -99.088,   189.995,   -20.000,    16.145,   159.520,   -51.667,   114.874,   -95.976,   -52.783,    -0.000,  -160.000,   -51.667,  -113.137,  -113.137,   -51.667,  -141.126,    42.024,   -52.783,    -0.000,   160.000,   -51.667,    16.145,   159.520,   -51.667,LegHierarchyChange,   710.420,Success,,
9,'0001110001001100010101011100,true,false,false,true,false,true,Center,LowerFront,LowerFront,Center,Center,Center,Front,   123.126,   -23.024,    51.667,     1.000,     0.000,     0.000,     0.000,   114.874,   -95.976,   -52.783,   -99.088,  -130.005,   -20.000,  -212.225,   -83.142,   -20.000,  -141.126,    42.024,   -52.783,   -99.088,   189.995,   -20.000,    16.145,   159.520,   -51.667,   114.874,   -95.976,   -52.783,    -0.000,  -160.000,   -51.667,  -113.137,  -113.137,   -51.667,  -141.126,    42.024,   -52.783,    -0.000,   160.000,   -51.667,    16.145,   159.520,   -51.667,LegUpDown,  1778.605,Success,,
