Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    20.655,    22.353,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    20.655,    22.353,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,LegUpDown,    12.244,Success,,
2,'1000010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    20.655,    22.353,   160.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,   -20.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,  -160.000,    -0.000,  -160.000,  -160.000,  -113.137,  -113.137,  -160.000,  -113.137,   113.137,  -160.000,    -0.000,   160.000,  -160.000,   113.137,   113.137,  -160.000,ComUpDown,   512.251,Success,,
3,'1000010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,CenterBack,    20.655,    22.353,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -20.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -20.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,   318.596,Success,,
4,'0001010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,Front,    91.432,    52.348,    30.000,     1.000,     0.000,     0.000,     0.000,    42.360,  -143.132,   -30.000,    -0.000,  -160.000,   -20.000,  -183.914,  -143.132,   -30.000,  -113.137,   113.137,   -20.000,   -70.777,   130.005,   -30.000,   113.137,   113.137,   -20.000,    42.360,  -143.132,   -30.000,    -0.000,  -160.000,   -30.000,  -183.914,  -143.132,   -30.000,  -113.137,   113.137,   -30.000,   -70.777,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,  1022.308,Success,,
5,'0001010011000001110001111100,true,false,true,false,true,false,Center,UpperFront,Center,LowerBack,Center,Center,Front,    91.432,    52.348,    30.000,     1.000,     0.000,     0.000,     0.000,    42.360,  -143.132,   -30.000,    -0.000,  -160.000,   -20.000,  -183.914,  -143.132,   -30.000,  -113.137,   113.137,   -20.000,   -70.777,   130.005,   -30.000,   113.137,   113.137,   -20.000,    42.360,  -143.132,   -30.000,    -0.000,  -160.000,   -30.000,  -183.914,  -143.132,   -30.000,  -113.137,   113.137,   -30.000,   -70.777,   130.005,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,  2420.590,Success,,
6,'0001110001001001010011110100,false,true,false,true,false,true,Center,UpperFront,Center,LowerBack,Center,Center,Front,    91.432,    52.348,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   108.568,  -148.948,   -31.116,  -113.137,  -113.137,   -20.000,  -149.432,    26.652,   -31.116,    -0.000,   160.000,   -20.000,   106.568,   106.652,   -31.116,   113.137,  -113.137,   -30.000,   108.568,  -148.948,   -31.116,  -113.137,  -113.137,   -30.000,  -149.432,    26.652,   -31.116,    -0.000,   160.000,   -30.000,   106.568,   106.652,   -31.116,ComUpDown,   568.338,Success,,
7,'0001110001001001010011110100,false,true,false,true,false,true,Center,UpperFront,Center,LowerBack,Center,Center,Front,    91.432,    52.348,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   108.568,  -148.948,   -31.116,  -113.137,  -113.137,   -20.000,  -149.432,    26.652,   -31.116,    -0.000,   160.000,   -20.000,   106.568,   106.652,   -31.116,   113.137,  -113.137,   -30.000,   108.568,  -148.948,   -31.116,  -113.137,  -113.137,   -30.000,  -149.432,    26.652,   -31.116,    -0.000,   160.000,   -30.000,   106.568,   106.652,   -31.116,ComMove,   200.450,Success,,
8,'1000110001001100010011000100,false,true,false,true,false,true,Center,Center,Center,Center,Center,Center,CenterBack,   119.694,    36.671,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    80.306,  -133.271,   -31.116,  -113.137,  -113.137,   -20.000,  -177.694,    42.329,   -31.116,    -0.000,   160.000,   -20.000,    78.306,   122.329,   -31.116,   113.137,  -113.137,   -30.000,    80.306,  -133.271,   -31.116,  -113.137,  -113.137,   -30.000,  -177.694,    42.329,   -31.116,    -0.000,   160.000,   -30.000,    78.306,   122.329,   -31.116,LegHierarchyChange,   700.699,Success,,
9,'1000110001001100010111000111,false,true,false,true,false,true,UpperFront,Center,LowerFront,Center,Center,Center,CenterBack,   119.694,    36.671,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    80.306,  -133.271,   -31.116,  -113.137,  -113.137,   -20.000,  -177.694,    42.329,   -31.116,    -0.000,   160.000,   -20.000,    78.306,   122.329,   -31.116,   113.137,  -113.137,   -30.000,    80.306,  -133.271,   -31.116,  -113.137,  -113.137,   -30.000,  -177.694,    42.329,   -31.116,    -0.000,   160.000,   -30.000,    78.306,   122.329,   -31.116,LegUpDown,  2258.736,Success,,
