Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     6.162,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    12.506,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,BodyYawRot,    26.926,Success,,
4,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.017,   113.137,  -113.137,   -20.000,    -9.193,  -159.840,   -30.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -20.000,     9.193,   159.840,   -30.000,   119.071,   104.825,   -30.000,   113.137,  -113.137,   -30.000,    -9.193,  -159.840,   -30.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -30.000,     9.193,   159.840,   -30.000,   119.071,   104.825,   -30.000,LegHierarchyChange,    14.517,Success,,
5,'1000110011000001110011000111,false,true,true,false,true,true,UpperFront,Center,Center,LowerBack,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.017,   113.137,  -113.137,   -20.000,    -9.193,  -159.840,   -30.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -20.000,     9.193,   159.840,   -30.000,   119.071,   104.825,   -30.000,   113.137,  -113.137,   -30.000,    -9.193,  -159.840,   -30.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -30.000,     9.193,   159.840,   -30.000,   119.071,   104.825,   -30.000,LegUpDown,   308.052,Success,,
6,'1000010011000001110001001111,true,false,true,false,true,false,UpperFront,Center,Center,LowerBack,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.017,   229.429,   -23.436,   -31.116,    -0.000,  -160.000,   -20.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -20.000,     9.193,   159.840,   -30.000,   113.137,   113.137,   -20.000,   229.429,   -23.436,   -31.116,    -0.000,  -160.000,   -30.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -30.000,     9.193,   159.840,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   310.128,Success,,
7,'1000010011000001110001001111,true,false,true,false,true,false,UpperFront,Center,Center,LowerBack,Center,Center,CenterBack,    25.839,   -27.880,    30.000,     1.000,     0.000,     0.000,     0.017,   229.429,   -23.436,   -31.116,    -0.000,  -160.000,   -20.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -20.000,     9.193,   159.840,   -30.000,   113.137,   113.137,   -20.000,   229.429,   -23.436,   -31.116,    -0.000,  -160.000,   -30.000,  -119.071,  -104.825,   -30.000,  -113.137,   113.137,   -30.000,     9.193,   159.840,   -30.000,   113.137,   113.137,   -30.000,ComMove,   230.044,Success,,
8,'0010010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,   114.458,   -34.033,    30.000,     1.000,     0.000,     0.000,     0.017,   141.078,   -14.195,   -31.116,    -0.000,  -160.000,   -20.000,  -207.422,   -95.583,   -30.000,  -113.137,   113.137,   -20.000,   -79.159,   169.081,   -30.000,   113.137,   113.137,   -20.000,   141.078,   -14.195,   -31.116,    -0.000,  -160.000,   -30.000,  -207.422,   -95.583,   -30.000,  -113.137,   113.137,   -30.000,   -79.159,   169.081,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   960.412,Success,,
9,'0010010011000001110001001100,true,false,true,false,true,false,Center,Center,Center,LowerBack,Center,Center,FrontLeft,   114.458,   -34.033,    30.000,     1.000,     0.000,     0.000,     0.017,   141.078,   -14.195,   -31.116,    -0.000,  -160.000,   -20.000,  -207.422,   -95.583,   -30.000,  -113.137,   113.137,   -20.000,   -79.159,   169.081,   -30.000,   113.137,   113.137,   -20.000,   141.078,   -14.195,   -31.116,    -0.000,  -160.000,   -30.000,  -207.422,   -95.583,   -30.000,  -113.137,   113.137,   -30.000,   -79.159,   169.081,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,  1968.474,Success,,
