Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    29.809,     3.815,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    29.809,     3.815,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,    18.135,Success,,
2,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    29.809,     3.815,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   702.738,Success,,
3,'1000110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,CenterBack,    29.809,     3.815,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -20.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComMove,    62.528,Success,,
4,'0001110011000100110011000100,false,true,true,false,true,true,Center,Center,Center,Center,Center,Center,Front,   128.896,   -26.179,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegHierarchyChange,   274.454,Success,,
5,'0001110011000111110011000111,false,true,true,false,true,true,UpperFront,Center,Center,UpperFront,Center,Center,Front,   128.896,   -26.179,    30.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -20.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,   113.137,  -113.137,   -30.000,   -99.088,  -130.005,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,    14.049,   143.132,   -30.000,LegUpDown,   576.917,Success,,
6,'0001010011000111110001001111,true,false,true,false,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,   128.896,   -26.179,    30.000,     1.000,     0.000,     0.000,     0.000,   229.104,   -32.821,   -31.116,    -0.000,  -160.000,   -20.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -20.000,   229.104,   -32.821,   -31.116,    -0.000,  -160.000,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,   776.762,Success,,
7,'0001010011000111110001001111,true,false,true,false,true,false,UpperFront,Center,Center,UpperFront,Center,Center,Front,   128.896,   -26.179,    30.000,     1.000,     0.000,     0.000,     0.000,   229.104,   -32.821,   -31.116,    -0.000,  -160.000,   -20.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -20.000,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -20.000,   229.104,   -32.821,   -31.116,    -0.000,  -160.000,   -30.000,  -212.225,   -83.142,   -30.000,  -113.137,   113.137,   -30.000,   -99.088,   189.995,   -30.000,   113.137,   113.137,   -30.000,ComMove,   124.540,Success,,
8,'0010010011000100110001001100,true,false,true,false,true,false,Center,Center,Center,Center,Center,Center,FrontLeft,   136.936,   -23.501,    30.000,     1.000,     0.000,     0.000,     0.000,   221.064,   -35.499,   -31.116,    -0.000,  -160.000,   -20.000,  -220.264,   -85.821,   -30.000,  -113.137,   113.137,   -20.000,  -107.127,   187.316,   -30.000,   113.137,   113.137,   -20.000,   221.064,   -35.499,   -31.116,    -0.000,  -160.000,   -30.000,  -220.264,   -85.821,   -30.000,  -113.137,   113.137,   -30.000,  -107.127,   187.316,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,   502.233,Success,,
9,'0010011111000001110001001100,true,false,true,false,true,false,Center,Center,Center,LowerBack,Center,UpperFront,FrontLeft,   136.936,   -23.501,    30.000,     1.000,     0.000,     0.000,     0.000,   221.064,   -35.499,   -31.116,    -0.000,  -160.000,   -20.000,  -220.264,   -85.821,   -30.000,  -113.137,   113.137,   -20.000,  -107.127,   187.316,   -30.000,   113.137,   113.137,   -20.000,   221.064,   -35.499,   -31.116,    -0.000,  -160.000,   -30.000,  -220.264,   -85.821,   -30.000,  -113.137,   113.137,   -30.000,  -107.127,   187.316,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,  1208.820,Success,,
