number,x,y,z
0,-400,-1000,0
1,-400,-980,0
2,-400,-960,0
3,-400,-940,0
4,-400,-920,0
5,-400,-900,0
6,-400,-880,0
7,-400,-860,0
8,-400,-840,0
9,-400,-820,0
10,-400,-800,0
11,-400,-780,0
12,-400,-760,0
13,-400,-740,0
14,-400,-720,0
15,-400,-700,0
16,-400,-680,0
17,-400,-660,0
18,-400,-640,0
19,-400,-620,0
20,-400,-600,0
21,-400,-580,0
22,-400,-560,0
23,-400,-540,0
24,-400,-520,0
25,-400,-500,0
26,-400,-480,0
27,-400,-460,0
28,-400,-440,0
29,-400,-420,0
30,-400,-400,0
31,-400,-380,0
32,-400,-360,0
33,-400,-340,0
34,-400,-320,0
35,-400,-300,0
36,-400,-280,0
37,-400,-260,0
38,-400,-240,0
39,-400,-220,0
40,-400,-200,0
41,-400,-180,0
42,-400,-160,0
43,-400,-140,0
44,-400,-120,0
45,-400,-100,0
46,-400,-80,0
47,-400,-60,0
48,-400,-40,0
49,-400,-20,0
50,-400,0,0
51,-400,20,0
52,-400,40,0
53,-400,60,0
54,-400,80,0
55,-400,100,0
56,-400,120,0
57,-400,140,0
58,-400,160,0
59,-400,180,0
60,-400,200,0
61,-400,220,0
62,-400,240,0
63,-400,260,0
64,-400,280,0
65,-400,300,0
66,-400,320,0
67,-400,340,0
68,-400,360,0
69,-400,380,0
70,-400,400,0
71,-400,420,0
72,-400,440,0
73,-400,460,0
74,-400,480,0
75,-400,500,0
76,-400,520,0
77,-400,540,0
78,-400,560,0
79,-400,580,0
80,-400,600,0
81,-400,620,0
82,-400,640,0
83,-400,660,0
84,-400,680,0
85,-400,700,0
86,-400,720,0
87,-400,740,0
88,-400,760,0
89,-400,780,0
90,-400,800,0
91,-400,820,0
92,-400,840,0
93,-400,860,0
94,-400,880,0
95,-400,900,0
96,-400,920,0
97,-400,940,0
98,-400,960,0
99,-400,980,0
100,-380,-1000,0
101,-380,-980,0
102,-380,-960,0
103,-380,-940,0
104,-380,-920,0
105,-380,-900,0
106,-380,-880,0
107,-380,-860,0
108,-380,-840,0
109,-380,-820,0
110,-380,-800,0
111,-380,-780,0
112,-380,-760,0
113,-380,-740,0
114,-380,-720,0
115,-380,-700,0
116,-380,-680,0
117,-380,-660,0
118,-380,-640,0
119,-380,-620,0
120,-380,-600,0
121,-380,-580,0
122,-380,-560,0
123,-380,-540,0
124,-380,-520,0
125,-380,-500,0
126,-380,-480,0
127,-380,-460,0
128,-380,-440,0
129,-380,-420,0
130,-380,-400,0
131,-380,-380,0
132,-380,-360,0
133,-380,-340,0
134,-380,-320,0
135,-380,-300,0
136,-380,-280,0
137,-380,-260,0
138,-380,-240,0
139,-380,-220,0
140,-380,-200,0
141,-380,-180,0
142,-380,-160,0
143,-380,-140,0
144,-380,-120,0
145,-380,-100,0
146,-380,-80,0
147,-380,-60,0
148,-380,-40,0
149,-380,-20,0
150,-380,0,0
151,-380,20,0
152,-380,40,0
153,-380,60,0
154,-380,80,0
155,-380,100,0
156,-380,120,0
157,-380,140,0
158,-380,160,0
159,-380,180,0
160,-380,200,0
161,-380,220,0
162,-380,240,0
163,-380,260,0
164,-380,280,0
165,-380,300,0
166,-380,320,0
167,-380,340,0
168,-380,360,0
169,-380,380,0
170,-380,400,0
171,-380,420,0
172,-380,440,0
173,-380,460,0
174,-380,480,0
175,-380,500,0
176,-380,520,0
177,-380,540,0
178,-380,560,0
179,-380,580,0
180,-380,600,0
181,-380,620,0
182,-380,640,0
183,-380,660,0
184,-380,680,0
185,-380,700,0
186,-380,720,0
187,-380,740,0
188,-380,760,0
189,-380,780,0
190,-380,800,0
191,-380,820,0
192,-380,840,0
193,-380,860,0
194,-380,880,0
195,-380,900,0
196,-380,920,0
197,-380,940,0
198,-380,960,0
199,-380,980,0
200,-360,-1000,0
201,-360,-980,0
202,-360,-960,0
203,-360,-940,0
204,-360,-920,0
205,-360,-900,0
206,-360,-880,0
207,-360,-860,0
208,-360,-840,0
209,-360,-820,0
210,-360,-800,0
211,-360,-780,0
212,-360,-760,0
213,-360,-740,0
214,-360,-720,0
215,-360,-700,0
216,-360,-680,0
217,-360,-660,0
218,-360,-640,0
219,-360,-620,0
220,-360,-600,0
221,-360,-580,0
222,-360,-560,0
223,-360,-540,0
224,-360,-520,0
225,-360,-500,0
226,-360,-480,0
227,-360,-460,0
228,-360,-440,0
229,-360,-420,0
230,-360,-400,0
231,-360,-380,0
232,-360,-360,0
233,-360,-340,0
234,-360,-320,0
235,-360,-300,0
236,-360,-280,0
237,-360,-260,0
238,-360,-240,0
239,-360,-220,0
240,-360,-200,0
241,-360,-180,0
242,-360,-160,0
243,-360,-140,0
244,-360,-120,0
245,-360,-100,0
246,-360,-80,0
247,-360,-60,0
248,-360,-40,0
249,-360,-20,0
250,-360,0,0
251,-360,20,0
252,-360,40,0
253,-360,60,0
254,-360,80,0
255,-360,100,0
256,-360,120,0
257,-360,140,0
258,-360,160,0
259,-360,180,0
260,-360,200,0
261,-360,220,0
262,-360,240,0
263,-360,260,0
264,-360,280,0
265,-360,300,0
266,-360,320,0
267,-360,340,0
268,-360,360,0
269,-360,380,0
270,-360,400,0
271,-360,420,0
272,-360,440,0
273,-360,460,0
274,-360,480,0
275,-360,500,0
276,-360,520,0
277,-360,540,0
278,-360,560,0
279,-360,580,0
280,-360,600,0
281,-360,620,0
282,-360,640,0
283,-360,660,0
284,-360,680,0
285,-360,700,0
286,-360,720,0
287,-360,740,0
288,-360,760,0
289,-360,780,0
290,-360,800,0
291,-360,820,0
292,-360,840,0
293,-360,860,0
294,-360,880,0
295,-360,900,0
296,-360,920,0
297,-360,940,0
298,-360,960,0
299,-360,980,0
300,-340,-1000,0
301,-340,-980,0
302,-340,-960,0
303,-340,-940,0
304,-340,-920,0
305,-340,-900,0
306,-340,-880,0
307,-340,-860,0
308,-340,-840,0
309,-340,-820,0
310,-340,-800,0
311,-340,-780,0
312,-340,-760,0
313,-340,-740,0
314,-340,-720,0
315,-340,-700,0
316,-340,-680,0
317,-340,-660,0
318,-340,-640,0
319,-340,-620,0
320,-340,-600,0
321,-340,-580,0
322,-340,-560,0
323,-340,-540,0
324,-340,-520,0
325,-340,-500,0
326,-340,-480,0
327,-340,-460,0
328,-340,-440,0
329,-340,-420,0
330,-340,-400,0
331,-340,-380,0
332,-340,-360,0
333,-340,-340,0
334,-340,-320,0
335,-340,-300,0
336,-340,-280,0
337,-340,-260,0
338,-340,-240,0
339,-340,-220,0
340,-340,-200,0
341,-340,-180,0
342,-340,-160,0
343,-340,-140,0
344,-340,-120,0
345,-340,-100,0
346,-340,-80,0
347,-340,-60,0
348,-340,-40,0
349,-340,-20,0
350,-340,0,0
351,-340,20,0
352,-340,40,0
353,-340,60,0
354,-340,80,0
355,-340,100,0
356,-340,120,0
357,-340,140,0
358,-340,160,0
359,-340,180,0
360,-340,200,0
361,-340,220,0
362,-340,240,0
363,-340,260,0
364,-340,280,0
365,-340,300,0
366,-340,320,0
367,-340,340,0
368,-340,360,0
369,-340,380,0
370,-340,400,0
371,-340,420,0
372,-340,440,0
373,-340,460,0
374,-340,480,0
375,-340,500,0
376,-340,520,0
377,-340,540,0
